 ,Production (W),Consumption (W)
2021-05-15 00:00,0,278
2021-05-15 00:15,0,345
2021-05-15 00:30,0,336
2021-05-15 00:45,0,363
2021-05-15 01:00,0,356
2021-05-15 01:15,0,397
2021-05-15 01:30,0,338
2021-05-15 01:45,0,278
2021-05-15 02:00,0,277
2021-05-15 02:15,0,339
2021-05-15 02:30,0,414
2021-05-15 02:45,0,350
2021-05-15 03:00,0,278
2021-05-15 03:15,0,339
2021-05-15 03:30,0,337
2021-05-15 03:45,0,278
2021-05-15 04:00,0,366
2021-05-15 04:15,0,417
2021-05-15 04:30,0,351
2021-05-15 04:45,0,291
2021-05-15 05:00,0,291
2021-05-15 05:15,0,354
2021-05-15 05:30,0,291
2021-05-15 05:45,0,371
2021-05-15 06:00,0,362
2021-05-15 06:15,0,343
2021-05-15 06:30,0,287
2021-05-15 06:45,0,290
2021-05-15 07:00,0,289
2021-05-15 07:15,0,438
2021-05-15 07:30,0,372
2021-05-15 07:45,1,279
2021-05-15 08:00,3,280
2021-05-15 08:15,6,324
2021-05-15 08:30,9,265
2021-05-15 08:45,12,266
2021-05-15 09:00,53,410
2021-05-15 09:15,40,401
2021-05-15 09:30,54,266
2021-05-15 09:45,56,268
2021-05-15 10:00,117,324
2021-05-15 10:15,174,316
2021-05-15 10:30,128,266
2021-05-15 10:45,318,347
2021-05-15 11:00,286,399
2021-05-15 11:15,182,317
2021-05-15 11:30,109,265
2021-05-15 11:45,112,260
2021-05-15 12:00,178,319
2021-05-15 12:15,104,323
2021-05-15 12:30,83,345
2021-05-15 12:45,99,265
2021-05-15 13:00,50,330
2021-05-15 13:15,86,322
2021-05-15 13:30,98,264
2021-05-15 13:45,138,261
2021-05-15 14:00,75,412
2021-05-15 14:15,63,340
2021-05-15 14:30,25,338
2021-05-15 14:45,51,267
2021-05-15 15:00,50,329
2021-05-15 15:15,83,268
2021-05-15 15:30,136,268
2021-05-15 15:45,40,357
2021-05-15 16:00,49,399
2021-05-15 16:15,166,259
2021-05-15 16:30,28,265
2021-05-15 16:45,25,328
2021-05-15 17:00,22,321
2021-05-15 17:15,21,264
2021-05-15 17:30,16,354
2021-05-15 17:45,9,403
2021-05-15 18:00,0,393
2021-05-15 18:15,0,283
2021-05-15 18:30,0,286
2021-05-15 18:45,0,345
2021-05-15 19:00,0,343
2021-05-15 19:15,0,383
2021-05-15 19:30,0,366
2021-05-15 19:45,0,420
2021-05-15 20:00,0,342
2021-05-15 20:15,0,287
2021-05-15 20:30,0,288
2021-05-15 20:45,0,350
2021-05-15 21:00,0,342
2021-05-15 21:15,0,368
2021-05-15 21:30,0,360
2021-05-15 21:45,0,343
2021-05-15 22:00,0,287
2021-05-15 22:15,0,286
2021-05-15 22:30,0,289
2021-05-15 22:45,0,330
2021-05-15 23:00,0,368
2021-05-15 23:15,0,352
2021-05-15 23:30,0,347
2021-05-15 23:45,0,333
2021-05-16 00:00,0,275
2021-05-16 00:15,0,276
2021-05-16 00:30,0,340
2021-05-16 00:45,0,333
2021-05-16 01:00,0,359
2021-05-16 01:15,0,354
2021-05-16 01:30,0,409
2021-05-16 01:45,0,336
2021-05-16 02:00,0,277
2021-05-16 02:15,0,276
2021-05-16 02:30,0,336
2021-05-16 02:45,0,332
2021-05-16 03:00,0,278
2021-05-16 03:15,0,356
2021-05-16 03:30,0,411
2021-05-16 03:45,0,335
2021-05-16 04:00,0,278
2021-05-16 04:15,0,276
2021-05-16 04:30,0,349
2021-05-16 04:45,0,288
2021-05-16 05:00,0,290
2021-05-16 05:15,0,376
2021-05-16 05:30,0,423
2021-05-16 05:45,0,359
2021-05-16 06:00,0,287
2021-05-16 06:15,0,287
2021-05-16 06:30,0,347
2021-05-16 06:45,0,288
2021-05-16 07:00,0,289
2021-05-16 07:15,1,292
2021-05-16 07:30,7,339
2021-05-16 07:45,29,361
2021-05-16 08:00,85,354
2021-05-16 08:15,252,337
2021-05-16 08:30,327,318
2021-05-16 08:45,262,261
2021-05-16 09:00,262,261
2021-05-16 09:15,262,262
2021-05-16 09:30,314,317
2021-05-16 09:45,262,260
2021-05-16 10:00,262,260
2021-05-16 10:15,408,401
2021-05-16 10:30,222,391
2021-05-16 10:45,215,260
2021-05-16 11:00,259,261
2021-05-16 11:15,326,324
2021-05-16 11:30,327,320
2021-05-16 11:45,262,261
2021-05-16 12:00,262,261
2021-05-16 12:15,404,402
2021-05-16 12:30,386,385
2021-05-16 12:45,335,333
2021-05-16 13:00,265,261
2021-05-16 13:15,317,316
2021-05-16 13:30,262,261
2021-05-16 13:45,262,265
2021-05-16 14:00,262,261
2021-05-16 14:15,408,398
2021-05-16 14:30,343,334
2021-05-16 14:45,267,262
2021-05-16 15:00,266,328
2021-05-16 15:15,165,325
2021-05-16 15:30,266,261
2021-05-16 15:45,240,260
2021-05-16 16:00,181,402
2021-05-16 16:15,178,390
2021-05-16 16:30,225,262
2021-05-16 16:45,262,262
2021-05-16 17:00,124,322
2021-05-16 17:15,57,320
2021-05-16 17:30,33,261
2021-05-16 17:45,12,341
2021-05-16 18:00,2,396
2021-05-16 18:15,0,341
2021-05-16 18:30,0,284
2021-05-16 18:45,0,285
2021-05-16 19:00,0,342
2021-05-16 19:15,0,283
2021-05-16 19:30,0,362
2021-05-16 19:45,0,358
2021-05-16 20:00,0,342
2021-05-16 20:15,0,283
2021-05-16 20:30,0,283
2021-05-16 20:45,0,284
2021-05-16 21:00,0,338
