 ,Production (W),Consumption (W)
2022-02-26 00:00,0,489
2022-02-26 00:15,0,406
2022-02-26 00:30,0,441
2022-02-26 00:45,0,518
2022-02-26 01:00,0,466
2022-02-26 01:15,0,373
2022-02-26 01:30,0,465
2022-02-26 01:45,0,484
2022-02-26 02:00,0,467
2022-02-26 02:15,0,463
2022-02-26 02:30,0,488
2022-02-26 02:45,0,407
2022-02-26 03:00,0,374
2022-02-26 03:15,0,436
2022-02-26 03:30,0,513
2022-02-26 03:45,0,374
2022-02-26 04:00,0,374
2022-02-26 04:15,0,462
2022-02-26 04:30,0,510
2022-02-26 04:45,0,433
2022-02-26 05:00,0,374
2022-02-26 05:15,0,3464
2022-02-26 05:30,0,3320
2022-02-26 05:45,0,3386
2022-02-26 06:00,0,525
2022-02-26 06:15,0,454
2022-02-26 06:30,6,363
2022-02-26 06:45,37,374
2022-02-26 07:00,46,478
2022-02-26 07:15,90,580
2022-02-26 07:30,209,411
2022-02-26 07:45,308,419
2022-02-26 08:00,411,498
2022-02-26 08:15,514,518
2022-02-26 08:30,428,424
2022-02-26 08:45,533,533
2022-02-26 09:00,505,474
2022-02-26 09:15,387,389
2022-02-26 09:30,569,569
2022-02-26 09:45,437,434
2022-02-26 10:00,1081,1366
2022-02-26 10:15,1157,1352
2022-02-26 10:30,1202,1336
2022-02-26 10:45,1220,1315
2022-02-26 11:00,1220,1392
2022-02-26 11:15,1220,1395
2022-02-26 11:30,1220,1240
2022-02-26 11:45,1220,1249
2022-02-26 12:00,1220,1425
2022-02-26 12:15,1220,1309
2022-02-26 12:30,1220,1296
2022-02-26 12:45,1220,1378
2022-02-26 13:00,1220,1248
2022-02-26 13:15,1220,1237
2022-02-26 13:30,1223,1432
2022-02-26 13:45,1220,1357
2022-02-26 14:00,1220,1374
2022-02-26 14:15,1223,1461
2022-02-26 14:30,1220,3308
2022-02-26 14:45,1215,1255
2022-02-26 15:00,472,510
2022-02-26 15:15,430,421
2022-02-26 15:30,515,506
2022-02-26 15:45,507,360
2022-02-26 16:00,365,360
2022-02-26 16:15,458,456
2022-02-26 16:30,426,423
2022-02-26 16:45,426,419
2022-02-26 17:00,509,501
2022-02-26 17:15,451,448
2022-02-26 17:30,353,454
2022-02-26 17:45,258,479
2022-02-26 18:00,169,452
2022-02-26 18:15,99,577
2022-02-26 18:30,55,560
2022-02-26 18:45,38,258
2022-02-26 19:00,24,263
2022-02-26 19:15,13,481
2022-02-26 19:30,5,464
2022-02-26 19:45,0,470
2022-02-26 20:00,0,566
2022-02-26 20:15,0,439
2022-02-26 20:30,0,529
2022-02-26 20:45,0,589
2022-02-26 21:00,0,470
2022-02-26 21:15,0,584
2022-02-26 21:30,0,493
2022-02-26 21:45,0,435
2022-02-26 22:00,0,522
2022-02-26 22:15,0,445
2022-02-26 22:30,0,443
2022-02-26 22:45,0,527
2022-02-26 23:00,0,462
2022-02-26 23:15,0,384
2022-02-26 23:30,0,475
2022-02-26 23:45,0,526
2022-02-27 00:00,0,443
2022-02-27 00:15,0,538
2022-02-27 00:30,0,463
2022-02-27 00:45,0,381
2022-02-27 01:00,0,537
2022-02-27 01:15,0,524
2022-02-27 01:30,0,442
2022-02-27 01:45,0,383
2022-02-27 02:00,0,467
2022-02-27 02:15,0,381
2022-02-27 02:30,0,443
2022-02-27 02:45,0,562
2022-02-27 03:00,0,463
2022-02-27 03:15,0,426
2022-02-27 03:30,0,487
2022-02-27 03:45,0,459
2022-02-27 04:00,0,454
2022-02-27 04:15,0,539
2022-02-27 04:30,0,471
2022-02-27 04:45,0,381
2022-02-27 05:00,0,444
2022-02-27 05:15,0,3478
2022-02-27 05:30,0,3385
2022-02-27 05:45,0,375
2022-02-27 06:00,0,464
2022-02-27 06:15,1,374
2022-02-27 06:30,6,427
2022-02-27 06:45,19,907
2022-02-27 07:00,32,506
2022-02-27 07:15,85,390
2022-02-27 07:30,205,391
2022-02-27 07:45,301,575
2022-02-27 08:00,402,420
2022-02-27 08:15,455,421
2022-02-27 08:30,460,460
2022-02-27 08:45,453,450
2022-02-27 09:00,435,429
2022-02-27 09:15,436,430
2022-02-27 09:30,521,512
2022-02-27 09:45,1012,2670
2022-02-27 10:00,1074,1444
2022-02-27 10:15,1152,1496
2022-02-27 10:30,1196,1442
2022-02-27 10:45,1220,3461
2022-02-27 11:00,1220,1394
2022-02-27 11:15,1220,1265
2022-02-27 11:30,1220,1375
2022-02-27 11:45,1220,1427
2022-02-27 12:00,1220,1436
2022-02-27 12:15,1220,1436
2022-02-27 12:30,1220,1426
2022-02-27 12:45,1220,1399
2022-02-27 13:00,1220,1386
2022-02-27 13:15,1220,1454
2022-02-27 13:30,1220,1447
2022-02-27 13:45,1220,1371
2022-02-27 14:00,1220,1350
2022-02-27 14:15,1220,1455
2022-02-27 14:30,1200,1472
2022-02-27 14:45,1174,1410
2022-02-27 15:00,538,598
2022-02-27 15:15,602,597
2022-02-27 15:30,550,560
2022-02-27 15:45,570,563
2022-02-27 16:00,562,563
2022-02-27 16:15,561,559
2022-02-27 16:30,421,415
2022-02-27 16:45,420,412
2022-02-27 17:00,529,577
2022-02-27 17:15,435,551
2022-02-27 17:30,341,545
2022-02-27 17:45,249,899
2022-02-27 18:00,166,563
2022-02-27 18:15,100,439
2022-02-27 18:30,58,612
2022-02-27 18:45,39,580
2022-02-27 19:00,24,566
2022-02-27 19:15,13,558
2022-02-27 19:30,4,472
2022-02-27 19:45,0,423
2022-02-27 20:00,0,532
2022-02-27 20:15,0,601
2022-02-27 20:30,0,488
2022-02-27 20:45,0,455
2022-02-27 21:00,0,546
2022-02-27 21:15,0,475
2022-02-27 21:30,0,456
2022-02-27 21:45,0,437
2022-02-27 22:00,0,430
2022-02-27 22:15,0,514
2022-02-27 22:30,0,508
2022-02-27 22:45,0,373
2022-02-27 23:00,0,372
2022-02-27 23:15,0,529
2022-02-27 23:30,0,524
2022-02-27 23:45,0,518
2022-02-28 00:00,0,384
2022-02-28 00:15,0,381
2022-02-28 00:30,0,464
2022-02-28 00:45,0,512
2022-02-28 01:00,0,433
2022-02-28 01:15,0,434
2022-02-28 01:30,0,468
2022-02-28 01:45,0,454
2022-02-28 02:00,0,436
2022-02-28 02:15,0,433
2022-02-28 02:30,0,431
2022-02-28 02:45,0,457
2022-02-28 03:00,0,450
2022-02-28 03:15,0,437
2022-02-28 03:30,0,440
2022-02-28 03:45,0,519
2022-02-28 04:00,0,486
2022-02-28 04:15,0,366
2022-02-28 04:30,0,3492
2022-02-28 04:45,0,3522
2022-02-28 05:00,0,3657
2022-02-28 05:15,0,445
2022-02-28 05:30,0,454
2022-02-28 05:45,0,506
2022-02-28 06:00,0,549
2022-02-28 06:15,0,502
2022-02-28 06:30,3,414
2022-02-28 06:45,8,546
2022-02-28 07:00,17,2679
2022-02-28 07:15,25,586
2022-02-28 07:30,39,523
2022-02-28 07:45,65,422
2022-02-28 08:00,71,519
2022-02-28 08:15,118,462
2022-02-28 08:30,129,537
2022-02-28 08:45,152,484
2022-02-28 09:00,174,640
2022-02-28 09:15,191,581
2022-02-28 09:30,178,558
2022-02-28 09:45,209,677
2022-02-28 10:00,239,669
2022-02-28 10:15,313,517
2022-02-28 10:30,387,607
2022-02-28 10:45,425,782
2022-02-28 11:00,534,635
2022-02-28 11:15,592,620
2022-02-28 11:30,621,608
2022-02-28 11:45,509,505
2022-02-28 12:00,451,449
2022-02-28 12:15,452,441
2022-02-28 12:30,586,599
2022-02-28 12:45,573,582
2022-02-28 13:00,562,562
2022-02-28 13:15,1220,1369
2022-02-28 13:30,1220,1396
2022-02-28 13:45,1220,1443
2022-02-28 14:00,1220,1398
2022-02-28 14:15,1220,1406
2022-02-28 14:30,1214,1373
2022-02-28 14:45,1176,1371
2022-02-28 15:00,598,599
2022-02-28 15:15,655,651
2022-02-28 15:30,673,646
2022-02-28 15:45,590,592
2022-02-28 16:00,866,1367
2022-02-28 16:15,815,1324
2022-02-28 16:30,501,1417
2022-02-28 16:45,652,1895
2022-02-28 17:00,542,1396
2022-02-28 17:15,437,482
2022-02-28 17:30,201,496
2022-02-28 17:45,248,541
2022-02-28 18:00,157,491
2022-02-28 18:15,98,553
2022-02-28 18:30,59,503
2022-02-28 18:45,41,509
2022-02-28 19:00,25,562
2022-02-28 19:15,12,505
2022-02-28 19:30,4,426
2022-02-28 19:45,0,570
2022-02-28 20:00,0,650
2022-02-28 20:15,0,582
2022-02-28 20:30,0,501
2022-02-28 20:45,0,457
2022-02-28 21:00,0,587
2022-02-28 21:15,0,668
2022-02-28 21:30,0,598
2022-02-28 21:45,0,523
2022-02-28 22:00,0,587
2022-02-28 22:15,0,568
2022-02-28 22:30,0,518
2022-02-28 22:45,0,525
2022-02-28 23:00,0,604
2022-02-28 23:15,0,602
2022-02-28 23:30,0,465
2022-02-28 23:45,0,483
2022-03-01 00:00,0,639
2022-03-01 00:15,0,608
2022-03-01 00:30,0,572
2022-03-01 00:45,0,492
2022-03-01 01:00,0,492
2022-03-01 01:15,0,543
2022-03-01 01:30,0,430
2022-03-01 01:45,0,433
2022-03-01 02:00,0,456
2022-03-01 02:15,0,448
2022-03-01 02:30,0,438
2022-03-01 02:45,0,465
2022-03-01 03:00,0,515
2022-03-01 03:15,0,447
2022-03-01 03:30,0,369
2022-03-01 03:45,0,365
2022-03-01 04:00,0,518
2022-03-01 04:15,0,542
2022-03-01 04:30,0,3301
2022-03-01 04:45,0,3454
2022-03-01 05:00,0,3258
2022-03-01 05:15,0,3455
2022-03-01 05:30,0,427
2022-03-01 05:45,0,408
2022-03-01 06:00,0,366
2022-03-01 06:15,0,452
2022-03-01 06:30,1,433
2022-03-01 06:45,7,427
2022-03-01 07:00,24,422
2022-03-01 07:15,43,446
2022-03-01 07:30,83,438
2022-03-01 07:45,107,495
2022-03-01 08:00,378,522
2022-03-01 08:15,482,479
2022-03-01 08:30,351,346
2022-03-01 08:45,356,353
2022-03-01 09:00,484,579
2022-03-01 09:15,327,492
2022-03-01 09:30,484,482
2022-03-01 09:45,428,423
2022-03-01 10:00,1084,1293
2022-03-01 10:15,1118,1329
2022-03-01 10:30,1182,1368
2022-03-01 10:45,1220,1400
2022-03-01 11:00,1219,1334
2022-03-01 11:15,1220,1343
2022-03-01 11:30,1220,1338
2022-03-01 11:45,1220,1389
2022-03-01 12:00,1220,1396
2022-03-01 12:15,1223,1416
2022-03-01 12:30,1223,1331
2022-03-01 12:45,1223,1335
2022-03-01 13:00,1223,1426
2022-03-01 13:15,1223,1422
2022-03-01 13:30,1223,1342
2022-03-01 13:45,1223,1306
2022-03-01 14:00,1223,1244
2022-03-01 14:15,1220,1359
2022-03-01 14:30,1220,1391
2022-03-01 14:45,1220,1457
2022-03-01 15:00,550,545
2022-03-01 15:15,550,536
2022-03-01 15:30,481,481
2022-03-01 15:45,481,478
2022-03-01 16:00,600,599
2022-03-01 16:15,651,623
2022-03-01 16:30,618,623
2022-03-01 16:45,614,630
2022-03-01 17:00,552,2583
2022-03-01 17:15,363,357
2022-03-01 17:30,356,417
2022-03-01 17:45,261,425
2022-03-01 18:00,160,3069
2022-03-01 18:15,92,3181
2022-03-01 18:30,43,485
2022-03-01 18:45,31,421
2022-03-01 19:00,22,498
2022-03-01 19:15,11,597
2022-03-01 19:30,1,584
2022-03-01 19:45,0,549
2022-03-01 20:00,0,488
2022-03-01 20:15,0,593
2022-03-01 20:30,0,642
2022-03-01 20:45,0,613
2022-03-01 21:00,0,523
2022-03-01 21:15,0,460
2022-03-01 21:30,0,546
2022-03-01 21:45,0,582
2022-03-01 22:00,0,499
2022-03-01 22:15,0,468
2022-03-01 22:30,0,492
2022-03-01 22:45,0,447
2022-03-01 23:00,0,453
2022-03-01 23:15,0,444
2022-03-01 23:30,0,527
2022-03-01 23:45,0,464
2022-03-02 00:00,0,381
2022-03-02 00:15,0,443
2022-03-02 00:30,0,522
2022-03-02 00:45,0,544
2022-03-02 01:00,0,372
2022-03-02 01:15,0,370
2022-03-02 01:30,0,370
2022-03-02 01:45,0,519
2022-03-02 02:00,0,495
2022-03-02 02:15,0,372
2022-03-02 02:30,0,372
2022-03-02 02:45,0,465
2022-03-02 03:00,0,510
2022-03-02 03:15,0,435
2022-03-02 03:30,0,370
2022-03-02 03:45,0,370
2022-03-02 04:00,0,531
2022-03-02 04:15,0,434
2022-03-02 04:30,0,3390
2022-03-02 04:45,0,3354
2022-03-02 05:00,0,465
2022-03-02 05:15,0,517
2022-03-02 05:30,0,436
2022-03-02 05:45,0,431
2022-03-02 06:00,0,371
2022-03-02 06:15,0,507
2022-03-02 06:30,3,1024
2022-03-02 06:45,5,465
2022-03-02 07:00,10,410
2022-03-02 07:15,15,424
2022-03-02 07:30,31,498
2022-03-02 07:45,21,473
2022-03-02 08:00,69,498
2022-03-02 08:15,77,541
2022-03-02 08:30,77,560
2022-03-02 08:45,101,496
2022-03-02 09:00,87,553
2022-03-02 09:15,128,523
2022-03-02 09:30,135,611
2022-03-02 09:45,211,538
2022-03-02 10:00,237,1387
2022-03-02 10:15,493,1434
2022-03-02 10:30,926,1396
2022-03-02 10:45,777,1482
2022-03-02 11:00,970,1336
2022-03-02 11:15,789,1252
2022-03-02 11:30,568,1314
2022-03-02 11:45,1220,1412
2022-03-02 12:00,1014,1397
2022-03-02 12:15,752,1255
2022-03-02 12:30,850,1234
2022-03-02 12:45,1079,1304
2022-03-02 13:00,1218,1393
2022-03-02 13:15,1220,1395
2022-03-02 13:30,1220,1250
2022-03-02 13:45,1219,1236
2022-03-02 14:00,1219,1309
2022-03-02 14:15,673,1390
2022-03-02 14:30,478,1395
2022-03-02 14:45,477,1277
2022-03-02 15:00,408,406
2022-03-02 15:15,389,530
2022-03-02 15:30,530,520
2022-03-02 15:45,445,440
2022-03-02 16:00,472,469
2022-03-02 16:15,412,409
2022-03-02 16:30,509,501
2022-03-02 16:45,561,551
2022-03-02 17:00,481,476
2022-03-02 17:15,481,475
2022-03-02 17:30,221,513
2022-03-02 17:45,233,497
2022-03-02 18:00,201,562
2022-03-02 18:15,64,459
2022-03-02 18:30,47,486
2022-03-02 18:45,39,547
2022-03-02 19:00,31,498
2022-03-02 19:15,8,384
2022-03-02 19:30,1,446
2022-03-02 19:45,0,622
2022-03-02 20:00,0,595
2022-03-02 20:15,0,464
2022-03-02 20:30,0,490
2022-03-02 20:45,0,611
2022-03-02 21:00,0,591
2022-03-02 21:15,0,519
2022-03-02 21:30,0,461
2022-03-02 21:45,0,533
2022-03-02 22:00,0,676
2022-03-02 22:15,0,532
2022-03-02 22:30,0,501
2022-03-02 22:45,0,2581
2022-03-02 23:00,0,539
2022-03-02 23:15,0,566
2022-03-02 23:30,0,508
2022-03-02 23:45,0,502
2022-03-03 00:00,0,526
2022-03-03 00:15,0,438
2022-03-03 00:30,0,481
2022-03-03 00:45,0,2496
2022-03-03 01:00,0,533
2022-03-03 01:15,0,463
2022-03-03 01:30,0,383
2022-03-03 01:45,0,444
2022-03-03 02:00,0,526
2022-03-03 02:15,0,517
2022-03-03 02:30,0,377
2022-03-03 02:45,0,376
2022-03-03 03:00,0,568
2022-03-03 03:15,0,515
2022-03-03 03:30,0,429
2022-03-03 03:45,0,377
2022-03-03 04:00,0,455
2022-03-03 04:15,0,573
2022-03-03 04:30,0,3326
2022-03-03 04:45,0,3423
2022-03-03 05:00,0,3374
2022-03-03 05:15,0,525
2022-03-03 05:30,0,569
2022-03-03 05:45,0,491
2022-03-03 06:00,0,433
2022-03-03 06:15,2,473
2022-03-03 06:30,4,462
2022-03-03 06:45,13,673
2022-03-03 07:00,30,557
2022-03-03 07:15,84,558
2022-03-03 07:30,215,510
2022-03-03 07:45,331,572
2022-03-03 08:00,493,588
2022-03-03 08:15,159,549
2022-03-03 08:30,160,565
2022-03-03 08:45,515,543
2022-03-03 09:00,496,489
2022-03-03 09:15,611,643
2022-03-03 09:30,634,562
2022-03-03 09:45,493,425
2022-03-03 10:00,1186,1485
2022-03-03 10:15,801,1514
2022-03-03 10:30,398,1401
2022-03-03 10:45,1220,3360
2022-03-03 11:00,475,1496
2022-03-03 11:15,674,1385
2022-03-03 11:30,239,1364
2022-03-03 11:45,409,2864
2022-03-03 12:00,322,1574
2022-03-03 12:15,291,1330
2022-03-03 12:30,1216,2959
2022-03-03 12:45,1220,1565
2022-03-03 13:00,634,1549
2022-03-03 13:15,576,1403
2022-03-03 13:30,658,1313
2022-03-03 13:45,490,1389
2022-03-03 14:00,979,1371
2022-03-03 14:15,493,1368
2022-03-03 14:30,442,1449
2022-03-03 14:45,315,1362
2022-03-03 15:00,400,394
2022-03-03 15:15,310,461
2022-03-03 15:30,545,541
2022-03-03 15:45,505,502
2022-03-03 16:00,235,366
2022-03-03 16:15,183,365
2022-03-03 16:30,265,526
2022-03-03 16:45,277,587
2022-03-03 17:00,465,530
2022-03-03 17:15,468,474
2022-03-03 17:30,229,516
2022-03-03 17:45,188,690
2022-03-03 18:00,166,667
2022-03-03 18:15,106,572
2022-03-03 18:30,95,482
2022-03-03 18:45,46,395
2022-03-03 19:00,32,479
2022-03-03 19:15,11,542
2022-03-03 19:30,1,525
2022-03-03 19:45,0,386
2022-03-03 20:00,0,415
2022-03-03 20:15,0,512
2022-03-03 20:30,0,583
2022-03-03 20:45,0,499
2022-03-03 21:00,0,450
2022-03-03 21:15,0,987
2022-03-03 21:30,0,554
2022-03-03 21:45,0,480
2022-03-03 22:00,0,463
2022-03-03 22:15,0,476
2022-03-03 22:30,0,468
2022-03-03 22:45,0,456
2022-03-03 23:00,0,454
2022-03-03 23:15,0,524
2022-03-03 23:30,0,472
2022-03-03 23:45,0,390
2022-03-04 00:00,0,457
2022-03-04 00:15,0,537
2022-03-04 00:30,0,523
2022-03-04 00:45,0,383
2022-03-04 01:00,0,483
2022-03-04 01:15,0,540
2022-03-04 01:30,0,523
2022-03-04 01:45,0,381
2022-03-04 02:00,0,381
2022-03-04 02:15,0,448
2022-03-04 02:30,0,523
2022-03-04 02:45,0,440
2022-03-04 03:00,0,410
2022-03-04 03:15,0,378
2022-03-04 03:30,0,527
2022-03-04 03:45,0,510
2022-03-04 04:00,0,467
2022-03-04 04:15,0,375
2022-03-04 04:30,0,3432
2022-03-04 04:45,0,3447
2022-03-04 05:00,0,3369
2022-03-04 05:15,0,3414
2022-03-04 05:30,0,405
2022-03-04 05:45,0,527
2022-03-04 06:00,0,469
2022-03-04 06:15,0,428
2022-03-04 06:30,4,393
2022-03-04 06:45,15,451
2022-03-04 07:00,33,535
2022-03-04 07:15,135,447
2022-03-04 07:30,213,421
2022-03-04 07:45,313,502
2022-03-04 08:00,424,582
2022-03-04 08:15,465,459
2022-03-04 08:30,444,439
2022-03-04 08:45,448,444
2022-03-04 09:00,363,361
2022-03-04 09:15,459,456
2022-03-04 09:30,586,545
2022-03-04 09:45,529,467
2022-03-04 10:00,1137,1337
2022-03-04 10:15,1200,1409
2022-03-04 10:30,1220,1461
2022-03-04 10:45,1220,1421
2022-03-04 11:00,1220,1301
2022-03-04 11:15,1220,1344
2022-03-04 11:30,1220,1261
2022-03-04 11:45,1220,3490
2022-03-04 12:00,474,1347
2022-03-04 12:15,1222,1394
2022-03-04 12:30,1223,1276
2022-03-04 12:45,1223,1345
2022-03-04 13:00,1223,1419
2022-03-04 13:15,1222,3373
2022-03-04 13:30,1222,3496
2022-03-04 13:45,1223,3379
2022-03-04 14:00,1220,3496
2022-03-04 14:15,1220,3482
2022-03-04 14:30,1220,3322
2022-03-04 14:45,1220,1302
2022-03-04 15:00,515,479
2022-03-04 15:15,929,938
2022-03-04 15:30,1139,3383
2022-03-04 15:45,428,424
2022-03-04 16:00,509,515
2022-03-04 16:15,147,442
2022-03-04 16:30,317,430
2022-03-04 16:45,132,430
2022-03-04 17:00,545,541
2022-03-04 17:15,295,435
2022-03-04 17:30,365,489
2022-03-04 17:45,134,3062
2022-03-04 18:00,106,3116
2022-03-04 18:15,49,554
2022-03-04 18:30,34,509
2022-03-04 18:45,29,377
2022-03-04 19:00,18,469
2022-03-04 19:15,8,448
2022-03-04 19:30,1,446
2022-03-04 19:45,0,580
2022-03-04 20:00,0,505
2022-03-04 20:15,0,462
2022-03-04 20:30,0,459
2022-03-04 20:45,0,547
2022-03-04 21:00,0,475
2022-03-04 21:15,0,388
2022-03-04 21:30,0,411
2022-03-04 21:45,0,589
2022-03-04 22:00,0,622
2022-03-04 22:15,0,439
2022-03-04 22:30,0,2402
2022-03-04 22:45,0,469
2022-03-04 23:00,0,523
2022-03-04 23:15,0,437
2022-03-04 23:30,0,377
2022-03-04 23:45,0,463
