 ,Production (W),Consumption (W)
2022-12-06 00:00,0,514
2022-12-06 00:15,0,249
2022-12-06 00:30,0,246
2022-12-06 00:45,0,433
2022-12-06 01:00,0,430
2022-12-06 01:15,0,148
2022-12-06 01:30,0,239
2022-12-06 01:45,0,370
2022-12-06 02:00,0,264
2022-12-06 02:15,0,146
2022-12-06 02:30,0,230
2022-12-06 02:45,0,216
2022-12-06 03:00,0,351
2022-12-06 03:15,0,3158
2022-12-06 03:30,0,3071
2022-12-06 03:45,0,343
2022-12-06 04:00,0,144
2022-12-06 04:15,0,294
2022-12-06 04:30,0,138
2022-12-06 04:45,0,338
2022-12-06 05:00,0,423
2022-12-06 05:15,1,65
2022-12-06 05:30,7,178
2022-12-06 05:45,20,1702
2022-12-06 06:00,32,372
2022-12-06 06:15,44,124
2022-12-06 06:30,79,231
2022-12-06 06:45,135,59
2022-12-06 07:00,136,146
2022-12-06 07:15,302,306
2022-12-06 07:30,234,240
2022-12-06 07:45,185,138
2022-12-06 08:00,341,322
2022-12-06 08:15,687,710
2022-12-06 08:30,695,690
2022-12-06 08:45,545,533
2022-12-06 09:00,889,885
2022-12-06 09:15,545,543
2022-12-06 09:30,614,607
2022-12-06 09:45,731,701
2022-12-06 10:00,679,674
2022-12-06 10:15,675,665
2022-12-06 10:30,695,532
2022-12-06 10:45,533,530
2022-12-06 11:00,631,620
2022-12-06 11:15,618,609
2022-12-06 11:30,485,483
2022-12-06 11:45,519,554
2022-12-06 12:00,436,436
2022-12-06 12:15,774,775
2022-12-06 12:30,444,442
2022-12-06 12:45,489,493
2022-12-06 13:00,385,386
2022-12-06 13:15,469,624
2022-12-06 13:30,529,448
2022-12-06 13:45,440,441
2022-12-06 14:00,30,0
2022-12-06 14:15,36,0
2022-12-06 14:30,33,0
2022-12-06 14:45,28,0
2022-12-06 15:00,32,0
2022-12-06 15:15,28,0
2022-12-06 15:30,19,0
2022-12-06 15:45,14,0
2022-12-06 16:00,11,0
2022-12-06 16:15,13,0
2022-12-06 16:30,583,997
2022-12-06 16:45,525,730
2022-12-06 17:00,432,725
2022-12-06 17:15,314,703
2022-12-06 17:30,75,2730
2022-12-06 17:45,68,2521
2022-12-06 18:00,63,2553
2022-12-06 18:15,58,321
2022-12-06 18:30,53,227
2022-12-06 18:45,46,208
2022-12-06 19:00,38,472
2022-12-06 19:15,28,292
2022-12-06 19:30,17,206
2022-12-06 19:45,7,195
2022-12-06 20:00,1,426
2022-12-06 20:15,0,276
2022-12-06 20:30,0,97
2022-12-06 20:45,0,109
2022-12-06 21:00,0,316
2022-12-06 21:15,0,399
2022-12-06 21:30,0,260
2022-12-06 21:45,0,152
2022-12-06 22:00,0,410
2022-12-06 23:00,0,0
2022-12-07 00:00,0,574
2022-12-07 00:15,0,309
2022-12-07 00:30,0,287
2022-12-07 00:45,0,542
2022-12-07 01:00,0,284
2022-12-07 01:15,0,161
2022-12-07 01:30,0,243
2022-12-07 01:45,0,339
2022-12-07 02:00,0,151
2022-12-07 02:15,0,143
2022-12-07 02:30,0,272
2022-12-07 02:45,0,161
2022-12-07 03:00,0,81
2022-12-07 03:15,0,3201
2022-12-07 03:30,0,3234
2022-12-07 03:45,0,3235
2022-12-07 04:00,0,135
2022-12-07 04:15,0,245
2022-12-07 04:30,0,170
2022-12-07 04:45,0,161
2022-12-07 05:00,0,193
2022-12-07 05:15,4,143
2022-12-07 05:30,8,124
2022-12-07 05:45,21,334
2022-12-07 06:00,33,200
2022-12-07 06:15,45,73
2022-12-07 06:30,86,97
2022-12-07 06:45,139,174
2022-12-07 07:00,221,318
2022-12-07 07:15,307,2369
2022-12-07 07:30,283,282
2022-12-07 07:45,110,132
2022-12-07 08:00,509,458
2022-12-07 08:15,541,644
2022-12-07 08:30,545,540
2022-12-07 08:45,553,548
2022-12-07 09:00,654,646
2022-12-07 09:15,614,614
2022-12-07 09:30,703,700
2022-12-07 09:45,598,592
2022-12-07 10:00,687,679
2022-12-07 10:15,632,719
2022-12-07 10:30,541,539
2022-12-07 10:45,650,643
2022-12-07 11:00,699,688
2022-12-07 11:15,780,771
2022-12-07 11:30,598,588
2022-12-07 11:45,715,709
2022-12-07 12:00,601,600
2022-12-07 12:15,611,592
2022-12-07 12:30,622,619
2022-12-07 12:45,549,541
2022-12-07 13:00,614,606
2022-12-07 13:15,695,639
2022-12-07 13:30,631,595
2022-12-07 13:45,646,635
2022-12-07 14:00,1223,3582
2022-12-07 14:15,22,0
2022-12-07 14:30,20,0
2022-12-07 14:45,29,0
2022-12-07 15:00,9,0
2022-12-07 15:15,18,0
2022-12-07 15:30,11,0
2022-12-07 15:45,14,0
2022-12-07 16:00,10,0
2022-12-07 16:15,9,0
