 ,Production (W),Consumption (W)
2023-01-17 00:00,0,76
2023-01-17 00:15,0,77
2023-01-17 01:15,0,0
2023-01-17 02:00,0,365
2023-01-17 02:15,0,273
2023-01-17 02:30,0,241
2023-01-17 02:45,0,338
2023-01-17 03:00,0,260
2023-01-17 03:15,0,3176
2023-01-17 03:30,0,3083
2023-01-17 03:45,0,3131
2023-01-17 04:00,0,145
2023-01-17 04:15,0,173
2023-01-17 04:30,0,251
2023-01-17 04:45,0,218
2023-01-17 05:00,0,216
2023-01-17 05:15,0,210
2023-01-17 05:30,2,211
2023-01-17 05:45,4,123
2023-01-17 06:00,13,100
2023-01-17 06:15,27,148
2023-01-17 06:30,42,141
2023-01-17 06:45,70,350
2023-01-17 07:00,120,117
2023-01-17 07:15,136,152
2023-01-17 07:30,122,206
2023-01-17 07:45,198,211
2023-01-17 08:00,349,353
2023-01-17 08:15,6,0
2023-01-17 08:30,5,0
2023-01-17 08:45,8,0
2023-01-17 09:00,8,0
2023-01-17 09:15,7,0
2023-01-17 09:30,10,0
2023-01-17 09:45,11,0
2023-01-17 10:00,14,1004
2023-01-17 10:15,659,653
2023-01-17 10:30,788,649
2023-01-17 10:45,647,647
2023-01-17 11:00,633,659
2023-01-17 11:15,638,574
2023-01-17 11:30,740,735
2023-01-17 11:45,740,736
2023-01-17 12:00,739,644
2023-01-17 12:15,727,722
2023-01-17 12:30,732,724
2023-01-17 12:45,724,717
2023-01-17 13:00,735,656
2023-01-17 13:15,657,670
2023-01-17 13:30,658,652
2023-01-17 13:45,736,738
2023-01-17 14:00,1220,3470
2023-01-17 14:15,590,583
2023-01-17 14:30,574,580
2023-01-17 14:45,578,571
2023-01-17 15:00,578,571
2023-01-17 15:15,577,570
2023-01-17 15:30,517,446
2023-01-17 15:45,452,447
2023-01-17 16:00,396,392
2023-01-17 16:15,14,0
2023-01-17 16:30,14,0
2023-01-17 16:45,15,0
2023-01-17 17:00,13,0
2023-01-17 17:15,10,0
2023-01-17 17:30,11,0
2023-01-17 17:45,7,0
2023-01-17 18:00,100,747
2023-01-17 18:15,106,303
2023-01-17 18:30,93,299
2023-01-17 18:45,106,287
2023-01-17 19:00,56,279
2023-01-17 19:15,51,277
2023-01-17 19:30,38,2326
2023-01-17 19:45,17,256
2023-01-17 20:00,6,280
2023-01-17 20:15,0,402
2023-01-17 20:30,0,377
2023-01-17 20:45,0,388
2023-01-17 21:00,0,388
2023-01-17 21:15,0,325
2023-01-17 21:30,0,314
2023-01-17 21:45,0,338
2023-01-17 22:00,0,416
2023-01-17 22:15,0,409
2023-01-17 22:30,0,409
2023-01-17 22:45,0,400
2023-01-17 23:00,0,336
2023-01-17 23:15,0,333
2023-01-17 23:30,0,197
2023-01-17 23:45,0,157
2023-01-18 00:00,0,246
2023-01-18 01:00,0,0
2023-01-18 02:00,0,341
2023-01-18 02:15,0,265
2023-01-18 02:30,0,257
2023-01-18 02:45,0,235
2023-01-18 03:00,0,231
2023-01-18 03:15,0,2983
2023-01-18 03:30,0,223
2023-01-18 03:45,0,225
2023-01-18 04:00,0,220
2023-01-18 04:15,0,147
2023-01-18 04:30,0,144
2023-01-18 04:45,0,143
2023-01-18 05:00,0,235
2023-01-18 05:15,0,219
2023-01-18 05:30,0,215
2023-01-18 05:45,0,151
2023-01-18 06:00,1,139
2023-01-18 06:15,10,66
2023-01-18 06:30,31,134
2023-01-18 06:45,58,128
2023-01-18 07:00,65,199
2023-01-18 07:15,134,203
2023-01-18 07:30,140,220
2023-01-18 07:45,190,146
2023-01-18 08:00,305,526
2023-01-18 08:15,518,535
2023-01-18 08:30,638,632
