 ,Production (W),Consumption (W)
2023-02-07 00:00,0,350
2023-02-07 00:15,0,253
2023-02-07 00:30,0,246
2023-02-07 00:45,0,240
2023-02-07 01:00,0,226
2023-02-07 01:15,0,223
2023-02-07 01:30,0,226
2023-02-07 01:45,0,260
2023-02-07 02:00,0,145
2023-02-07 02:15,0,149
2023-02-07 02:30,0,225
2023-02-07 02:45,0,218
2023-02-07 03:00,0,209
2023-02-07 03:15,0,2977
2023-02-07 03:30,0,2947
2023-02-07 03:45,0,137
2023-02-07 04:00,0,216
2023-02-07 04:15,0,208
2023-02-07 04:30,0,212
2023-02-07 04:45,0,78
2023-02-07 05:00,0,77
2023-02-07 05:15,0,297
2023-02-07 05:30,0,221
2023-02-07 05:45,0,248
2023-02-07 06:00,0,148
2023-02-07 06:15,1,0
2023-02-07 06:30,3,0
2023-02-07 06:45,3,0
2023-02-07 07:00,3,0
2023-02-07 07:15,3,0
2023-02-07 07:30,4,0
2023-02-07 07:45,5,0
2023-02-07 08:00,302,877
2023-02-07 08:15,304,687
2023-02-07 08:30,262,831
2023-02-07 08:45,301,691
2023-02-07 09:00,197,720
2023-02-07 09:15,360,826
2023-02-07 09:30,315,640
2023-02-07 09:45,366,659
2023-02-07 10:00,324,728
2023-02-07 10:15,592,723
2023-02-07 10:30,624,631
2023-02-07 10:45,644,764
2023-02-07 11:00,645,636
2023-02-07 11:15,625,632
2023-02-07 11:30,559,716
2023-02-07 11:45,709,708
2023-02-07 12:00,685,707
2023-02-07 12:15,477,645
2023-02-07 12:30,561,571
2023-02-07 12:45,613,626
2023-02-07 13:00,565,633
2023-02-07 13:15,702,695
2023-02-07 13:30,719,709
2023-02-07 13:45,643,631
2023-02-07 14:00,1220,3511
2023-02-07 14:15,1220,3415
2023-02-07 14:30,597,3543
2023-02-07 14:45,715,703
2023-02-07 15:00,607,689
2023-02-07 15:15,665,647
2023-02-07 15:30,466,542
2023-02-07 15:45,564,599
2023-02-07 16:00,612,608
2023-02-07 16:15,341,710
2023-02-07 16:30,311,701
2023-02-07 16:45,372,644
2023-02-07 17:00,348,579
2023-02-07 17:15,412,1876
2023-02-07 17:30,275,405
2023-02-07 17:45,251,402
2023-02-07 18:00,164,323
2023-02-07 18:15,183,256
2023-02-07 18:30,181,183
2023-02-07 18:45,128,275
2023-02-07 19:00,88,345
2023-02-07 19:15,45,2408
2023-02-07 19:30,22,369
2023-02-07 19:45,10,346
2023-02-07 20:00,1,2298
2023-02-07 20:15,0,268
2023-02-07 20:30,0,263
2023-02-07 20:45,0,312
2023-02-07 21:00,0,311
2023-02-07 21:15,0,249
2023-02-07 21:30,0,160
2023-02-07 21:45,0,150
2023-02-07 22:00,0,253
2023-02-07 23:00,0,0
2023-02-08 00:00,0,507
2023-02-08 00:15,0,354
2023-02-08 00:30,0,247
2023-02-08 00:45,0,227
2023-02-08 01:00,0,495
2023-02-08 01:15,0,225
2023-02-08 01:30,0,228
2023-02-08 01:45,0,145
2023-02-08 02:00,0,153
2023-02-08 02:15,0,251
2023-02-08 02:30,0,155
2023-02-08 02:45,0,153
2023-02-08 03:00,0,214
2023-02-08 03:15,0,3166
2023-02-08 03:30,0,3051
2023-02-08 03:45,0,3161
2023-02-08 04:00,0,164
2023-02-08 04:15,0,260
2023-02-08 04:30,0,244
2023-02-08 04:45,0,134
2023-02-08 05:00,0,135
2023-02-08 05:15,0,231
2023-02-08 05:30,0,191
