 ,Production (W),Consumption (W)
2022-02-12 00:00,0,469
2022-02-12 00:15,0,465
2022-02-12 00:30,0,459
2022-02-12 00:45,0,452
2022-02-12 01:00,0,440
2022-02-12 01:15,0,435
2022-02-12 01:30,0,523
2022-02-12 01:45,0,542
2022-02-12 02:00,0,372
2022-02-12 02:15,0,368
2022-02-12 02:30,0,550
2022-02-12 02:45,0,432
2022-02-12 03:00,0,435
2022-02-12 03:15,0,467
2022-02-12 03:30,0,488
2022-02-12 03:45,0,433
2022-02-12 04:00,0,432
2022-02-12 04:15,0,526
2022-02-12 04:30,0,449
2022-02-12 04:45,0,371
2022-02-12 05:00,0,437
2022-02-12 05:15,0,516
2022-02-12 05:30,0,427
2022-02-12 05:45,0,371
2022-02-12 06:00,2,400
2022-02-12 06:15,5,508
2022-02-12 06:30,18,414
2022-02-12 06:45,32,409
2022-02-12 07:00,52,385
2022-02-12 07:15,130,469
2022-02-12 07:30,229,470
2022-02-12 07:45,330,424
2022-02-12 08:00,444,515
2022-02-12 08:15,440,441
2022-02-12 08:30,363,404
2022-02-12 08:45,448,457
2022-02-12 09:00,810,1470
2022-02-12 09:15,886,1360
2022-02-12 09:30,957,3273
2022-02-12 09:45,1017,1294
2022-02-12 10:00,1068,1356
2022-02-12 10:15,1138,1338
2022-02-12 10:30,1189,1331
2022-02-12 10:45,1220,1418
2022-02-12 11:00,1220,1260
2022-02-12 11:15,1220,1257
2022-02-12 11:30,1220,1318
2022-02-12 11:45,1219,1322
2022-02-12 12:00,1220,1309
2022-02-12 12:15,1220,1402
2022-02-12 12:30,1220,1277
2022-02-12 12:45,1220,1320
2022-02-12 13:00,1220,1410
2022-02-12 13:15,1220,1416
2022-02-12 13:30,1220,1296
2022-02-12 13:45,1220,1395
2022-02-12 14:00,436,434
2022-02-12 14:15,351,350
2022-02-12 14:30,404,410
2022-02-12 14:45,400,492
2022-02-12 15:00,271,401
2022-02-12 15:15,185,346
2022-02-12 15:30,359,431
2022-02-12 15:45,323,377
2022-02-12 16:00,452,447
2022-02-12 16:15,427,566
2022-02-12 16:30,381,570
2022-02-12 16:45,367,378
2022-02-12 17:00,284,484
2022-02-12 17:15,210,449
2022-02-12 17:30,185,474
2022-02-12 17:45,197,562
2022-02-12 18:00,143,3119
2022-02-12 18:15,82,2953
2022-02-12 18:30,40,538
2022-02-12 18:45,42,471
2022-02-12 19:00,32,489
2022-02-12 19:15,16,583
2022-02-12 19:30,7,459
2022-02-12 19:45,2,419
2022-02-12 20:00,0,523
2022-02-12 20:15,0,514
2022-02-12 20:30,0,533
2022-02-12 20:45,0,605
2022-02-12 21:00,0,461
2022-02-12 21:15,0,468
2022-02-12 21:30,0,551
2022-02-12 21:45,0,561
2022-02-12 22:00,0,546
2022-02-12 22:15,0,574
2022-02-12 22:30,0,428
2022-02-12 22:45,0,436
2022-02-12 23:00,0,570
2022-02-12 23:15,0,525
2022-02-12 23:30,0,427
2022-02-12 23:45,0,456
2022-02-13 00:00,0,370
2022-02-13 00:15,0,435
2022-02-13 00:30,0,517
2022-02-13 00:45,0,508
2022-02-13 01:00,0,369
2022-02-13 01:15,0,368
2022-02-13 01:30,0,450
2022-02-13 01:45,0,429
2022-02-13 02:00,0,429
2022-02-13 02:15,0,514
2022-02-13 02:30,0,368
2022-02-13 02:45,0,370
2022-02-13 03:00,0,433
2022-02-13 03:15,0,514
2022-02-13 03:30,0,455
2022-02-13 03:45,0,396
2022-02-13 04:00,0,471
2022-02-13 04:15,0,447
