 ,Production (W),Consumption (W)
2022-11-29 00:00,0,222
2022-11-29 00:15,0,136
2022-11-29 00:30,0,132
2022-11-29 00:45,0,130
2022-11-29 01:00,0,155
2022-11-29 01:15,0,177
2022-11-29 01:30,0,90
2022-11-29 01:45,0,93
2022-11-29 02:00,0,234
2022-11-29 03:00,0,0
2022-11-29 04:00,0,3387
2022-11-29 04:15,0,3270
2022-11-29 04:30,0,3257
2022-11-29 04:45,0,272
2022-11-29 05:00,2,162
2022-11-29 05:15,6,143
2022-11-29 05:30,11,375
2022-11-29 05:45,22,133
2022-11-29 06:00,41,285
2022-11-29 06:15,77,354
2022-11-29 06:30,127,118
2022-11-29 06:45,134,121
2022-11-29 07:00,136,121
2022-11-29 07:15,211,255
2022-11-29 07:30,116,69
2022-11-29 07:45,107,91
2022-11-29 08:00,712,787
2022-11-29 08:15,800,790
2022-11-29 08:30,599,715
2022-11-29 08:45,719,716
2022-11-29 09:00,821,809
2022-11-29 09:15,803,802
2022-11-29 09:30,675,775
2022-11-29 09:45,840,822
2022-11-29 10:00,723,717
2022-11-29 10:15,806,703
2022-11-29 10:30,700,707
2022-11-29 10:45,800,802
2022-11-29 11:00,788,781
2022-11-29 11:15,553,554
2022-11-29 11:30,699,700
2022-11-29 11:45,751,745
2022-11-29 12:00,727,720
2022-11-29 12:15,509,504
2022-11-29 12:30,391,708
2022-11-29 12:45,792,785
2022-11-29 13:00,780,768
2022-11-29 13:15,703,685
2022-11-29 13:30,710,701
2022-11-29 13:45,793,780
2022-11-29 14:00,1226,3544
2022-11-29 14:15,643,636
2022-11-29 14:30,735,732
2022-11-29 14:45,720,717
2022-11-29 15:00,715,702
2022-11-29 15:15,717,722
2022-11-29 15:30,821,821
2022-11-29 15:45,723,717
2022-11-29 16:00,731,775
2022-11-29 16:15,681,811
2022-11-29 16:30,589,800
2022-11-29 16:45,496,609
2022-11-29 17:00,402,818
2022-11-29 17:15,308,400
2022-11-29 17:30,84,397
2022-11-29 17:45,74,2166
2022-11-29 18:00,67,344
2022-11-29 18:15,60,295
2022-11-29 18:30,52,258
2022-11-29 18:45,44,183
2022-11-29 19:00,34,128
2022-11-29 19:15,23,212
2022-11-29 19:30,11,198
2022-11-29 19:45,4,66
2022-11-29 20:00,0,75
2022-11-29 20:15,0,296
2022-11-29 20:30,0,365
2022-11-29 20:45,0,233
2022-11-29 21:00,0,345
2022-11-29 21:15,0,333
2022-11-29 21:30,0,247
2022-11-29 21:45,0,195
2022-11-29 22:00,0,192
2022-11-29 22:15,0,208
2022-11-29 22:30,0,335
2022-11-29 22:45,0,147
2022-11-29 23:00,0,350
2022-11-29 23:15,0,174
2022-11-29 23:30,0,165
2022-11-29 23:45,0,190
2022-11-30 00:00,0,79
2022-11-30 00:15,0,225
2022-11-30 00:30,0,213
2022-11-30 00:45,0,133
2022-11-30 01:00,0,175
2022-11-30 01:15,0,164
2022-11-30 01:30,0,265
2022-11-30 01:45,0,79
2022-11-30 02:00,0,255
2022-11-30 02:15,0,221
2022-11-30 02:30,0,215
2022-11-30 02:45,0,135
2022-11-30 03:00,0,75
2022-11-30 03:15,0,3193
2022-11-30 03:30,0,3162
2022-11-30 03:45,0,3174
2022-11-30 04:00,0,3194
2022-11-30 04:15,0,227
2022-11-30 04:30,0,219
2022-11-30 04:45,0,78
2022-11-30 05:00,0,77
2022-11-30 05:15,0,159
2022-11-30 05:30,4,372
2022-11-30 05:45,9,125
2022-11-30 06:00,19,120
2022-11-30 06:15,25,213
2022-11-30 06:30,35,142
2022-11-30 06:45,47,65
2022-11-30 07:00,50,63
2022-11-30 07:15,95,218
2022-11-30 07:30,88,346
2022-11-30 07:45,120,117
2022-11-30 08:00,173,180
2022-11-30 08:15,208,797
2022-11-30 08:30,728,752
