 ,Production (W),Consumption (W)
2021-05-29 00:00,0,733
2021-05-29 00:15,0,724
2021-05-29 00:30,0,582
2021-05-29 00:45,0,528
2021-05-29 01:00,0,163
2021-05-29 01:15,0,218
2021-05-29 01:30,0,209
2021-05-29 01:45,0,73
2021-05-29 02:00,0,75
2021-05-29 02:15,0,139
2021-05-29 02:30,0,133
2021-05-29 02:45,0,159
2021-05-29 03:00,0,148
2021-05-29 03:15,0,135
2021-05-29 03:30,0,127
2021-05-29 03:45,0,69
2021-05-29 04:00,0,73
2021-05-29 04:15,0,133
2021-05-29 04:30,0,159
2021-05-29 04:45,0,148
2021-05-29 05:00,0,75
2021-05-29 05:15,0,3096
2021-05-29 05:30,0,2926
2021-05-29 05:45,0,3060
2021-05-29 06:00,0,139
2021-05-29 06:15,0,217
2021-05-29 06:30,0,146
2021-05-29 06:45,0,142
2021-05-29 07:00,0,71
2021-05-29 07:15,0,130
2021-05-29 07:30,2,61
2021-05-29 07:45,7,62
2021-05-29 08:00,25,124
2021-05-29 08:15,54,194
2021-05-29 08:30,109,132
2021-05-29 08:45,86,271
2021-05-29 09:00,114,560
2021-05-29 09:15,119,1927
2021-05-29 09:30,171,329
2021-05-29 09:45,103,331
2021-05-29 10:00,358,402
2021-05-29 10:15,226,393
2021-05-29 10:30,165,290
2021-05-29 10:45,257,270
2021-05-29 11:00,379,380
2021-05-29 11:15,438,449
2021-05-29 11:30,364,363
2021-05-29 11:45,298,286
2021-05-29 12:00,1220,1275
2021-05-29 12:15,1219,1172
2021-05-29 12:30,1160,1156
2021-05-29 12:45,1179,1291
2021-05-29 13:00,600,1279
2021-05-29 13:15,253,1152
2021-05-29 13:30,252,1149
2021-05-29 13:45,1149,1141
2021-05-29 14:00,1139,1248
2021-05-29 14:15,1220,1278
2021-05-29 14:30,319,308
2021-05-29 14:45,340,342
2021-05-29 15:00,287,348
2021-05-29 15:15,139,365
2021-05-29 15:30,357,361
2021-05-29 15:45,173,409
2021-05-29 16:00,162,400
2021-05-29 16:15,124,3150
2021-05-29 16:30,91,3005
2021-05-29 16:45,67,3277
2021-05-29 17:00,49,3270
2021-05-29 17:15,30,759
2021-05-29 17:30,13,3174
2021-05-29 17:45,6,3124
2021-05-29 18:00,0,3629
2021-05-29 18:15,0,730
2021-05-29 18:30,0,715
2021-05-29 18:45,0,783
2021-05-29 19:00,0,860
2021-05-29 19:15,0,848
2021-05-29 19:30,0,682
2021-05-29 19:45,0,677
2021-05-29 20:00,0,883
2021-05-29 20:15,0,476
2021-05-29 20:30,0,360
2021-05-29 20:45,0,362
2021-05-29 21:00,0,444
2021-05-29 21:15,0,525
2021-05-29 21:30,0,465
2021-05-29 21:45,0,476
2021-05-29 22:00,0,445
2021-05-29 22:15,0,401
2021-05-29 22:30,0,394
2021-05-29 22:45,0,585
2021-05-29 23:00,0,873
2021-05-29 23:15,0,845
2021-05-29 23:30,0,779
2021-05-29 23:45,0,755
2021-05-30 00:00,0,727
2021-05-30 00:15,0,683
2021-05-30 00:30,0,743
2021-05-30 00:45,0,817
2021-05-30 01:00,0,742
2021-05-30 01:15,0,286
2021-05-30 01:30,0,286
2021-05-30 01:45,0,348
2021-05-30 02:00,0,341
2021-05-30 02:15,0,374
2021-05-30 02:30,0,361
2021-05-30 02:45,0,412
2021-05-30 03:00,0,341
2021-05-30 03:15,0,285
2021-05-30 03:30,0,287
2021-05-30 03:45,0,345
2021-05-30 04:00,0,343
2021-05-30 04:15,0,376
2021-05-30 04:30,0,362
2021-05-30 04:45,0,414
2021-05-30 05:00,0,288
2021-05-30 05:15,0,3353
2021-05-30 05:30,0,3250
2021-05-30 05:45,0,3241
2021-05-30 06:00,0,3223
2021-05-30 06:15,0,287
2021-05-30 06:30,0,372
2021-05-30 06:45,0,421
2021-05-30 07:00,0,353
2021-05-30 07:15,1,284
2021-05-30 07:30,3,275
2021-05-30 07:45,10,343
2021-05-30 08:00,39,286
2021-05-30 08:15,100,286
2021-05-30 08:30,99,794
2021-05-30 08:45,128,412
2021-05-30 09:00,247,349
2021-05-30 09:15,261,349
2021-05-30 09:30,282,278
2021-05-30 09:45,376,400
2021-05-30 10:00,361,350
2021-05-30 10:15,316,306
2021-05-30 10:30,304,310
2021-05-30 10:45,416,403
2021-05-30 11:00,468,387
2021-05-30 11:15,371,360
2021-05-30 11:30,362,366
2021-05-30 11:45,335,329
2021-05-30 12:00,1220,1298
2021-05-30 12:15,1032,1314
2021-05-30 12:30,1220,1329
2021-05-30 12:45,1220,1406
2021-05-30 13:00,1220,1296
2021-05-30 13:15,1220,1338
2021-05-30 13:30,1214,1302
2021-05-30 13:45,1179,1229
2021-05-30 14:00,1155,3196
2021-05-30 14:15,1159,3213
2021-05-30 14:30,434,413
2021-05-30 14:45,381,414
2021-05-30 15:00,650,634
2021-05-30 15:15,359,355
2021-05-30 15:30,347,342
2021-05-30 15:45,340,339
2021-05-30 16:00,314,315
2021-05-30 16:15,552,3314
2021-05-30 16:30,460,3333
2021-05-30 16:45,345,5119
2021-05-30 17:00,38,371
2021-05-30 17:15,30,790
2021-05-30 17:30,18,2842
2021-05-30 17:45,7,823
2021-05-30 18:00,1,3397
2021-05-30 18:15,0,807
2021-05-30 18:30,0,780
2021-05-30 18:45,0,799
2021-05-30 19:00,0,833
2021-05-30 19:15,0,750
2021-05-30 19:30,0,802
2021-05-30 19:45,0,841
2021-05-30 20:00,0,865
2021-05-30 20:15,0,905
2021-05-30 20:30,0,331
2021-05-30 20:45,0,288
2021-05-30 21:00,0,285
2021-05-30 21:15,0,359
2021-05-30 21:30,0,409
2021-05-30 21:45,0,266
2021-05-30 22:00,0,264
2021-05-30 22:15,0,366
2021-05-30 22:30,0,456
2021-05-30 22:45,0,277
2021-05-30 23:00,0,642
2021-05-30 23:15,0,764
2021-05-30 23:30,0,808
2021-05-30 23:45,0,688
2021-05-31 00:00,0,747
2021-05-31 00:15,0,809
2021-05-31 00:30,0,743
2021-05-31 00:45,0,682
2021-05-31 01:00,0,695
2021-05-31 01:15,0,349
2021-05-31 01:30,0,422
2021-05-31 01:45,0,359
2021-05-31 02:00,0,285
2021-05-31 02:15,0,349
2021-05-31 02:30,0,344
2021-05-31 02:45,0,287
2021-05-31 03:00,0,376
2021-05-31 03:15,0,420
2021-05-31 03:30,0,413
2021-05-31 03:45,0,286
2021-05-31 04:00,0,288
2021-05-31 04:15,0,344
2021-05-31 04:30,0,343
2021-05-31 04:45,0,371
2021-05-31 05:00,0,361
2021-05-31 05:15,0,3449
2021-05-31 05:30,0,3277
2021-05-31 05:45,0,284
2021-05-31 06:00,0,287
2021-05-31 06:15,0,344
2021-05-31 06:30,0,370
2021-05-31 06:45,0,359
2021-05-31 07:00,0,354
2021-05-31 07:15,0,344
2021-05-31 07:30,2,278
2021-05-31 07:45,7,279
2021-05-31 08:00,17,278
2021-05-31 08:15,98,446
2021-05-31 08:30,218,377
2021-05-31 08:45,311,319
2021-05-31 09:00,654,372
2021-05-31 09:15,236,375
2021-05-31 09:30,179,512
2021-05-31 09:45,196,595
2021-05-31 10:00,190,406
2021-05-31 10:15,194,464
2021-05-31 10:30,336,395
2021-05-31 10:45,221,329
2021-05-31 11:00,327,328
2021-05-31 11:15,388,387
2021-05-31 11:30,380,379
2021-05-31 11:45,464,472
2021-05-31 12:00,363,1466
2021-05-31 12:15,1164,1518
