 ,Production (W),Consumption (W)
2021-11-13 00:00,0,378
2021-11-13 00:15,0,441
2021-11-13 00:30,0,517
2021-11-13 00:45,0,513
2021-11-13 01:00,0,375
2021-11-13 01:15,0,372
2021-11-13 01:30,0,363
2021-11-13 01:45,0,505
2021-11-13 02:00,0,500
2021-11-13 02:15,0,416
2021-11-13 02:30,0,357
2021-11-13 02:45,0,358
2021-11-13 03:00,0,507
2021-11-13 03:15,0,498
2021-11-13 03:30,0,418
2021-11-13 03:45,0,358
2021-11-13 04:00,0,442
2021-11-13 04:15,0,436
2021-11-13 04:30,0,420
2021-11-13 04:45,0,418
2021-11-13 05:00,0,3416
2021-11-13 05:15,2,3457
2021-11-13 05:30,4,3416
2021-11-13 05:45,14,347
2021-11-13 06:00,28,404
2021-11-13 06:15,44,404
2021-11-13 06:30,106,431
2021-11-13 06:45,143,423
2021-11-13 07:00,241,343
2021-11-13 07:15,339,407
2021-11-13 07:30,434,417
2021-11-13 07:45,548,633
2021-11-13 08:00,113,2480
2021-11-13 08:15,388,382
2021-11-13 08:30,469,475
2021-11-13 08:45,440,526
2021-11-13 09:00,614,1498
2021-11-13 09:15,600,1298
2021-11-13 09:30,1220,1304
2021-11-13 09:45,1219,1328
2021-11-13 10:00,1141,3445
2021-11-13 10:15,985,1436
2021-11-13 10:30,700,1345
2021-11-13 10:45,721,1296
2021-11-13 11:00,1220,1303
2021-11-13 11:15,1219,1392
2021-11-13 11:30,718,1401
2021-11-13 11:45,1221,1397
2021-11-13 12:00,1060,1334
2021-11-13 12:15,444,1274
2021-11-13 12:30,572,1367
2021-11-13 12:45,633,1445
2021-11-13 13:00,740,1411
2021-11-13 13:15,734,1327
2021-11-13 13:30,603,1330
2021-11-13 13:45,1220,1372
2021-11-13 14:00,803,439
2021-11-13 14:15,463,422
2021-11-13 14:30,424,420
2021-11-13 14:45,424,419
2021-11-13 15:00,385,3211
2021-11-13 15:15,395,3278
2021-11-13 15:30,246,460
2021-11-13 15:45,329,427
2021-11-13 16:00,431,439
2021-11-13 16:15,362,517
2021-11-13 16:30,320,460
2021-11-13 16:45,335,383
2021-11-13 17:00,383,384
2021-11-13 17:15,392,443
2021-11-13 17:30,232,517
2021-11-13 17:45,167,568
2021-11-13 18:00,176,504
2021-11-13 18:15,157,505
2021-11-13 18:30,108,422
2021-11-13 18:45,70,476
2021-11-13 19:00,36,605
2021-11-13 19:15,13,603
2021-11-13 19:30,4,538
2021-11-13 19:45,0,465
2021-11-13 20:00,0,475
2021-11-13 20:15,0,506
2021-11-13 20:30,0,572
2021-11-13 20:45,0,591
2021-11-13 21:00,0,511
2021-11-13 21:15,0,430
2021-11-13 21:30,0,549
2021-11-13 21:45,0,626
2021-11-13 22:00,0,616
2021-11-13 22:15,0,473
2021-11-13 22:30,0,393
2021-11-13 22:45,0,389
2021-11-13 23:00,0,536
2021-11-13 23:15,0,530
2021-11-13 23:30,0,451
2021-11-13 23:45,0,391
2021-11-14 00:00,0,388
2021-11-14 00:15,0,442
2021-11-14 00:30,0,495
2021-11-14 00:45,0,416
2021-11-14 01:00,0,354
2021-11-14 01:15,0,354
2021-11-14 01:30,0,437
2021-11-14 01:45,0,494
2021-11-14 02:00,0,411
2021-11-14 02:15,0,413
2021-11-14 02:30,0,353
2021-11-14 02:45,0,438
2021-11-14 03:00,0,502
2021-11-14 03:15,0,415
2021-11-14 03:30,0,415
2021-11-14 03:45,0,353
2021-11-14 04:00,0,440
2021-11-14 04:15,0,438
2021-11-14 04:30,0,418
2021-11-14 04:45,0,414
2021-11-14 05:00,0,3310
2021-11-14 05:15,4,3421
2021-11-14 05:30,5,3517
2021-11-14 05:45,21,489
2021-11-14 06:00,31,405
2021-11-14 06:15,49,402
2021-11-14 06:30,105,340
2021-11-14 06:45,159,419
2021-11-14 07:00,231,517
2021-11-14 07:15,355,457
2021-11-14 07:30,319,398
2021-11-14 07:45,339,338
2021-11-14 08:00,468,458
2021-11-14 08:15,457,454
2021-11-14 08:30,444,438
2021-11-14 08:45,463,482
2021-11-14 09:00,954,1399
2021-11-14 09:15,1035,1383
2021-11-14 09:30,1105,1365
2021-11-14 09:45,1166,1336
2021-11-14 10:00,1219,1340
2021-11-14 10:15,1220,1340
2021-11-14 10:30,1220,1372
2021-11-14 10:45,1220,1363
2021-11-14 11:00,1220,1361
2021-11-14 11:15,1220,1341
2021-11-14 11:30,1220,1340
2021-11-14 11:45,1220,1356
2021-11-14 12:00,1220,1375
2021-11-14 12:15,1220,1359
2021-11-14 12:30,1220,1336
2021-11-14 12:45,1220,1335
2021-11-14 13:00,1220,1344
