 ,Production (W),Consumption (W)
2022-07-23 00:00,0,837
2022-07-23 00:15,0,781
2022-07-23 00:30,0,849
2022-07-23 00:45,0,830
2022-07-23 01:00,0,772
2022-07-23 01:15,0,833
2022-07-23 01:30,0,917
2022-07-23 01:45,0,889
2022-07-23 02:00,0,764
2022-07-23 02:15,0,844
2022-07-23 02:30,0,782
2022-07-23 02:45,0,770
2022-07-23 03:00,0,757
2022-07-23 03:15,0,3822
2022-07-23 03:30,0,3473
2022-07-23 03:45,0,3427
2022-07-23 04:00,0,3337
2022-07-23 04:15,0,3332
2022-07-23 04:30,0,380
2022-07-23 04:45,0,448
2022-07-23 05:00,0,458
2022-07-23 05:15,0,514
2022-07-23 05:30,0,436
2022-07-23 05:45,0,501
2022-07-23 06:00,0,447
2022-07-23 06:15,0,368
2022-07-23 06:30,0,368
2022-07-23 06:45,0,447
2022-07-23 07:00,0,501
2022-07-23 07:15,0,426
2022-07-23 07:30,4,445
2022-07-23 07:45,11,399
2022-07-23 08:00,47,849
2022-07-23 08:15,118,805
2022-07-23 08:30,384,441
2022-07-23 08:45,177,515
2022-07-23 09:00,73,457
2022-07-23 09:15,158,447
2022-07-23 09:30,208,1251
2022-07-23 09:45,209,402
2022-07-23 10:00,464,480
2022-07-23 10:15,436,433
2022-07-23 10:30,392,361
2022-07-23 10:45,383,360
2022-07-23 11:00,594,809
2022-07-23 11:15,665,861
2022-07-23 11:30,906,889
2022-07-23 11:45,206,814
2022-07-23 12:00,608,754
2022-07-23 12:15,743,742
2022-07-23 12:30,671,826
2022-07-23 12:45,514,439
2022-07-23 13:00,242,417
2022-07-23 13:15,827,3265
2022-07-23 13:30,208,3258
2022-07-23 13:45,360,422
2022-07-23 14:00,190,3274
2022-07-23 14:15,1220,3353
2022-07-23 14:30,297,3463
2022-07-23 14:45,1144,3384
2022-07-23 15:00,1063,470
2022-07-23 15:15,554,556
2022-07-23 15:30,571,564
2022-07-23 15:45,137,418
2022-07-23 16:00,135,491
2022-07-23 16:15,197,386
2022-07-23 16:30,140,474
2022-07-23 16:45,92,573
2022-07-23 17:00,83,550
2022-07-23 17:15,43,476
2022-07-23 17:30,30,4388
2022-07-23 17:45,19,3188
2022-07-23 18:00,8,444
2022-07-23 18:15,2,437
2022-07-23 18:30,0,434
2022-07-23 18:45,0,521
2022-07-23 19:00,0,594
2022-07-23 19:15,0,524
2022-07-23 19:30,0,1265
2022-07-23 19:45,0,1250
2022-07-23 20:00,0,1356
2022-07-23 20:15,0,1294
2022-07-23 20:30,0,1202
2022-07-23 20:45,0,1273
2022-07-23 21:00,0,1331
2022-07-23 21:15,0,1255
2022-07-23 21:30,0,1184
2022-07-23 21:45,0,1076
2022-07-23 22:00,0,1182
2022-07-23 22:15,0,1173
2022-07-23 22:30,0,861
2022-07-23 22:45,0,914
2022-07-23 23:00,0,836
2022-07-23 23:15,0,832
2022-07-23 23:30,0,763
2022-07-23 23:45,0,921
2022-07-24 00:00,0,518
2022-07-24 00:15,0,372
2022-07-24 00:30,0,373
2022-07-24 00:45,0,428
2022-07-24 01:00,0,430
2022-07-24 01:15,0,841
2022-07-24 01:30,0,847
2022-07-24 01:45,0,837
2022-07-24 02:00,0,763
2022-07-24 02:15,0,761
2022-07-24 02:30,0,891
2022-07-24 02:45,0,809
2022-07-24 03:00,0,888
2022-07-24 03:15,0,3772
2022-07-24 03:30,0,3275
2022-07-24 03:45,0,3257
2022-07-24 04:00,0,3301
2022-07-24 04:15,0,3293
2022-07-24 04:30,0,3284
2022-07-24 04:45,0,506
2022-07-24 05:00,0,450
2022-07-24 05:15,0,448
2022-07-24 05:30,0,376
2022-07-24 05:45,0,382
2022-07-24 06:00,0,415
2022-07-24 06:15,0,498
2022-07-24 06:30,0,502
2022-07-24 06:45,0,443
2022-07-24 07:00,0,439
2022-07-24 07:15,0,375
2022-07-24 07:30,3,365
2022-07-24 07:45,12,364
2022-07-24 08:00,45,423
2022-07-24 08:15,123,624
2022-07-24 08:30,342,536
2022-07-24 08:45,460,471
2022-07-24 09:00,428,425
2022-07-24 09:15,428,427
2022-07-24 09:30,436,435
2022-07-24 09:45,441,439
2022-07-24 10:00,594,613
2022-07-24 10:15,629,644
2022-07-24 10:30,473,446
2022-07-24 10:45,460,482
2022-07-24 11:00,445,471
2022-07-24 11:15,1220,4227
2022-07-24 11:30,1220,597
2022-07-24 11:45,661,670
2022-07-24 12:00,628,595
2022-07-24 12:15,1223,2595
2022-07-24 12:30,519,1730
2022-07-24 12:45,509,501
2022-07-24 13:00,521,511
2022-07-24 13:15,1223,3448
2022-07-24 13:30,1223,3456
2022-07-24 13:45,1212,3524
2022-07-24 14:00,588,614
2022-07-24 14:15,513,508
2022-07-24 14:30,399,394
2022-07-24 14:45,398,396
2022-07-24 15:00,398,428
2022-07-24 15:15,515,513
2022-07-24 15:30,499,528
2022-07-24 15:45,483,527
2022-07-24 16:00,480,479
2022-07-24 16:15,509,502
2022-07-24 16:30,538,3300
2022-07-24 16:45,430,466
2022-07-24 17:00,321,408
2022-07-24 17:15,48,524
2022-07-24 17:30,33,632
2022-07-24 17:45,21,494
2022-07-24 18:00,9,515
2022-07-24 18:15,3,468
2022-07-24 18:30,0,549
2022-07-24 18:45,0,469
2022-07-24 19:00,0,501
2022-07-24 19:15,0,908
2022-07-24 19:30,0,887
2022-07-24 19:45,0,953
2022-07-24 20:00,0,960
2022-07-24 20:15,0,863
2022-07-24 20:30,0,837
2022-07-24 20:45,0,848
2022-07-24 21:00,0,1321
2022-07-24 21:15,0,1383
2022-07-24 21:30,0,1299
2022-07-24 21:45,0,1237
2022-07-24 22:00,0,1273
2022-07-24 22:15,0,489
2022-07-24 22:30,0,458
2022-07-24 22:45,0,415
2022-07-24 23:00,0,447
2022-07-24 23:15,0,440
2022-07-24 23:30,0,438
2022-07-24 23:45,0,527
2022-07-25 00:00,0,454
