 ,Production (W),Consumption (W)
2022-10-25 00:00,0,420
2022-10-25 00:15,0,258
2022-10-25 00:30,0,260
2022-10-25 00:45,0,242
2022-10-25 01:00,0,325
2022-10-25 01:15,0,163
2022-10-25 01:30,0,152
2022-10-25 01:45,0,401
2022-10-25 02:00,0,218
2022-10-25 02:15,0,214
2022-10-25 02:30,0,139
2022-10-25 02:45,0,300
2022-10-25 03:00,0,76
2022-10-25 03:15,0,3206
2022-10-25 03:30,0,3193
2022-10-25 03:45,0,247
2022-10-25 04:00,0,146
2022-10-25 05:00,0,0
2022-10-25 05:30,3,0
2022-10-25 05:45,4,0
2022-10-25 06:00,26,451
2022-10-25 06:15,43,302
2022-10-25 06:30,63,383
2022-10-25 06:45,87,363
2022-10-25 07:00,122,253
2022-10-25 07:15,185,189
2022-10-25 07:30,238,235
2022-10-25 07:45,153,228
2022-10-25 08:00,302,303
2022-10-25 08:15,315,2327
2022-10-25 08:30,760,708
2022-10-25 08:45,396,729
2022-10-25 09:00,465,579
2022-10-25 09:15,723,638
2022-10-25 09:30,694,703
2022-10-25 09:45,641,2322
2022-10-25 10:00,533,582
2022-10-25 10:15,591,583
2022-10-25 10:30,598,593
2022-10-25 10:45,757,797
2022-10-25 11:00,614,615
2022-10-25 11:15,618,612
2022-10-25 11:30,598,591
2022-10-25 11:45,581,605
2022-10-25 12:00,838,861
2022-10-25 12:15,703,696
2022-10-25 12:30,702,751
2022-10-25 12:45,618,527
2022-10-25 13:00,557,552
2022-10-25 13:15,1218,3530
2022-10-25 13:30,1220,3577
2022-10-25 13:45,1210,3985
2022-10-25 14:00,1196,3465
2022-10-25 14:15,1214,4142
2022-10-25 14:30,940,1241
2022-10-25 14:45,813,679
2022-10-25 15:00,821,809
2022-10-25 15:15,646,658
2022-10-25 15:30,690,683
2022-10-25 15:45,396,394
2022-10-25 16:00,266,660
2022-10-25 16:15,671,1900
2022-10-25 16:30,619,739
2022-10-25 16:45,402,842
2022-10-25 17:00,450,462
2022-10-25 17:15,307,568
2022-10-25 17:30,197,2987
2022-10-25 17:45,131,2802
2022-10-25 18:00,55,259
2022-10-25 18:15,39,156
2022-10-25 18:30,29,153
2022-10-25 18:45,20,270
2022-10-25 19:00,9,309
2022-10-25 19:15,1,306
2022-10-25 19:30,0,233
2022-10-25 19:45,0,180
2022-10-25 20:00,0,688
2022-10-25 20:15,0,193
2022-10-25 21:15,0,0
2022-10-25 22:00,0,489
2022-10-25 22:15,0,312
2022-10-25 22:30,0,290
2022-10-25 22:45,0,287
2022-10-25 23:00,0,273
2022-10-25 23:15,0,436
2022-10-25 23:30,0,337
2022-10-25 23:45,0,169
2022-10-26 00:00,0,231
2022-10-26 00:15,0,224
2022-10-26 00:30,0,310
2022-10-26 00:45,0,243
2022-10-26 01:00,0,77
2022-10-26 01:15,0,77
2022-10-26 01:30,0,386
2022-10-26 01:45,0,215
2022-10-26 02:00,0,135
2022-10-26 02:15,0,291
2022-10-26 02:30,0,78
2022-10-26 02:45,0,166
2022-10-26 03:00,0,155
2022-10-26 03:15,0,3150
2022-10-26 03:30,0,3338
2022-10-26 03:45,0,3261
2022-10-26 04:00,0,142
2022-10-26 04:15,0,381
2022-10-26 05:00,0,268
2022-10-26 05:15,0,275
2022-10-26 05:30,2,234
2022-10-26 05:45,4,201
2022-10-26 06:00,14,69
2022-10-26 06:15,28,225
2022-10-26 06:30,47,297
2022-10-26 06:45,131,143
2022-10-26 07:00,214,207
2022-10-26 07:15,127,118
2022-10-26 07:30,279,270
2022-10-26 07:45,109,121
2022-10-26 08:00,126,166
2022-10-26 08:15,202,196
2022-10-26 08:30,521,966
2022-10-26 08:45,660,676
2022-10-26 09:00,574,569
2022-10-26 09:15,675,665
2022-10-26 09:30,816,811
2022-10-26 09:45,578,587
2022-10-26 10:00,582,579
2022-10-26 10:15,529,525
2022-10-26 10:30,618,617
2022-10-26 10:45,609,601
2022-10-26 11:00,598,599
2022-10-26 11:15,735,728
2022-10-26 11:30,574,577
2022-10-26 11:45,578,570
2022-10-26 12:00,873,867
2022-10-26 12:15,19,0
2022-10-26 12:30,22,0
2022-10-26 12:45,20,0
2022-10-26 13:00,17,0
2022-10-26 13:15,20,0
2022-10-26 13:30,17,0
2022-10-26 13:45,18,0
2022-10-26 14:00,1213,3828
2022-10-26 14:15,1192,3648
2022-10-26 14:30,723,720
2022-10-26 14:45,723,713
2022-10-26 15:00,687,677
2022-10-26 15:15,711,702
2022-10-26 15:30,711,706
2022-10-26 15:45,602,596
2022-10-26 16:00,602,595
2022-10-26 16:15,634,631
2022-10-26 16:30,548,601
2022-10-26 16:45,450,635
2022-10-26 17:00,356,2033
2022-10-26 17:15,264,525
2022-10-26 17:30,0,3092
2022-10-26 17:45,92,3117
2022-10-26 18:00,65,274
2022-10-26 18:15,51,258
2022-10-26 18:30,38,161
2022-10-26 18:45,23,167
2022-10-26 19:00,11,252
2022-10-26 19:15,0,250
2022-10-26 19:30,0,196
2022-10-26 19:45,0,191
2022-10-26 20:00,0,122
2022-10-26 20:15,0,90
2022-10-26 21:15,0,0
2022-10-26 22:00,0,434
2022-10-26 22:15,0,262
2022-10-26 22:30,0,271
2022-10-26 22:45,0,271
2022-10-26 23:00,0,259
2022-10-26 23:15,0,260
2022-10-26 23:30,0,339
2022-10-26 23:45,0,162
2022-10-27 00:00,0,145
2022-10-27 00:15,0,219
2022-10-27 00:30,0,210
2022-10-27 00:45,0,141
2022-10-27 01:00,0,78
2022-10-27 01:15,0,242
2022-10-27 01:30,0,171
2022-10-27 01:45,0,158
2022-10-27 02:00,0,212
2022-10-27 02:15,0,135
