 ,Production (W),Consumption (W)
2022-01-29 00:00,0,428
2022-01-29 00:15,0,390
2022-01-29 00:30,0,533
2022-01-29 00:45,0,446
2022-01-29 01:00,0,385
2022-01-29 01:15,0,484
2022-01-29 01:30,0,464
2022-01-29 01:45,0,450
2022-01-29 02:00,0,447
2022-01-29 02:15,0,562
2022-01-29 02:30,0,382
2022-01-29 02:45,0,417
2022-01-29 03:00,0,448
2022-01-29 03:15,0,535
2022-01-29 03:30,0,447
2022-01-29 03:45,0,385
2022-01-29 04:00,0,391
2022-01-29 04:15,0,532
2022-01-29 04:30,0,478
2022-01-29 04:45,0,385
2022-01-29 05:00,0,419
2022-01-29 05:15,0,3494
2022-01-29 05:30,0,3344
2022-01-29 05:45,4,3400
2022-01-29 06:00,5,3241
2022-01-29 06:15,17,448
2022-01-29 06:30,31,398
2022-01-29 06:45,45,428
2022-01-29 07:00,92,417
2022-01-29 07:15,164,468
2022-01-29 07:30,256,358
2022-01-29 07:45,353,422
2022-01-29 08:00,448,446
2022-01-29 08:15,527,536
2022-01-29 08:30,359,390
2022-01-29 08:45,757,2594
2022-01-29 09:00,847,1442
2022-01-29 09:15,938,1689
2022-01-29 09:30,1009,1394
2022-01-29 09:45,1083,1295
2022-01-29 10:00,1143,1337
2022-01-29 10:15,1195,1379
2022-01-29 10:30,1220,1326
2022-01-29 10:45,1220,1286
2022-01-29 11:00,1220,1328
2022-01-29 11:15,1220,1243
2022-01-29 11:30,1220,1285
2022-01-29 11:45,1220,1423
2022-01-29 12:00,1220,1319
2022-01-29 12:15,1220,1307
2022-01-29 12:30,1220,1340
2022-01-29 12:45,1220,1322
2022-01-29 13:00,1220,1332
2022-01-29 13:15,1223,1309
2022-01-29 13:30,1223,1373
2022-01-29 13:45,1220,1229
2022-01-29 14:00,364,364
2022-01-29 14:15,461,449
2022-01-29 14:30,432,429
2022-01-29 14:45,432,426
2022-01-29 15:00,529,521
2022-01-29 15:15,456,460
2022-01-29 15:30,367,364
2022-01-29 15:45,438,429
2022-01-29 16:00,515,514
2022-01-29 16:15,430,426
2022-01-29 16:30,430,419
2022-01-29 16:45,483,477
2022-01-29 17:00,398,392
2022-01-29 17:15,460,457
2022-01-29 17:30,417,506
2022-01-29 17:45,300,445
2022-01-29 18:00,148,401
2022-01-29 18:15,134,495
2022-01-29 18:30,84,472
2022-01-29 18:45,81,987
2022-01-29 19:00,53,533
2022-01-29 19:15,39,563
2022-01-29 19:30,21,2407
2022-01-29 19:45,11,655
2022-01-29 20:00,4,2743
2022-01-29 20:15,0,635
2022-01-29 20:30,0,623
2022-01-29 20:45,0,667
2022-01-29 21:00,0,556
2022-01-29 21:15,0,663
2022-01-29 21:30,0,812
2022-01-29 21:45,0,2936
2022-01-29 22:00,0,2852
2022-01-29 22:15,0,585
2022-01-29 22:30,0,457
2022-01-29 22:45,0,554
2022-01-29 23:00,0,624
2022-01-29 23:15,0,514
2022-01-29 23:30,0,377
2022-01-29 23:45,0,408
2022-01-30 00:00,0,525
2022-01-30 00:15,0,439
2022-01-30 00:30,0,377
2022-01-30 00:45,0,402
2022-01-30 01:00,0,491
2022-01-30 01:15,0,443
2022-01-30 01:30,0,438
2022-01-30 01:45,0,531
2022-01-30 02:00,0,490
2022-01-30 02:15,0,379
2022-01-30 02:30,0,477
2022-01-30 02:45,0,521
2022-01-30 03:00,0,464
2022-01-30 03:15,0,381
