 ,Production (W),Consumption (W)
2022-12-20 00:00,0,100
2022-12-20 00:15,0,158
2022-12-20 00:30,0,395
2022-12-20 00:45,0,224
2022-12-20 01:00,0,216
2022-12-20 01:15,0,413
2022-12-20 01:30,0,83
2022-12-20 01:45,0,193
2022-12-20 02:00,0,243
2022-12-20 02:15,0,341
2022-12-20 02:30,0,222
2022-12-20 02:45,0,258
2022-12-20 03:00,0,147
2022-12-20 03:15,0,3198
2022-12-20 03:30,0,3044
2022-12-20 03:45,0,277
2022-12-20 04:00,0,319
2022-12-20 04:15,0,335
2022-12-20 04:30,0,151
2022-12-20 04:45,0,146
2022-12-20 05:00,0,148
2022-12-20 05:15,1,220
2022-12-20 05:30,6,151
2022-12-20 05:45,18,140
2022-12-20 06:00,28,125
2022-12-20 06:15,41,128
2022-12-20 06:30,63,400
2022-12-20 06:45,114,210
2022-12-20 07:00,180,303
2022-12-20 07:15,128,133
2022-12-20 07:30,141,60
2022-12-20 07:45,351,481
2022-12-20 08:00,220,597
2022-12-20 08:15,4,0
2022-12-20 08:30,5,0
2022-12-20 08:45,7,0
2022-12-20 09:00,8,0
2022-12-20 09:15,9,0
2022-12-20 09:30,11,0
2022-12-20 09:45,9,0
2022-12-20 10:00,976,962
2022-12-20 10:15,748,744
2022-12-20 10:30,812,876
2022-12-20 10:45,853,844
2022-12-20 11:00,774,738
2022-12-20 11:15,744,734
2022-12-20 11:30,832,831
2022-12-20 11:45,666,670
2022-12-20 12:00,1031,1006
2022-12-20 12:15,740,735
2022-12-20 12:30,820,826
2022-12-20 12:45,695,687
2022-12-20 13:00,687,682
2022-12-20 13:15,776,714
2022-12-20 13:30,691,685
2022-12-20 13:45,679,686
2022-12-20 14:00,1223,3409
2022-12-20 14:15,1220,3489
2022-12-20 14:30,659,645
2022-12-20 14:45,974,1012
2022-12-20 15:00,744,737
2022-12-20 15:15,731,726
2022-12-20 15:30,703,565
2022-12-20 15:45,678,674
2022-12-20 16:00,529,540
2022-12-20 16:15,13,0
2022-12-20 16:30,13,0
2022-12-20 16:45,11,0
2022-12-20 17:00,10,0
2022-12-20 17:15,10,0
2022-12-20 17:30,15,0
2022-12-20 17:45,5,0
2022-12-20 18:00,4,1027
2022-12-20 18:15,67,308
2022-12-20 18:30,60,409
2022-12-20 18:45,44,321
2022-12-20 19:00,37,338
2022-12-20 19:15,29,2419
2022-12-20 19:30,21,291
2022-12-20 19:45,12,294
2022-12-20 20:00,4,229
2022-12-20 20:15,0,339
2022-12-20 20:30,0,421
2022-12-20 20:45,0,403
2022-12-20 21:00,0,356
2022-12-20 21:15,0,2358
2022-12-20 21:30,0,268
2022-12-20 21:45,0,340
2022-12-20 22:00,0,328
2022-12-20 22:15,0,490
2022-12-20 22:30,0,311
2022-12-20 22:45,0,404
2022-12-20 23:00,0,399
2022-12-20 23:15,0,374
2022-12-20 23:30,0,200
2022-12-20 23:45,0,209
2022-12-21 00:00,0,90
2022-12-21 00:15,0,86
2022-12-21 00:30,0,234
2022-12-21 00:45,0,217
2022-12-21 01:00,0,322
2022-12-21 01:15,0,138
2022-12-21 01:30,0,79
2022-12-21 01:45,0,81
2022-12-21 02:00,0,277
2022-12-21 02:15,0,157
2022-12-21 02:30,0,215
2022-12-21 02:45,0,135
2022-12-21 03:00,0,136
2022-12-21 03:15,0,3219
2022-12-21 03:30,0,3204
2022-12-21 03:45,0,430
2022-12-21 04:00,0,151
2022-12-21 05:00,0,537
2022-12-21 05:15,2,238
2022-12-21 05:30,5,480
2022-12-21 05:45,18,127
2022-12-21 06:00,29,134
2022-12-21 06:15,4,0
2022-12-21 06:30,4,0
2022-12-21 06:45,4,0
2022-12-21 07:00,4,0
2022-12-21 07:15,4,0
2022-12-21 07:30,4,0
2022-12-21 07:45,4,0
2022-12-21 08:00,462,511
2022-12-21 08:15,647,644
2022-12-21 08:30,738,2606
2022-12-21 08:45,819,967
2022-12-21 09:00,771,915
2022-12-21 09:15,751,842
2022-12-21 09:30,750,964
2022-12-21 09:45,843,814
2022-12-21 10:00,798,787
2022-12-21 10:15,764,761
2022-12-21 10:30,925,918
2022-12-21 10:45,770,758
