 ,Production (W),Consumption (W)
2021-10-30 00:00,0,349
2021-10-30 00:15,0,433
2021-10-30 00:30,0,489
2021-10-30 00:45,0,404
2021-10-30 01:00,0,346
2021-10-30 01:15,0,348
2021-10-30 01:30,0,437
2021-10-30 01:45,0,492
2021-10-30 02:00,0,406
2021-10-30 02:15,0,348
2021-10-30 02:30,0,348
2021-10-30 02:45,0,348
2021-10-30 03:00,0,491
2021-10-30 03:15,0,406
2021-10-30 03:30,0,346
2021-10-30 03:45,0,348
2021-10-30 04:00,0,348
2021-10-30 04:15,0,496
2021-10-30 04:30,0,486
2021-10-30 04:45,0,349
2021-10-30 05:00,0,349
2021-10-30 05:15,0,420
2021-10-30 05:30,1,410
2021-10-30 05:45,5,475
2021-10-30 06:00,15,411
2021-10-30 06:15,35,337
2021-10-30 06:30,77,398
2021-10-30 06:45,108,393
2021-10-30 07:00,157,476
2021-10-30 07:15,208,410
2021-10-30 07:30,331,332
2021-10-30 07:45,378,394
2021-10-30 08:00,325,390
2021-10-30 08:15,335,331
2021-10-30 08:30,424,413
2021-10-30 08:45,412,409
2021-10-30 09:00,371,1367
2021-10-30 09:15,1158,1315
2021-10-30 09:30,690,1240
2021-10-30 09:45,1220,1354
2021-10-30 10:00,434,1325
2021-10-30 10:15,1220,1296
2021-10-30 10:30,560,1296
2021-10-30 10:45,1220,1242
2021-10-30 11:00,1220,1255
2021-10-30 11:15,1220,1329
2021-10-30 11:30,1220,1404
2021-10-30 11:45,1220,1318
2021-10-30 12:00,1221,1251
2021-10-30 12:15,1220,1253
2021-10-30 12:30,1220,1360
2021-10-30 12:45,1220,1402
2021-10-30 13:00,1220,1317
2021-10-30 13:15,1220,1260
2021-10-30 13:30,1220,1262
2021-10-30 13:45,1220,1256
2021-10-30 14:00,1220,1407
2021-10-30 14:15,1220,1394
2021-10-30 14:30,474,391
2021-10-30 14:45,339,333
2021-10-30 15:00,339,334
2021-10-30 15:15,488,481
2021-10-30 15:30,481,471
2021-10-30 15:45,400,393
2021-10-30 16:00,339,334
2021-10-30 16:15,339,336
2021-10-30 16:30,503,491
2021-10-30 16:45,456,476
2021-10-30 17:00,337,393
2021-10-30 17:15,334,334
2021-10-30 17:30,144,332
2021-10-30 17:45,135,779
2021-10-30 18:00,62,472
2021-10-30 18:15,46,393
2021-10-30 18:30,36,330
2021-10-30 18:45,22,336
2021-10-30 19:00,10,336
2021-10-30 19:15,4,479
2021-10-30 19:30,0,478
2021-10-30 19:45,0,349
2021-10-30 20:00,0,347
