 ,Production (W),Consumption (W)
2021-06-19 00:00,0,1047
2021-06-19 00:15,0,1116
2021-06-19 00:30,0,1144
2021-06-19 00:45,0,1126
2021-06-19 01:00,0,747
2021-06-19 01:15,0,744
2021-06-19 01:30,0,692
2021-06-19 01:45,0,697
2021-06-19 02:00,0,713
2021-06-19 02:15,0,761
2021-06-19 02:30,0,768
2021-06-19 02:45,0,759
2021-06-19 03:00,0,762
2021-06-19 03:15,0,754
2021-06-19 03:30,0,701
2021-06-19 03:45,0,693
2021-06-19 04:00,0,710
2021-06-19 04:15,0,754
2021-06-19 04:30,0,783
2021-06-19 04:45,0,768
2021-06-19 05:00,0,762
2021-06-19 05:15,0,3713
2021-06-19 05:30,0,3683
2021-06-19 05:45,0,3699
2021-06-19 06:00,0,3682
2021-06-19 06:15,0,734
2021-06-19 06:30,0,679
2021-06-19 06:45,0,651
2021-06-19 07:00,0,734
2021-06-19 07:15,0,760
2021-06-19 07:30,2,793
2021-06-19 07:45,6,725
2021-06-19 08:00,18,309
2021-06-19 08:15,42,370
2021-06-19 08:30,115,312
2021-06-19 08:45,319,2764
2021-06-19 09:00,524,448
2021-06-19 09:15,448,446
2021-06-19 09:30,339,335
2021-06-19 09:45,262,263
2021-06-19 10:00,262,266
2021-06-19 10:15,327,323
2021-06-19 10:30,262,263
2021-06-19 10:45,262,265
2021-06-19 11:00,263,265
2021-06-19 11:15,319,319
2021-06-19 11:30,343,341
2021-06-19 11:45,343,337
2021-06-19 12:00,1179,1216
2021-06-19 12:15,1198,1234
2021-06-19 12:30,1168,1166
2021-06-19 12:45,1156,1160
2021-06-19 13:00,1156,1229
2021-06-19 13:15,1164,1210
2021-06-19 13:30,1135,1241
2021-06-19 13:45,1107,1243
2021-06-19 14:00,1072,1231
2021-06-19 14:15,1063,1280
2021-06-19 14:30,335,328
2021-06-19 14:45,355,346
2021-06-19 15:00,365,431
2021-06-19 15:15,849,3309
2021-06-19 15:30,773,3071
2021-06-19 15:45,702,3171
2021-06-19 16:00,622,3210
2021-06-19 16:15,323,319
2021-06-19 16:30,263,264
2021-06-19 16:45,311,272
2021-06-19 17:00,43,806
2021-06-19 17:15,24,1188
2021-06-19 17:30,14,1119
2021-06-19 17:45,6,1111
2021-06-19 18:00,2,1142
2021-06-19 18:15,0,1221
2021-06-19 18:30,0,1177
2021-06-19 18:45,0,1096
2021-06-19 19:00,0,1138
2021-06-19 19:15,0,1077
2021-06-19 19:30,0,1154
2021-06-19 19:45,0,1183
2021-06-19 20:00,0,1251
2021-06-19 20:15,0,413
2021-06-19 20:30,0,357
2021-06-19 20:45,0,449
2021-06-19 21:00,0,479
2021-06-19 21:15,0,380
2021-06-19 21:30,0,325
2021-06-19 21:45,0,323
2021-06-19 22:00,0,468
2021-06-19 22:15,0,403
2021-06-19 22:30,0,918
2021-06-19 22:45,0,344
2021-06-19 23:00,0,401
2021-06-19 23:15,0,1207
2021-06-19 23:30,0,1160
2021-06-19 23:45,0,1088
2021-06-20 00:00,0,1142
2021-06-20 00:15,0,1113
2021-06-20 00:30,0,1098
2021-06-20 00:45,0,1200
2021-06-20 01:00,0,832
2021-06-20 01:15,0,693
2021-06-20 01:30,0,695
2021-06-20 01:45,0,697
2021-06-20 02:00,0,774
2021-06-20 02:15,0,367
2021-06-20 02:30,0,363
2021-06-20 02:45,0,287
2021-06-20 03:00,0,347
2021-06-20 03:15,0,286
2021-06-20 03:30,0,288
2021-06-20 03:45,0,369
2021-06-20 04:00,0,429
2021-06-20 04:15,0,292
2021-06-20 04:30,0,281
2021-06-20 04:45,0,282
2021-06-20 05:00,0,342
2021-06-20 05:15,0,3417
2021-06-20 05:30,0,3354
2021-06-20 05:45,0,3393
2021-06-20 06:00,0,3287
2021-06-20 06:15,0,283
2021-06-20 06:30,0,280
2021-06-20 06:45,0,349
2021-06-20 07:00,0,420
2021-06-20 07:15,0,357
2021-06-20 07:30,3,281
2021-06-20 07:45,5,338
2021-06-20 08:00,20,342
2021-06-20 08:15,48,272
2021-06-20 08:30,73,273
2021-06-20 08:45,231,419
2021-06-20 09:00,439,406
2021-06-20 09:15,359,380
2021-06-20 09:30,282,277
2021-06-20 09:45,709,4537
2021-06-20 10:00,368,445
2021-06-20 10:15,402,431
2021-06-20 10:30,345,456
2021-06-20 10:45,413,415
2021-06-20 11:00,359,339
2021-06-20 11:15,420,310
2021-06-20 11:30,349,362
2021-06-20 11:45,485,458
2021-06-20 12:00,1080,1590
2021-06-20 12:15,1098,1181
2021-06-20 12:30,1105,1187
2021-06-20 12:45,1112,1329
2021-06-20 13:00,1087,1308
2021-06-20 13:15,1034,1159
2021-06-20 13:30,1051,1166
2021-06-20 13:45,1025,1303
2021-06-20 14:00,992,1154
2021-06-20 14:15,941,1167
2021-06-20 14:30,353,266
2021-06-20 14:45,414,409
2021-06-20 15:00,268,266
2021-06-20 15:15,269,264
2021-06-20 15:30,268,265
2021-06-20 15:45,415,404
2021-06-20 16:00,271,268
2021-06-20 16:15,328,2968
2021-06-20 16:30,348,3180
2021-06-20 16:45,249,401
2021-06-20 17:00,108,722
2021-06-20 17:15,68,1143
2021-06-20 17:30,30,898
2021-06-20 17:45,9,871
2021-06-20 18:00,0,741
2021-06-20 18:15,0,1134
2021-06-20 18:30,0,1232
2021-06-20 18:45,0,1160
2021-06-20 19:00,0,1090
2021-06-20 19:15,0,1260
2021-06-20 19:30,0,1307
2021-06-20 19:45,0,1162
2021-06-20 20:00,0,3227
2021-06-20 20:15,0,473
2021-06-20 20:30,0,553
2021-06-20 20:45,0,556
2021-06-20 21:00,0,3381
2021-06-20 21:15,0,3358
2021-06-20 21:30,0,3384
2021-06-20 21:45,0,5245
2021-06-20 22:00,0,5206
2021-06-20 22:15,0,479
2021-06-20 22:30,0,532
2021-06-20 22:45,0,404
2021-06-20 23:00,0,486
2021-06-20 23:15,0,1145
2021-06-20 23:30,0,1147
2021-06-20 23:45,0,1122
2021-06-21 00:00,0,1171
2021-06-21 00:15,0,1086
2021-06-21 00:30,0,1121
2021-06-21 00:45,0,1145
2021-06-21 01:00,0,787
2021-06-21 01:15,0,780
2021-06-21 01:30,0,755
2021-06-21 01:45,0,752
2021-06-21 02:00,0,697
2021-06-21 02:15,0,382
2021-06-21 02:30,0,365
2021-06-21 02:45,0,363
2021-06-21 03:00,0,307
2021-06-21 03:15,0,396
2021-06-21 03:30,0,432
2021-06-21 03:45,0,295
2021-06-21 04:00,0,2337
2021-06-21 04:15,0,351
2021-06-21 04:30,0,503
2021-06-21 04:45,0,433
2021-06-21 05:00,0,357
2021-06-21 05:15,0,3345
2021-06-21 05:30,0,3328
2021-06-21 05:45,0,448
2021-06-21 06:00,0,438
2021-06-21 06:15,0,357
2021-06-21 06:30,0,428
2021-06-21 06:45,0,300
2021-06-21 07:00,0,368
2021-06-21 07:15,0,370
2021-06-21 07:30,1,374
2021-06-21 07:45,5,336
2021-06-21 08:00,18,369
2021-06-21 08:15,44,445
2021-06-21 08:30,94,708
2021-06-21 08:45,210,318
2021-06-21 09:00,323,326
2021-06-21 09:15,325,387
2021-06-21 09:30,468,454
2021-06-21 09:45,380,431
2021-06-21 10:00,594,585
2021-06-21 10:15,306,369
2021-06-21 10:30,377,2433
2021-06-21 10:45,388,453
2021-06-21 11:00,375,376
2021-06-21 11:15,428,422
2021-06-21 11:30,333,415
2021-06-21 11:45,409,444
2021-06-21 12:00,525,1393
2021-06-21 12:15,505,1397
2021-06-21 12:30,792,1388
2021-06-21 12:45,1152,1273
2021-06-21 13:00,568,1604
2021-06-21 13:15,1018,1337
2021-06-21 13:30,632,1249
2021-06-21 13:45,392,1166
2021-06-21 14:00,219,1180
2021-06-21 14:15,193,1299
2021-06-21 14:30,177,327
2021-06-21 14:45,171,267
2021-06-21 15:00,167,269
2021-06-21 15:15,128,412
2021-06-21 15:30,113,401
2021-06-21 15:45,101,267
2021-06-21 16:00,85,270
2021-06-21 16:15,71,3236
2021-06-21 16:30,57,3065
2021-06-21 16:45,48,3038
2021-06-21 17:00,34,3530
