 ,Production (W),Consumption (W)
2022-03-19 00:00,0,530
2022-03-19 00:15,0,445
2022-03-19 00:30,0,390
2022-03-19 00:45,0,503
2022-03-19 01:00,0,526
2022-03-19 01:15,0,481
2022-03-19 01:30,0,371
2022-03-19 01:45,0,476
2022-03-19 02:00,0,568
2022-03-19 02:15,0,446
2022-03-19 02:30,0,441
2022-03-19 02:45,0,467
2022-03-19 03:00,0,464
2022-03-19 03:15,0,446
2022-03-19 03:30,0,450
2022-03-19 03:45,0,538
2022-03-19 04:00,0,468
2022-03-19 04:15,0,388
2022-03-19 04:30,0,453
2022-03-19 04:45,0,445
2022-03-19 05:00,0,3489
2022-03-19 05:15,0,3307
2022-03-19 05:30,0,3407
2022-03-19 05:45,0,3392
2022-03-19 06:00,0,3383
2022-03-19 06:15,0,381
2022-03-19 06:30,2,381
2022-03-19 06:45,4,430
2022-03-19 07:00,18,519
2022-03-19 07:15,37,478
2022-03-19 07:30,109,430
2022-03-19 07:45,256,504
2022-03-19 08:00,384,638
2022-03-19 08:15,492,605
2022-03-19 08:30,595,3227
2022-03-19 08:45,692,3271
2022-03-19 09:00,524,521
2022-03-19 09:15,420,413
2022-03-19 09:30,359,360
2022-03-19 09:45,360,357
2022-03-19 10:00,1046,1462
2022-03-19 10:15,1110,1415
2022-03-19 10:30,1160,1349
2022-03-19 10:45,1214,1260
2022-03-19 11:00,1220,1357
2022-03-19 11:15,1220,1407
2022-03-19 11:30,1220,1340
2022-03-19 11:45,1220,1323
2022-03-19 12:00,1220,1342
2022-03-19 12:15,1220,1256
2022-03-19 12:30,1220,1329
2022-03-19 12:45,1220,1316
2022-03-19 13:00,1220,1399
2022-03-19 13:15,1223,1277
2022-03-19 13:30,1223,1312
2022-03-19 13:45,1223,1379
2022-03-19 14:00,1220,1444
2022-03-19 14:15,1219,1383
2022-03-19 14:30,1218,1292
2022-03-19 14:45,1173,1440
2022-03-19 15:00,538,530
2022-03-19 15:15,449,446
2022-03-19 15:30,448,441
2022-03-19 15:45,469,459
2022-03-19 16:00,457,450
2022-03-19 16:15,436,435
2022-03-19 16:30,529,523
2022-03-19 16:45,513,509
2022-03-19 17:00,375,372
2022-03-19 17:15,334,370
2022-03-19 17:30,106,572
2022-03-19 17:45,87,564
2022-03-19 18:00,57,550
2022-03-19 18:15,43,487
2022-03-19 18:30,25,443
2022-03-19 18:45,15,604
2022-03-19 19:00,6,597
2022-03-19 19:15,0,586
2022-03-19 19:30,0,440
2022-03-19 19:45,0,436
2022-03-19 20:00,0,603
2022-03-19 20:15,0,641
2022-03-19 20:30,0,540
2022-03-19 20:45,0,494
2022-03-19 21:00,0,581
2022-03-19 21:15,0,634
2022-03-19 21:30,0,562
2022-03-19 21:45,0,541
2022-03-19 22:00,0,2666
2022-03-19 22:15,0,537
2022-03-19 22:30,0,518
2022-03-19 22:45,0,634
2022-03-19 23:00,0,594
2022-03-19 23:15,0,485
2022-03-19 23:30,0,397
2022-03-19 23:45,0,462
2022-03-20 00:00,0,569
2022-03-20 00:15,0,531
2022-03-20 00:30,0,393
2022-03-20 00:45,0,417
2022-03-20 01:00,0,521
2022-03-20 01:15,0,532
2022-03-20 01:30,0,385
2022-03-20 01:45,0,386
2022-03-20 02:00,0,384
2022-03-20 02:15,0,537
2022-03-20 02:30,0,524
2022-03-20 02:45,0,389
2022-03-20 03:00,0,390
2022-03-20 03:15,0,451
2022-03-20 03:30,0,535
2022-03-20 03:45,0,451
2022-03-20 04:00,0,415
2022-03-20 04:15,0,381
2022-03-20 04:30,0,538
2022-03-20 04:45,0,521
2022-03-20 05:00,0,380
2022-03-20 05:15,0,3336
2022-03-20 05:30,0,3289
2022-03-20 05:45,0,3503
2022-03-20 06:00,0,521
2022-03-20 06:15,0,382
2022-03-20 06:30,1,362
2022-03-20 06:45,5,428
2022-03-20 07:00,19,541
2022-03-20 07:15,45,394
2022-03-20 07:30,85,396
2022-03-20 07:45,225,456
2022-03-20 08:00,370,536
2022-03-20 08:15,479,529
2022-03-20 08:30,404,369
2022-03-20 08:45,409,398
2022-03-20 09:00,564,552
2022-03-20 09:15,539,531
2022-03-20 09:30,450,444
2022-03-20 09:45,382,411
2022-03-20 10:00,1059,1448
2022-03-20 10:15,1130,1454
2022-03-20 10:30,1176,1451
2022-03-20 10:45,1219,1271
2022-03-20 11:00,1219,1268
2022-03-20 11:15,1220,1429
2022-03-20 11:30,1219,1456
2022-03-20 11:45,1223,1395
2022-03-20 12:00,1223,1265
2022-03-20 12:15,1222,1302
2022-03-20 12:30,1223,1429
2022-03-20 12:45,1223,1405
2022-03-20 13:00,1223,1421
2022-03-20 13:15,1221,1286
2022-03-20 13:30,1223,1429
2022-03-20 13:45,1223,1464
2022-03-20 14:00,1220,1442
2022-03-20 14:15,1220,1356
2022-03-20 14:30,1219,1302
2022-03-20 14:45,1175,1349
2022-03-20 15:00,541,540
2022-03-20 15:15,963,952
2022-03-20 15:30,483,480
2022-03-20 15:45,426,418
2022-03-20 16:00,511,501
2022-03-20 16:15,588,585
2022-03-20 16:30,668,3252
2022-03-20 16:45,572,640
2022-03-20 17:00,477,493
2022-03-20 17:15,381,3095
2022-03-20 17:30,282,617
2022-03-20 17:45,190,600
2022-03-20 18:00,76,598
2022-03-20 18:15,39,453
2022-03-20 18:30,26,450
2022-03-20 18:45,15,585
2022-03-20 19:00,5,606
2022-03-20 19:15,0,579
2022-03-20 19:30,0,465
2022-03-20 19:45,0,494
2022-03-20 20:00,0,654
2022-03-20 20:15,0,642
2022-03-20 20:30,0,622
2022-03-20 20:45,0,454
2022-03-20 21:00,0,457
2022-03-20 21:15,0,585
2022-03-20 21:30,0,573
2022-03-20 21:45,0,504
2022-03-20 22:00,0,478
2022-03-20 22:15,0,455
2022-03-20 22:30,0,611
2022-03-20 22:45,0,583
2022-03-20 23:00,0,472
2022-03-20 23:15,0,414
2022-03-20 23:30,0,488
2022-03-20 23:45,0,536
2022-03-21 00:00,0,520
2022-03-21 00:15,0,466
2022-03-21 00:30,0,379
2022-03-21 00:45,0,473
2022-03-21 01:00,0,522
2022-03-21 01:15,0,462
2022-03-21 01:30,0,409
2022-03-21 01:45,0,410
2022-03-21 02:00,0,532
2022-03-21 02:15,0,3475
2022-03-21 02:30,0,3487
2022-03-21 02:45,0,3317
2022-03-21 03:00,0,492
2022-03-21 03:15,0,558
2022-03-21 03:30,0,444
2022-03-21 03:45,0,382
2022-03-21 04:00,0,384
2022-03-21 04:15,0,502
2022-03-21 04:30,0,443
2022-03-21 04:45,0,473
2022-03-21 05:00,0,416
2022-03-21 05:15,0,470
2022-03-21 05:30,0,513
2022-03-21 05:45,0,435
2022-03-21 06:00,0,433
2022-03-21 06:15,0,402
2022-03-21 06:30,3,455
2022-03-21 06:45,5,424
2022-03-21 07:00,18,423
2022-03-21 07:15,38,362
2022-03-21 07:30,64,453
2022-03-21 07:45,214,512
2022-03-21 08:00,404,441
2022-03-21 08:15,462,374
2022-03-21 08:30,482,489
2022-03-21 08:45,489,519
2022-03-21 09:00,489,486
2022-03-21 09:15,883,4828
2022-03-21 09:30,529,512
2022-03-21 09:45,993,517
2022-03-21 10:00,590,594
2022-03-21 10:15,507,486
2022-03-21 10:30,505,2643
2022-03-21 10:45,523,507
2022-03-21 11:00,521,510
2022-03-21 11:15,1220,4489
2022-03-21 11:30,663,549
2022-03-21 11:45,545,539
2022-03-21 12:00,404,396
2022-03-21 12:15,408,403
2022-03-21 12:30,554,547
2022-03-21 12:45,545,539
2022-03-21 13:00,485,460
2022-03-21 13:15,493,484
2022-03-21 13:30,485,478
2022-03-21 13:45,473,467
2022-03-21 14:00,1052,462
2022-03-21 14:15,1001,2822
2022-03-21 14:30,445,435
2022-03-21 14:45,409,360
2022-03-21 15:00,514,508
2022-03-21 15:15,582,588
2022-03-21 15:30,551,447
2022-03-21 15:45,529,472
2022-03-21 16:00,481,540
2022-03-21 16:15,743,753
2022-03-21 16:30,548,655
2022-03-21 16:45,541,531
2022-03-21 17:00,480,476
2022-03-21 17:15,390,388
2022-03-21 17:30,305,454
2022-03-21 17:45,225,3165
2022-03-21 18:00,83,3148
2022-03-21 18:15,39,418
2022-03-21 18:30,20,415
2022-03-21 18:45,10,502
2022-03-21 19:00,1,433
2022-03-21 19:15,0,500
2022-03-21 19:30,0,501
2022-03-21 19:45,0,487
2022-03-21 20:00,0,455
2022-03-21 20:15,0,481
2022-03-21 20:30,0,601
2022-03-21 20:45,0,539
2022-03-21 21:00,0,456
2022-03-21 21:15,0,488
2022-03-21 21:30,0,575
2022-03-21 21:45,0,591
2022-03-21 22:00,0,422
2022-03-21 22:15,0,425
2022-03-21 22:30,0,575
2022-03-21 22:45,0,556
2022-03-21 23:00,0,412
2022-03-21 23:15,0,385
2022-03-21 23:30,0,717
2022-03-21 23:45,0,536
2022-03-22 00:00,0,483
2022-03-22 00:15,0,420
2022-03-22 00:30,0,388
2022-03-22 00:45,0,533
2022-03-22 01:00,0,477
2022-03-22 01:15,0,444
2022-03-22 01:30,0,383
2022-03-22 01:45,0,477
2022-03-22 02:00,0,527
2022-03-22 02:15,0,3463
2022-03-22 02:30,0,3285
2022-03-22 02:45,0,507
2022-03-22 03:00,0,529
2022-03-22 03:15,0,447
2022-03-22 03:30,0,446
2022-03-22 03:45,0,419
2022-03-22 04:00,0,475
2022-03-22 04:15,0,560
2022-03-22 04:30,0,479
2022-03-22 04:45,0,374
2022-03-22 05:00,0,492
2022-03-22 05:15,0,453
2022-03-22 05:30,0,433
2022-03-22 05:45,0,432
2022-03-22 06:00,0,372
2022-03-22 06:15,0,461
2022-03-22 06:30,1,512
2022-03-22 06:45,2,421
2022-03-22 07:00,15,414
2022-03-22 07:15,30,461
2022-03-22 07:30,97,497
2022-03-22 07:45,276,1654
2022-03-22 08:00,384,483
2022-03-22 08:15,424,420
2022-03-22 08:30,378,584
2022-03-22 08:45,223,571
2022-03-22 09:00,518,567
2022-03-22 09:15,312,505
2022-03-22 09:30,525,522
2022-03-22 09:45,517,516
2022-03-22 10:00,315,1443
2022-03-22 10:15,856,1400
2022-03-22 10:30,1220,1425
2022-03-22 10:45,1215,1514
2022-03-22 11:00,1219,1505
2022-03-22 11:15,1220,1338
2022-03-22 11:30,1220,1426
2022-03-22 11:45,554,1381
2022-03-22 12:00,1181,1276
2022-03-22 12:15,1155,1335
2022-03-22 12:30,493,1319
2022-03-22 12:45,1219,1414
2022-03-22 13:00,1219,1351
2022-03-22 13:15,585,1258
2022-03-22 13:30,1220,1316
2022-03-22 13:45,1220,1416
2022-03-22 14:00,1220,1348
2022-03-22 14:15,1220,1275
2022-03-22 14:30,1210,1325
2022-03-22 14:45,1155,1426
2022-03-22 15:00,506,506
2022-03-22 15:15,425,390
2022-03-22 15:30,390,393
2022-03-22 15:45,564,556
2022-03-22 16:00,542,533
2022-03-22 16:15,572,487
2022-03-22 16:30,452,422
2022-03-22 16:45,418,428
2022-03-22 17:00,509,569
2022-03-22 17:15,165,568
2022-03-22 17:30,287,488
2022-03-22 17:45,139,455
2022-03-22 18:00,88,538
2022-03-22 18:15,78,615
2022-03-22 18:30,37,525
2022-03-22 18:45,15,615
2022-03-22 19:00,4,518
2022-03-22 19:15,0,2479
2022-03-22 19:30,0,558
2022-03-22 19:45,0,690
2022-03-22 20:00,0,630
2022-03-22 20:15,0,523
