 ,Production (W),Consumption (W)
2022-03-26 00:00,0,454
2022-03-26 00:15,0,476
2022-03-26 00:30,0,498
2022-03-26 00:45,0,455
2022-03-26 01:00,0,446
2022-03-26 01:15,0,449
2022-03-26 01:30,0,466
2022-03-26 01:45,0,386
2022-03-26 02:00,0,513
2022-03-26 02:15,0,444
2022-03-26 02:30,0,508
2022-03-26 02:45,0,467
2022-03-26 03:00,0,455
2022-03-26 03:15,0,447
2022-03-26 03:30,0,383
2022-03-26 03:45,0,499
2022-03-26 04:00,0,492
2022-03-26 04:15,0,441
2022-03-26 04:30,0,441
2022-03-26 04:45,0,380
2022-03-26 05:00,0,499
2022-03-26 05:15,0,3506
2022-03-26 05:30,0,3374
2022-03-26 05:45,0,3283
2022-03-26 06:00,0,379
2022-03-26 06:15,0,521
2022-03-26 06:30,1,508
2022-03-26 06:45,2,426
2022-03-26 07:00,13,373
2022-03-26 07:15,28,410
2022-03-26 07:30,44,550
2022-03-26 07:45,127,489
2022-03-26 08:00,385,463
2022-03-26 08:15,444,444
2022-03-26 08:30,472,468
2022-03-26 08:45,537,530
2022-03-26 09:00,464,385
2022-03-26 09:15,403,415
2022-03-26 09:30,512,447
2022-03-26 09:45,574,539
2022-03-26 10:00,1113,1401
2022-03-26 10:15,1183,1327
2022-03-26 10:30,1220,1354
2022-03-26 10:45,1220,1385
2022-03-26 11:00,1220,1378
2022-03-26 11:15,1220,1393
2022-03-26 11:30,1220,1287
2022-03-26 11:45,1220,1377
2022-03-26 12:00,1220,1354
2022-03-26 12:15,1220,1369
2022-03-26 12:30,1219,1315
2022-03-26 12:45,1226,1400
2022-03-26 13:00,1226,1375
2022-03-26 13:15,1226,1394
2022-03-26 13:30,1225,1366
2022-03-26 13:45,1226,1366
2022-03-26 14:00,1223,1347
2022-03-26 14:15,1223,1344
2022-03-26 14:30,1220,1391
2022-03-26 14:45,1190,1302
2022-03-26 15:00,467,462
2022-03-26 15:15,463,458
2022-03-26 15:30,486,478
2022-03-26 15:45,434,431
2022-03-26 16:00,491,490
2022-03-26 16:15,483,478
2022-03-26 16:30,589,585
2022-03-26 16:45,587,3481
2022-03-26 17:00,376,376
2022-03-26 17:15,253,496
2022-03-26 17:30,171,600
2022-03-26 17:45,174,560
2022-03-26 18:00,86,418
2022-03-26 18:15,52,467
2022-03-26 18:30,26,467
2022-03-26 18:45,9,541
2022-03-26 19:00,0,439
2022-03-26 19:15,0,429
2022-03-26 19:30,0,612
2022-03-26 19:45,0,559
2022-03-26 20:00,0,483
2022-03-26 20:15,0,424
2022-03-26 20:30,0,520
2022-03-26 20:45,0,603
2022-03-26 21:00,0,546
2022-03-26 21:15,0,416
2022-03-26 21:30,0,451
2022-03-26 21:45,0,581
2022-03-26 22:00,0,513
2022-03-26 22:15,0,476
2022-03-26 22:30,0,457
2022-03-26 22:45,0,504
2022-03-26 23:00,0,555
2022-03-26 23:15,0,461
2022-03-26 23:30,0,396
2022-03-26 23:45,0,501
2022-03-27 00:00,0,555
2022-03-27 00:15,0,464
2022-03-27 00:30,0,449
2022-03-27 00:45,0,436
2022-03-27 01:00,0,582
2022-03-27 01:15,0,531
2022-03-27 01:30,0,449
2022-03-27 01:45,0,399
2022-03-27 02:00,0,421
2022-03-27 02:15,0,542
2022-03-27 02:30,0,539
2022-03-27 02:45,0,404
2022-03-27 03:00,0,391
2022-03-27 03:15,0,523
2022-03-27 03:30,0,549
2022-03-27 03:45,0,527
2022-03-27 04:00,0,392
2022-03-27 04:15,0,384
2022-03-27 04:30,0,474
2022-03-27 04:45,0,522
2022-03-27 05:00,0,479
2022-03-27 05:15,0,3317
2022-03-27 05:30,0,3475
2022-03-27 05:45,0,501
2022-03-27 06:00,0,519
2022-03-27 06:15,0,448
2022-03-27 06:30,1,398
2022-03-27 06:45,3,455
2022-03-27 07:00,15,451
2022-03-27 07:15,33,478
2022-03-27 07:30,56,470
2022-03-27 07:45,94,456
2022-03-27 08:00,375,476
2022-03-27 08:15,468,479
2022-03-27 08:30,440,437
2022-03-27 08:45,493,481
2022-03-27 09:00,845,2600
2022-03-27 09:15,404,510
2022-03-27 09:30,468,482
2022-03-27 09:45,963,2284
2022-03-27 10:00,1086,1432
2022-03-27 10:15,1160,1572
2022-03-27 10:30,1212,1424
2022-03-27 10:45,1220,1365
2022-03-27 11:00,1220,3389
2022-03-27 11:15,1220,2005
2022-03-27 11:30,1220,1631
2022-03-27 11:45,1220,1469
2022-03-27 12:00,1220,1657
2022-03-27 12:15,1214,1757
2022-03-27 12:30,1219,1557
2022-03-27 12:45,1220,1511
2022-03-27 13:00,1220,1469
2022-03-27 13:15,1220,1620
2022-03-27 13:30,1220,1516
2022-03-27 13:45,1220,1280
2022-03-27 14:00,1220,1392
2022-03-27 14:15,1220,1549
2022-03-27 14:30,1201,1444
2022-03-27 14:45,1148,1439
2022-03-27 15:00,526,529
2022-03-27 15:15,574,587
2022-03-27 15:30,569,559
2022-03-27 15:45,586,583
2022-03-27 16:00,485,477
2022-03-27 16:15,609,647
2022-03-27 16:30,658,2646
2022-03-27 16:45,536,617
2022-03-27 17:00,471,596
2022-03-27 17:15,373,690
2022-03-27 17:30,267,586
2022-03-27 17:45,150,525
2022-03-27 18:00,37,713
2022-03-27 18:15,28,685
2022-03-27 18:30,18,511
2022-03-27 18:45,8,490
2022-03-27 19:00,0,657
2022-03-27 19:15,0,3581
2022-03-27 19:30,0,619
2022-03-27 19:45,0,576
2022-03-27 20:00,0,1394
2022-03-27 20:15,0,733
2022-03-27 20:30,0,821
2022-03-27 20:45,0,587
2022-03-27 21:00,0,562
2022-03-27 21:15,0,432
2022-03-27 21:30,0,523
2022-03-27 21:45,0,605
2022-03-27 22:00,0,454
2022-03-27 22:15,0,415
2022-03-27 22:30,0,398
2022-03-27 22:45,0,553
2022-03-27 23:00,0,468
2022-03-27 23:15,0,434
2022-03-27 23:30,0,405
2022-03-27 23:45,0,542
2022-03-28 00:00,0,460
2022-03-28 00:15,0,399
2022-03-28 00:30,0,398
2022-03-28 00:45,0,469
2022-03-28 01:00,0,437
2022-03-28 01:15,0,436
2022-03-28 01:30,0,469
2022-03-28 01:45,0,454
2022-03-28 02:00,0,440
2022-03-28 02:15,0,468
2022-03-28 02:30,0,466
2022-03-28 02:45,0,454
2022-03-28 03:00,0,445
2022-03-28 03:15,0,437
2022-03-28 03:30,0,528
2022-03-28 03:45,0,377
