 ,Production (W),Consumption (W)
2022-10-15 00:00,0,321
2022-10-15 00:15,0,320
2022-10-15 00:30,0,293
2022-10-15 00:45,0,291
2022-10-15 01:00,0,155
2022-10-15 01:15,0,317
2022-10-15 01:30,0,80
2022-10-15 01:45,0,78
2022-10-15 02:00,0,139
2022-10-15 02:15,0,230
2022-10-15 02:30,0,213
2022-10-15 02:45,0,183
2022-10-15 03:00,0,3137
2022-10-15 03:15,0,3212
2022-10-15 03:30,0,3077
2022-10-15 03:45,0,3243
2022-10-15 04:00,0,258
2022-10-15 04:15,0,215
2022-10-15 04:30,0,142
2022-10-15 04:45,0,81
2022-10-15 05:00,0,245
2022-10-15 05:15,0,245
2022-10-15 05:30,0,325
2022-10-15 05:45,0,385
2022-10-15 06:00,1,288
2022-10-15 06:15,6,288
2022-10-15 06:30,15,125
2022-10-15 06:45,54,223
2022-10-15 07:00,43,305
2022-10-15 07:15,46,296
2022-10-15 07:30,50,319
2022-10-15 07:45,66,362
2022-10-15 08:00,28,312
2022-10-15 08:15,65,173
2022-10-15 08:30,85,414
2022-10-15 08:45,93,342
2022-10-15 09:00,227,517
2022-10-15 09:15,179,636
2022-10-15 09:30,121,653
2022-10-15 09:45,91,797
2022-10-15 10:00,137,777
2022-10-15 10:15,89,790
2022-10-15 10:30,298,711
2022-10-15 10:45,283,650
2022-10-15 11:00,457,638
2022-10-15 11:15,342,727
2022-10-15 11:30,193,566
2022-10-15 11:45,438,555
2022-10-15 12:00,265,713
2022-10-15 12:15,128,555
2022-10-15 12:30,242,654
2022-10-15 12:45,263,579
2022-10-15 13:00,105,3449
2022-10-15 13:15,105,3526
2022-10-15 13:30,144,3595
2022-10-15 13:45,93,3666
2022-10-15 14:00,76,3609
2022-10-15 14:15,110,3497
2022-10-15 14:30,99,660
2022-10-15 14:45,88,517
2022-10-15 15:00,216,482
2022-10-15 15:15,117,96
2022-10-15 15:30,78,187
2022-10-15 15:45,35,268
2022-10-15 16:00,69,437
2022-10-15 16:15,86,372
2022-10-15 16:30,124,395
2022-10-15 16:45,85,131
2022-10-15 17:00,161,183
2022-10-15 17:15,102,180
2022-10-15 17:30,107,182
2022-10-15 17:45,129,195
2022-10-15 18:00,88,214
2022-10-15 18:15,45,335
2022-10-15 18:30,35,425
2022-10-15 18:45,16,2600
2022-10-15 19:00,2,126
2022-10-15 19:15,0,141
2022-10-15 19:30,0,297
2022-10-15 19:45,0,385
2022-10-15 20:00,0,369
2022-10-15 20:15,0,379
2022-10-15 20:30,0,2317
2022-10-15 20:45,0,2392
2022-10-15 21:00,0,288
2022-10-15 21:15,0,391
2022-10-15 21:30,0,522
2022-10-15 21:45,0,245
2022-10-15 22:00,0,203
2022-10-15 22:15,0,281
2022-10-15 22:30,0,292
2022-10-15 22:45,0,305
2022-10-15 23:00,0,216
2022-10-15 23:15,0,216
2022-10-15 23:30,0,427
2022-10-15 23:45,0,416
2022-10-16 00:00,0,497
2022-10-16 00:15,0,296
2022-10-16 00:30,0,241
2022-10-16 00:45,0,166
2022-10-16 01:00,0,241
2022-10-16 01:15,0,80
2022-10-16 01:30,0,158
2022-10-16 01:45,0,265
2022-10-16 02:00,0,220
2022-10-16 02:15,0,144
2022-10-16 02:30,0,83
2022-10-16 02:45,0,81
2022-10-16 03:00,0,3137
2022-10-16 03:15,0,3368
2022-10-16 03:30,0,3408
2022-10-16 03:45,0,3376
2022-10-16 04:00,0,3428
2022-10-16 04:15,0,3335
2022-10-16 04:30,0,81
2022-10-16 04:45,0,81
2022-10-16 05:00,0,83
2022-10-16 05:15,0,163
2022-10-16 05:30,0,220
2022-10-16 05:45,1,139
2022-10-16 06:00,2,161
2022-10-16 06:15,11,69
2022-10-16 06:30,35,70
2022-10-16 06:45,65,72
2022-10-16 07:00,133,147
2022-10-16 07:15,130,199
2022-10-16 07:30,138,121
2022-10-16 07:45,421,548
2022-10-16 08:00,130,122
2022-10-16 08:15,125,94
2022-10-16 08:30,221,181
2022-10-16 08:45,180,170
2022-10-16 09:00,420,517
2022-10-16 09:15,521,512
2022-10-16 09:30,510,501
2022-10-16 09:45,695,669
2022-10-16 10:00,634,622
2022-10-16 10:15,569,561
2022-10-16 10:30,485,489
2022-10-16 10:45,497,487
2022-10-16 11:00,489,489
2022-10-16 11:15,585,703
2022-10-16 11:30,611,623
2022-10-16 11:45,631,621
2022-10-16 12:00,635,623
2022-10-16 12:15,553,554
2022-10-16 12:30,493,494
2022-10-16 12:45,747,736
2022-10-16 13:00,565,3628
2022-10-16 13:15,1220,3568
2022-10-16 13:30,538,3653
2022-10-16 13:45,519,3642
2022-10-16 14:00,420,3686
2022-10-16 14:15,477,609
2022-10-16 14:30,414,767
2022-10-16 14:45,360,458
2022-10-16 15:00,362,454
2022-10-16 15:15,328,655
2022-10-16 15:30,300,748
2022-10-16 15:45,302,775
2022-10-16 16:00,244,802
2022-10-16 16:15,618,710
2022-10-16 16:30,513,704
2022-10-16 16:45,428,623
2022-10-16 17:00,328,644
2022-10-16 17:15,261,575
2022-10-16 17:30,104,112
2022-10-16 17:45,83,114
2022-10-16 18:00,78,198
