 ,Production (W),Consumption (W)
2021-08-14 00:00,0,651
2021-08-14 00:15,0,668
2021-08-14 00:30,0,658
2021-08-14 00:45,0,658
2021-08-14 01:00,0,794
2021-08-14 01:15,0,738
2021-08-14 01:30,0,734
2021-08-14 01:45,0,660
2021-08-14 02:00,0,1059
2021-08-14 02:15,0,1107
2021-08-14 02:30,0,1051
2021-08-14 02:45,0,1070
2021-08-14 03:00,0,1068
2021-08-14 03:15,0,1107
2021-08-14 03:30,0,1171
2021-08-14 03:45,0,1161
2021-08-14 04:00,0,1147
2021-08-14 04:15,0,1057
2021-08-14 04:30,0,672
2021-08-14 04:45,0,727
2021-08-14 05:00,0,733
2021-08-14 05:15,0,3721
2021-08-14 05:30,0,3788
2021-08-14 05:45,0,3566
2021-08-14 06:00,0,3656
2021-08-14 06:15,0,792
2021-08-14 06:30,0,715
2021-08-14 06:45,0,640
2021-08-14 07:00,0,639
2021-08-14 07:15,1,302
2021-08-14 07:30,12,1404
2021-08-14 07:45,62,334
2021-08-14 08:00,114,348
2021-08-14 08:15,254,339
2021-08-14 08:30,481,483
2021-08-14 08:45,411,397
2021-08-14 09:00,580,1425
2021-08-14 09:15,849,1413
2021-08-14 09:30,932,1300
2021-08-14 09:45,1002,2349
2021-08-14 10:00,339,335
2021-08-14 10:15,279,275
2021-08-14 10:30,377,328
2021-08-14 10:45,367,355
2021-08-14 11:00,420,410
2021-08-14 11:15,399,330
2021-08-14 11:30,278,275
2021-08-14 11:45,278,275
2021-08-14 12:00,278,277
2021-08-14 12:15,355,355
2021-08-14 12:30,355,345
2021-08-14 12:45,359,355
2021-08-14 13:00,347,343
2021-08-14 13:15,282,274
2021-08-14 13:30,335,330
2021-08-14 13:45,367,304
2021-08-14 14:00,306,307
2021-08-14 14:15,376,407
2021-08-14 14:30,356,437
2021-08-14 14:45,338,331
2021-08-14 15:00,279,278
2021-08-14 15:15,287,300
2021-08-14 15:30,931,5895
2021-08-14 15:45,856,3457
2021-08-14 16:00,768,3481
2021-08-14 16:15,681,430
2021-08-14 16:30,277,276
2021-08-14 16:45,277,275
2021-08-14 17:00,343,335
2021-08-14 17:15,280,412
2021-08-14 17:30,45,728
2021-08-14 17:45,33,725
2021-08-14 18:00,20,673
2021-08-14 18:15,7,768
2021-08-14 18:30,0,767
2021-08-14 18:45,0,726
2021-08-14 19:00,0,776
2021-08-14 19:15,0,1158
2021-08-14 19:30,0,1130
2021-08-14 19:45,0,1119
2021-08-14 20:00,0,1072
2021-08-14 20:15,0,730
2021-08-14 20:30,0,731
2021-08-14 20:45,0,872
2021-08-14 21:00,0,852
2021-08-14 21:15,0,1060
2021-08-14 21:30,0,1076
2021-08-14 21:45,0,1060
2021-08-14 22:00,0,1098
2021-08-14 22:15,0,1033
2021-08-14 22:30,0,1112
2021-08-14 22:45,0,1148
2021-08-14 23:00,0,1735
2021-08-14 23:15,0,737
2021-08-14 23:30,0,663
2021-08-14 23:45,0,658
2021-08-15 00:00,0,1682
2021-08-15 00:15,0,683
2021-08-15 00:30,0,800
2021-08-15 00:45,0,744
2021-08-15 01:00,0,674
2021-08-15 01:15,0,678
2021-08-15 01:30,0,678
2021-08-15 01:45,0,732
2021-08-15 02:00,0,2099
