 ,Production (W),Consumption (W)
2021-05-22 00:00,0,291
2021-05-22 00:15,0,292
2021-05-22 00:30,0,346
2021-05-22 00:45,0,286
2021-05-22 01:00,0,285
2021-05-22 01:15,0,345
2021-05-22 01:30,0,419
2021-05-22 01:45,0,357
2021-05-22 02:00,0,357
2021-05-22 02:15,0,350
2021-05-22 02:30,0,342
2021-05-22 02:45,0,283
2021-05-22 03:00,0,281
2021-05-22 03:15,0,346
2021-05-22 03:30,0,340
2021-05-22 03:45,0,367
2021-05-22 04:00,0,363
2021-05-22 04:15,0,419
2021-05-22 04:30,0,407
2021-05-22 04:45,0,283
2021-05-22 05:00,0,284
2021-05-22 05:15,0,3389
2021-05-22 05:30,0,3289
2021-05-22 05:45,0,286
2021-05-22 06:00,0,283
2021-05-22 06:15,0,344
2021-05-22 06:30,0,376
2021-05-22 06:45,0,362
2021-05-22 07:00,0,357
2021-05-22 07:15,2,351
2021-05-22 07:30,5,325
2021-05-22 07:45,20,272
2021-05-22 08:00,47,269
2021-05-22 08:15,224,271
2021-05-22 08:30,453,319
2021-05-22 08:45,266,266
2021-05-22 09:00,266,270
2021-05-22 09:15,266,266
2021-05-22 09:30,418,441
2021-05-22 09:45,348,340
2021-05-22 10:00,348,338
2021-05-22 10:15,268,267
2021-05-22 10:30,325,322
2021-05-22 10:45,269,265
2021-05-22 11:00,268,267
2021-05-22 11:15,268,267
2021-05-22 11:30,327,322
2021-05-22 11:45,275,267
2021-05-22 12:00,363,352
2021-05-22 12:15,347,405
2021-05-22 12:30,400,395
2021-05-22 12:45,270,269
2021-05-22 13:00,271,268
2021-05-22 13:15,335,330
2021-05-22 13:30,331,329
2021-05-22 13:45,1148,1239
2021-05-22 14:00,1142,1274
2021-05-22 14:15,1108,1308
2021-05-22 14:30,1056,1261
2021-05-22 14:45,1004,1187
2021-05-22 15:00,932,1184
2021-05-22 15:15,854,1229
2021-05-22 15:30,817,1172
2021-05-22 15:45,352,349
2021-05-22 16:00,385,404
2021-05-22 16:15,560,3190
2021-05-22 16:30,477,317
2021-05-22 16:45,323,321
2021-05-22 17:00,43,659
2021-05-22 17:15,30,730
2021-05-22 17:30,20,727
2021-05-22 17:45,11,760
2021-05-22 18:00,1,742
2021-05-22 18:15,0,741
2021-05-22 18:30,0,684
2021-05-22 18:45,0,658
2021-05-22 19:00,0,746
2021-05-22 19:15,0,723
2021-05-22 19:30,0,715
2021-05-22 19:45,0,739
2021-05-22 20:00,0,757
2021-05-22 20:15,0,454
2021-05-22 20:30,0,2360
2021-05-22 20:45,0,378
2021-05-22 21:00,0,559
2021-05-22 21:15,0,523
2021-05-22 21:30,0,397
2021-05-22 21:45,0,368
2021-05-22 22:00,0,439
2021-05-22 22:15,0,324
2021-05-22 22:30,0,2423
2021-05-22 22:45,0,448
2021-05-22 23:00,0,871
2021-05-22 23:15,0,818
2021-05-22 23:30,0,755
2021-05-22 23:45,0,723
2021-05-23 00:00,0,777
2021-05-23 00:15,0,728
2021-05-23 00:30,0,718
2021-05-23 00:45,0,797
2021-05-23 01:00,0,824
2021-05-23 01:15,0,757
2021-05-23 01:30,0,686
2021-05-23 01:45,0,680
2021-05-23 02:00,0,347
2021-05-23 02:15,0,286
2021-05-23 02:30,0,288
2021-05-23 02:45,0,377
2021-05-23 03:00,0,419
2021-05-23 03:15,0,355
2021-05-23 03:30,0,287
2021-05-23 03:45,0,286
2021-05-23 04:00,0,345
2021-05-23 04:15,0,287
2021-05-23 04:30,0,285
2021-05-23 04:45,0,285
2021-05-23 05:00,0,347
2021-05-23 05:15,0,3427
2021-05-23 05:30,0,3380
2021-05-23 05:45,0,3385
2021-05-23 06:00,0,346
2021-05-23 06:15,0,286
2021-05-23 06:30,0,284
2021-05-23 06:45,0,283
2021-05-23 07:00,0,342
2021-05-23 07:15,6,286
2021-05-23 07:30,9,273
2021-05-23 07:45,19,288
2021-05-23 08:00,39,419
2021-05-23 08:15,207,385
2021-05-23 08:30,351,350
2021-05-23 08:45,274,275
2021-05-23 09:00,335,326
2021-05-23 09:15,266,269
2021-05-23 09:30,266,270
2021-05-23 09:45,266,270
2021-05-23 10:00,327,326
2021-05-23 10:15,273,271
2021-05-23 10:30,362,358
2021-05-23 10:45,351,346
2021-05-23 11:00,408,399
2021-05-23 11:15,270,269
2021-05-23 11:30,270,269
2021-05-23 11:45,270,271
2021-05-23 12:00,1211,1279
2021-05-23 12:15,1188,1186
2021-05-23 12:30,1220,1245
2021-05-23 12:45,1219,1238
2021-05-23 13:00,1211,1265
2021-05-23 13:15,1159,1159
2021-05-23 13:30,1143,1137
2021-05-23 13:45,1158,1224
2021-05-23 14:00,1139,3232
2021-05-23 14:15,1101,1319
2021-05-23 14:30,355,381
2021-05-23 14:45,339,424
2021-05-23 15:00,566,557
2021-05-23 15:15,282,275
2021-05-23 15:30,359,350
2021-05-23 15:45,335,330
2021-05-23 16:00,329,280
2021-05-23 16:15,535,3188
2021-05-23 16:30,433,3127
2021-05-23 16:45,321,439
2021-05-23 17:00,55,383
2021-05-23 17:15,36,746
2021-05-23 17:30,22,3313
2021-05-23 17:45,10,937
2021-05-23 18:00,1,3296
2021-05-23 18:15,0,795
2021-05-23 18:30,0,741
2021-05-23 18:45,0,856
2021-05-23 19:00,0,834
2021-05-23 19:15,0,782
2021-05-23 19:30,0,778
2021-05-23 19:45,0,764
