 ,Energy (Wh)
2022-12-31,0
2022-12-30,0
2022-12-29,0
2022-12-28,0
2022-12-27,0
2022-12-26,0
2022-12-25,0
2022-12-24,0
2022-12-23,0
2022-12-22,0
2022-12-21,0
2022-12-20,0
2022-12-19,0
2022-12-18,0
2022-12-17,0
2022-12-16,0
2022-12-15,0
2022-12-14,0
2022-12-13,0
2022-12-12,0
2022-12-11,0
2022-12-10,0
2022-12-9,0
2022-12-8,0
2022-12-7,0
2022-12-6,0
2022-12-5,0
2022-12-4,0
2022-12-3,0
2022-12-2,0
2022-12-1,0
2022-11-30,0
2022-11-29,0
2022-11-28,0
2022-11-27,0
2022-11-26,0
2022-11-25,0
2022-11-24,0
2022-11-23,0
2022-11-22,0
2022-11-21,0
2022-11-20,0
2022-11-19,0
2022-11-18,0
2022-11-17,0
2022-11-16,0
2022-11-15,0
2022-11-14,0
2022-11-13,0
2022-11-12,0
2022-11-11,0
2022-11-10,0
2022-11-9,0
2022-11-8,0
2022-11-7,0
2022-11-6,0
2022-11-5,0
2022-11-4,0
2022-11-3,0
2022-11-2,0
2022-11-1,0
2022-10-31,0
2022-10-30,4788
2022-10-29,6845
2022-10-28,6928
2022-10-27,6047
2022-10-26,5011
2022-10-25,6793
2022-10-24,4319
2022-10-23,4447
2022-10-22,4882
2022-10-21,5345
2022-10-20,5795
2022-10-19,5813
2022-10-18,5305
2022-10-17,6149
2022-10-16,4975
2022-10-15,1636
2022-10-14,5892
2022-10-13,4264
2022-10-12,5522
2022-10-11,4999
2022-10-10,3606
2022-10-9,6246
2022-10-8,8457
2022-10-7,6515
2022-10-6,2699
2022-10-5,4955
2022-10-4,6447
2022-10-3,4346
2022-10-2,5567
2022-10-1,4850
2022-09-30,4654
2022-09-29,5904
2022-09-28,4509
2022-09-27,3331
2022-09-26,3246
2022-09-25,2479
2022-09-24,1878
2022-09-23,2655
2022-09-22,2954
2022-09-21,3693
2022-09-20,3256
2022-09-19,3612
2022-09-18,2109
2022-09-17,2498
2022-09-16,3851
2022-09-15,4676
2022-09-14,3985
2022-09-13,4986
2022-09-12,4553
2022-09-11,3452
2022-09-10,2440
2022-09-9,5122
2022-09-8,5544
2022-09-7,5144
2022-09-6,5203
2022-09-5,2939
2022-09-4,1927
2022-09-3,4192
2022-09-2,3983
2022-09-1,5225
2022-08-31,5276
2022-08-30,6906
2022-08-29,5526
2022-08-28,4170
2022-08-27,5273
2022-08-26,4111
2022-08-25,3861
2022-08-24,4805
2022-08-23,5235
2022-08-22,7625
2022-08-21,5902
2022-08-20,3664
2022-08-19,2356
2022-08-18,2106
2022-08-17,3072
2022-08-16,5812
2022-08-15,6463
2022-08-14,3521
2022-08-13,5178
2022-08-12,3271
2022-08-11,3884
2022-08-10,1451
2022-08-9,4586
2022-08-8,5871
2022-08-7,4475
2022-08-6,5865
2022-08-5,2929
2022-08-4,3357
2022-08-3,5866
2022-08-2,5437
2022-08-1,6528
2022-07-31,5479
2022-07-30,4378
2022-07-29,3086
2022-07-28,6753
2022-07-27,4627
2022-07-26,4437
2022-07-25,5913
2022-07-24,5357
2022-07-23,3900
2022-07-22,5739
2022-07-21,6196
2022-07-20,4787
2022-07-19,4460
2022-07-18,1908
2022-07-17,4701
2022-07-16,4612
2022-07-15,5579
2022-07-14,3170
2022-07-13,2292
2022-07-12,3178
2022-07-11,1023
2022-07-10,2218
2022-07-9,770
2022-07-8,4888
2022-07-7,1434
2022-07-6,4750
2022-07-5,3843
2022-07-4,5127
2022-07-3,2467
2022-07-2,910
2022-07-1,1239
2022-06-30,3341
2022-06-29,3525
2022-06-28,3042
2022-06-27,3715
2022-06-26,4747
2022-06-25,3313
2022-06-24,3424
2022-06-23,2024
2022-06-22,2954
2022-06-21,2092
2022-06-20,5737
2022-06-19,3885
2022-06-18,4674
2022-06-17,4699
2022-06-16,3496
2022-06-15,3344
2022-06-14,983
2022-06-13,529
2022-06-12,2649
2022-06-11,3179
2022-06-10,4828
2022-06-9,4853
2022-06-8,4378
2022-06-7,1493
2022-06-6,0
2022-06-5,0
2022-06-4,0
2022-06-3,0
2022-06-2,0
2022-06-1,0
2022-05-31,0
2022-05-30,0
2022-05-29,0
2022-05-28,0
2022-05-27,0
2022-05-26,0
2022-05-25,0
2022-05-24,0
2022-05-23,0
2022-05-22,0
2022-05-21,0
2022-05-20,0
2022-05-19,0
2022-05-18,0
2022-05-17,0
2022-05-16,0
2022-05-15,0
2022-05-14,0
2022-05-13,0
2022-05-12,0
2022-05-11,0
2022-05-10,0
2022-05-9,0
2022-05-8,0
2022-05-7,0
2022-05-6,0
2022-05-5,0
2022-05-4,0
2022-05-3,0
2022-05-2,0
2022-05-1,0
2022-04-30,0
2022-04-29,0
2022-04-28,0
2022-04-27,0
2022-04-26,0
2022-04-25,0
2022-04-24,0
