 ,Production (W),Consumption (W)
2022-02-05 00:00,0,479
2022-02-05 00:15,0,563
2022-02-05 00:30,0,442
2022-02-05 00:45,0,413
2022-02-05 01:00,0,562
2022-02-05 01:15,0,554
2022-02-05 01:30,0,505
2022-02-05 01:45,0,474
2022-02-05 02:00,0,492
2022-02-05 02:15,0,409
2022-02-05 02:30,0,508
2022-02-05 02:45,0,561
2022-02-05 03:00,0,580
2022-02-05 03:15,0,411
2022-02-05 03:30,0,413
2022-02-05 03:45,0,565
2022-02-05 04:00,0,471
2022-02-05 04:15,0,471
2022-02-05 04:30,0,501
2022-02-05 04:45,0,494
2022-02-05 05:00,0,482
2022-02-05 05:15,0,3464
2022-02-05 05:30,0,3511
2022-02-05 05:45,0,3547
2022-02-05 06:00,4,3413
2022-02-05 06:15,10,401
2022-02-05 06:30,25,782
2022-02-05 06:45,38,497
2022-02-05 07:00,73,457
2022-02-05 07:15,154,484
2022-02-05 07:30,245,515
2022-02-05 07:45,346,474
2022-02-05 08:00,450,3484
2022-02-05 08:15,554,3509
2022-02-05 08:30,408,437
2022-02-05 08:45,424,411
2022-02-05 09:00,832,3562
2022-02-05 09:15,916,1360
2022-02-05 09:30,994,1322
2022-02-05 09:45,1068,1348
2022-02-05 10:00,1133,1363
2022-02-05 10:15,1192,1333
2022-02-05 10:30,1220,1319
2022-02-05 10:45,1220,1420
2022-02-05 11:00,1220,1254
2022-02-05 11:15,1220,1247
2022-02-05 11:30,1220,1245
2022-02-05 11:45,1220,1394
2022-02-05 12:00,1220,1324
2022-02-05 12:15,1219,1310
2022-02-05 12:30,1220,1343
2022-02-05 12:45,1220,1250
2022-02-05 13:00,1220,1318
2022-02-05 13:15,1220,1404
2022-02-05 13:30,1220,1375
2022-02-05 13:45,1220,1301
2022-02-05 14:00,1220,453
2022-02-05 14:15,431,367
2022-02-05 14:30,432,434
2022-02-05 14:45,537,528
2022-02-05 15:00,521,527
2022-02-05 15:15,428,425
2022-02-05 15:30,1056,1424
2022-02-05 15:45,1004,1313
2022-02-05 16:00,935,1252
2022-02-05 16:15,856,1400
2022-02-05 16:30,768,1388
2022-02-05 16:45,674,1328
2022-02-05 17:00,359,373
2022-02-05 17:15,446,439
2022-02-05 17:30,355,432
2022-02-05 17:45,260,3189
2022-02-05 18:00,157,589
