 ,Production (W),Consumption (W)
2022-01-01 00:00,0,551
2022-01-01 00:15,0,544
2022-01-01 00:30,0,412
2022-01-01 00:45,0,417
2022-01-01 01:00,0,414
2022-01-01 01:15,0,563
2022-01-01 01:30,0,556
2022-01-01 01:45,0,546
2022-01-01 02:00,0,412
2022-01-01 02:15,0,410
2022-01-01 02:30,0,475
2022-01-01 02:45,0,561
2022-01-01 03:00,0,547
2022-01-01 03:15,0,485
2022-01-01 03:30,0,412
2022-01-01 03:45,0,479
2022-01-01 04:00,0,474
2022-01-01 04:15,0,470
2022-01-01 04:30,0,487
2022-01-01 04:45,0,486
2022-01-01 05:00,0,411
2022-01-01 05:15,0,3416
2022-01-01 05:30,1,3419
2022-01-01 05:45,8,397
2022-01-01 06:00,29,485
2022-01-01 06:15,56,476
2022-01-01 06:30,69,533
2022-01-01 06:45,139,456
2022-01-01 07:00,112,401
2022-01-01 07:15,103,398
2022-01-01 07:30,329,420
2022-01-01 07:45,313,585
2022-01-01 08:00,210,574
2022-01-01 08:15,100,447
2022-01-01 08:30,269,422
2022-01-01 08:45,320,416
2022-01-01 09:00,252,1388
2022-01-01 09:15,332,1466
2022-01-01 09:30,473,1396
2022-01-01 09:45,635,1315
2022-01-01 10:00,116,1314
2022-01-01 10:15,281,1382
2022-01-01 10:30,348,1915
2022-01-01 10:45,509,505
2022-01-01 11:00,489,522
2022-01-01 11:15,431,416
2022-01-01 11:30,428,421
2022-01-01 11:45,367,456
2022-01-01 12:00,460,532
2022-01-01 12:15,497,502
2022-01-01 12:30,477,473
2022-01-01 12:45,327,2476
2022-01-01 13:00,464,471
2022-01-01 13:15,460,469
2022-01-01 13:30,485,504
2022-01-01 13:45,483,476
2022-01-01 14:00,529,523
2022-01-01 14:15,420,414
2022-01-01 14:30,420,410
2022-01-01 14:45,363,355
2022-01-01 15:00,477,463
2022-01-01 15:15,461,525
2022-01-01 15:30,448,444
2022-01-01 15:45,449,445
2022-01-01 16:00,448,443
2022-01-01 16:15,449,437
2022-01-01 16:30,725,3345
2022-01-01 16:45,634,3375
2022-01-01 17:00,416,447
2022-01-01 17:15,440,445
2022-01-01 17:30,292,385
2022-01-01 17:45,84,3073
2022-01-01 18:00,75,3079
2022-01-01 18:15,70,511
2022-01-01 18:30,63,424
2022-01-01 18:45,55,426
2022-01-01 19:00,46,369
2022-01-01 19:15,38,431
2022-01-01 19:30,28,532
2022-01-01 19:45,16,518
2022-01-01 20:00,6,445
2022-01-01 20:15,0,385
2022-01-01 20:30,0,477
2022-01-01 20:45,0,619
2022-01-01 21:00,0,655
2022-01-01 21:15,0,626
2022-01-01 21:30,0,570
2022-01-01 21:45,0,552
2022-01-01 22:00,0,645
2022-01-01 22:15,0,682
2022-01-01 22:30,0,508
2022-01-01 22:45,0,376
2022-01-01 23:00,0,375
2022-01-01 23:15,0,374
2022-01-01 23:30,0,519
2022-01-01 23:45,0,506
2022-01-02 00:00,0,446
2022-01-02 00:15,0,372
2022-01-02 00:30,0,373
2022-01-02 00:45,0,439
2022-01-02 01:00,0,516
2022-01-02 01:15,0,447
2022-01-02 01:30,0,443
2022-01-02 01:45,0,370
2022-01-02 02:00,0,436
2022-01-02 02:15,0,430
2022-01-02 02:30,0,455
2022-01-02 02:45,0,446
2022-01-02 03:00,0,446
2022-01-02 03:15,0,432
2022-01-02 03:30,0,426
2022-01-02 03:45,0,371
2022-01-02 04:00,0,462
2022-01-02 04:15,0,448
2022-01-02 04:30,0,505
2022-01-02 04:45,0,435
2022-01-02 05:00,0,373
2022-01-02 05:15,0,372
2022-01-02 05:30,2,361
2022-01-02 05:45,6,498
2022-01-02 06:00,25,488
2022-01-02 06:15,59,361
2022-01-02 06:30,102,354
2022-01-02 06:45,133,356
2022-01-02 07:00,139,408
2022-01-02 07:15,262,497
2022-01-02 07:30,316,426
2022-01-02 07:45,411,888
2022-01-02 08:00,376,380
2022-01-02 08:15,604,3315
2022-01-02 08:30,700,3369
2022-01-02 08:45,878,5386
2022-01-02 09:00,1014,4435
2022-01-02 09:15,1067,1482
2022-01-02 09:30,1220,1454
2022-01-02 09:45,1220,1466
2022-01-02 10:00,1220,1403
2022-01-02 10:15,1220,1413
2022-01-02 10:30,1220,1423
2022-01-02 10:45,1220,1437
2022-01-02 11:00,1220,1408
2022-01-02 11:15,924,1334
2022-01-02 11:30,1220,1268
2022-01-02 11:45,1219,1273
2022-01-02 12:00,1220,1430
2022-01-02 12:15,1220,1416
2022-01-02 12:30,1220,1419
2022-01-02 12:45,1220,1285
2022-01-02 13:00,1220,1272
2022-01-02 13:15,1220,1290
2022-01-02 13:30,1220,1343
2022-01-02 13:45,581,1423
2022-01-02 14:00,903,530
2022-01-02 14:15,491,545
2022-01-02 14:30,539,608
2022-01-02 14:45,488,573
2022-01-02 15:00,412,527
2022-01-02 15:15,549,568
2022-01-02 15:30,950,937
2022-01-02 15:45,497,487
2022-01-02 16:00,493,486
2022-01-02 16:15,481,475
2022-01-02 16:30,477,471
2022-01-02 16:45,420,423
2022-01-02 17:00,517,527
2022-01-02 17:15,430,496
2022-01-02 17:30,342,515
2022-01-02 17:45,132,518
2022-01-02 18:00,115,517
2022-01-02 18:15,104,491
2022-01-02 18:30,139,483
2022-01-02 18:45,86,467
2022-01-02 19:00,51,2379
2022-01-02 19:15,43,298
2022-01-02 19:30,34,523
2022-01-02 19:45,19,519
2022-01-02 20:00,5,302
2022-01-02 20:15,0,553
2022-01-02 20:30,0,536
2022-01-02 20:45,0,456
2022-01-02 21:00,0,433
2022-01-02 21:15,0,323
2022-01-02 21:30,0,372
2022-01-02 21:45,0,467
2022-01-02 22:00,0,519
2022-01-02 22:15,0,516
2022-01-02 22:30,0,381
2022-01-02 22:45,0,383
2022-01-02 23:00,0,380
2022-01-02 23:15,0,536
2022-01-02 23:30,0,522
2022-01-02 23:45,0,513
2022-01-03 00:00,0,382
2022-01-03 00:15,0,380
2022-01-03 00:30,0,444
2022-01-03 00:45,0,444
2022-01-03 01:00,0,520
2022-01-03 01:15,0,456
2022-01-03 01:30,0,381
2022-01-03 01:45,0,452
2022-01-03 02:00,0,448
2022-01-03 02:15,0,445
2022-01-03 02:30,0,482
2022-01-03 02:45,0,460
2022-01-03 03:00,0,456
2022-01-03 03:15,0,446
2022-01-03 03:30,0,434
2022-01-03 03:45,0,376
2022-01-03 04:00,0,376
2022-01-03 04:15,0,458
2022-01-03 04:30,0,509
2022-01-03 04:45,0,3487
2022-01-03 05:00,0,3360
2022-01-03 05:15,2,370
2022-01-03 05:30,5,359
2022-01-03 05:45,10,425
2022-01-03 06:00,23,504
2022-01-03 06:15,34,440
2022-01-03 06:30,73,432
2022-01-03 06:45,75,370
2022-01-03 07:00,190,415
2022-01-03 07:15,222,415
2022-01-03 07:30,233,2438
2022-01-03 07:45,450,548
2022-01-03 08:00,418,605
2022-01-03 08:15,577,592
2022-01-03 08:30,493,503
2022-01-03 08:45,480,503
2022-01-03 09:00,683,1386
2022-01-03 09:15,898,1552
2022-01-03 09:30,1084,1562
2022-01-03 09:45,1219,1596
2022-01-03 10:00,1206,1535
2022-01-03 10:15,1215,1397
2022-01-03 10:30,1093,1288
2022-01-03 10:45,880,1351
2022-01-03 11:00,1209,1485
2022-01-03 11:15,926,1424
2022-01-03 11:30,1220,1410
2022-01-03 11:45,1221,1336
2022-01-03 12:00,1219,1513
2022-01-03 12:15,1192,1407
2022-01-03 12:30,1220,1490
2022-01-03 12:45,1220,1406
2022-01-03 13:00,1220,1408
2022-01-03 13:15,1047,1331
2022-01-03 13:30,1219,1375
2022-01-03 13:45,1220,1377
2022-01-03 14:00,543,581
2022-01-03 14:15,471,467
2022-01-03 14:30,471,462
2022-01-03 14:45,458,454
2022-01-03 15:00,459,446
2022-01-03 15:15,458,445
2022-01-03 15:30,398,396
2022-01-03 15:45,475,471
2022-01-03 16:00,475,534
2022-01-03 16:15,535,521
2022-01-03 16:30,650,644
2022-01-03 16:45,452,447
2022-01-03 17:00,277,421
2022-01-03 17:15,439,517
2022-01-03 17:30,531,573
2022-01-03 17:45,169,600
2022-01-03 18:00,112,552
2022-01-03 18:15,181,420
2022-01-03 18:30,195,401
2022-01-03 18:45,153,399
2022-01-03 19:00,89,537
2022-01-03 19:15,64,521
2022-01-03 19:30,41,467
2022-01-03 19:45,23,549
2022-01-03 20:00,7,457
2022-01-03 20:15,0,524
2022-01-03 20:30,0,523
2022-01-03 20:45,0,626
2022-01-03 21:00,0,550
2022-01-03 21:15,0,570
2022-01-03 21:30,0,581
2022-01-03 21:45,0,540
2022-01-03 22:00,0,528
2022-01-03 22:15,0,577
2022-01-03 22:30,0,501
2022-01-03 22:45,0,462
2022-01-03 23:00,0,524
2022-01-03 23:15,0,448
2022-01-03 23:30,0,384
2022-01-03 23:45,0,383
2022-01-04 00:00,0,481
2022-01-04 00:15,0,525
2022-01-04 00:30,0,521
2022-01-04 00:45,0,384
2022-01-04 01:00,0,383
2022-01-04 01:15,0,384
2022-01-04 01:30,0,446
2022-01-04 01:45,0,529
2022-01-04 02:00,0,462
2022-01-04 02:15,0,456
2022-01-04 02:30,0,384
2022-01-04 02:45,0,443
2022-01-04 03:00,0,445
2022-01-04 03:15,0,386
2022-01-04 03:30,0,477
2022-01-04 03:45,0,461
2022-01-04 04:00,0,518
2022-01-04 04:15,0,434
2022-01-04 04:30,0,378
2022-01-04 04:45,0,3284
2022-01-04 05:00,0,3314
2022-01-04 05:15,0,3395
2022-01-04 05:30,1,504
2022-01-04 05:45,11,450
2022-01-04 06:00,25,362
2022-01-04 06:15,36,361
2022-01-04 06:30,50,425
2022-01-04 06:45,84,408
2022-01-04 07:00,143,349
2022-01-04 07:15,225,427
2022-01-04 07:30,323,507
2022-01-04 07:45,422,511
2022-01-04 08:00,510,519
2022-01-04 08:15,473,465
2022-01-04 08:30,356,349
2022-01-04 08:45,509,496
2022-01-04 09:00,656,1442
2022-01-04 09:15,934,1389
2022-01-04 09:30,1003,1244
2022-01-04 09:45,779,1273
2022-01-04 10:00,956,1401
2022-01-04 10:15,1205,1334
2022-01-04 10:30,1219,1429
2022-01-04 10:45,1220,1343
2022-01-04 11:00,1220,1325
2022-01-04 11:15,1220,1241
2022-01-04 11:30,1220,1295
2022-01-04 11:45,1220,1297
2022-01-04 12:00,1220,1302
2022-01-04 12:15,1220,1325
2022-01-04 12:30,1220,1296
2022-01-04 12:45,1220,1375
2022-01-04 13:00,1220,1294
2022-01-04 13:15,1220,1291
2022-01-04 13:30,1220,1237
2022-01-04 13:45,1220,1337
2022-01-04 14:00,555,434
2022-01-04 14:15,497,496
2022-01-04 14:30,497,415
2022-01-04 14:45,420,415
2022-01-04 15:00,400,391
2022-01-04 15:15,511,520
