 ,Production (W),Consumption (W)
2021-03-20 00:00,0,298
2021-03-20 00:15,0,440
2021-03-20 00:30,0,349
2021-03-20 00:45,0,289
2021-03-20 01:00,0,370
2021-03-20 01:15,0,421
2021-03-20 01:30,0,333
2021-03-20 01:45,0,273
2021-03-20 02:00,0,275
2021-03-20 02:15,0,418
2021-03-20 02:30,0,338
2021-03-20 02:45,0,280
2021-03-20 03:00,0,372
2021-03-20 03:15,0,400
2021-03-20 03:30,0,327
2021-03-20 03:45,0,268
2021-03-20 04:00,0,355
2021-03-20 04:15,0,409
2021-03-20 04:30,0,325
2021-03-20 04:45,0,266
2021-03-20 05:00,0,360
2021-03-20 05:15,0,3447
2021-03-20 05:30,0,3257
2021-03-20 05:45,0,266
2021-03-20 06:00,0,368
2021-03-20 06:15,0,412
2021-03-20 06:30,2,329
2021-03-20 06:45,3,255
2021-03-20 07:00,19,255
2021-03-20 07:15,75,394
2021-03-20 07:30,150,315
2021-03-20 07:45,258,262
2021-03-20 08:00,258,260
2021-03-20 08:15,407,401
2021-03-20 08:30,276,312
2021-03-20 08:45,249,271
2021-03-20 09:00,287,294
2021-03-20 09:15,338,442
2021-03-20 09:30,335,354
2021-03-20 09:45,293,293
2021-03-20 10:00,308,385
2021-03-20 10:15,449,435
2021-03-20 10:30,758,1308
2021-03-20 10:45,811,3207
2021-03-20 11:00,788,1250
2021-03-20 11:15,1062,1163
2021-03-20 11:30,896,1246
2021-03-20 11:45,1218,1205
2021-03-20 12:00,1220,1239
2021-03-20 12:15,1180,1162
2021-03-20 12:30,1218,1236
2021-03-20 12:45,1220,1304
2021-03-20 13:00,1220,1293
2021-03-20 13:15,1220,1215
2021-03-20 13:30,1220,1236
2021-03-20 13:45,1220,1319
2021-03-20 14:00,1220,1290
2021-03-20 14:15,1217,1211
2021-03-20 14:30,1220,1214
2021-03-20 14:45,1220,1353
2021-03-20 15:00,1211,1292
2021-03-20 15:15,1134,1204
2021-03-20 15:30,1061,1255
2021-03-20 15:45,988,1345
2021-03-20 16:00,917,1278
2021-03-20 16:15,821,1158
2021-03-20 16:30,274,375
2021-03-20 16:45,632,3451
2021-03-20 17:00,523,3222
2021-03-20 17:15,340,341
2021-03-20 17:30,183,385
2021-03-20 17:45,69,377
2021-03-20 18:00,45,369
2021-03-20 18:15,34,444
2021-03-20 18:30,22,487
2021-03-20 18:45,13,381
2021-03-20 19:00,4,306
2021-03-20 19:15,0,345
2021-03-20 19:30,0,421
2021-03-20 19:45,0,343
2021-03-20 20:00,0,277
2021-03-20 20:15,0,276
2021-03-20 20:30,0,415
2021-03-20 20:45,0,365
2021-03-20 21:00,0,302
2021-03-20 21:15,0,432
2021-03-20 21:30,0,5302
2021-03-20 21:45,0,462
2021-03-20 22:00,0,397
2021-03-20 22:15,0,488
2021-03-20 22:30,0,465
2021-03-20 22:45,0,445
2021-03-20 23:00,0,476
2021-03-20 23:15,0,393
2021-03-20 23:30,0,2333
2021-03-20 23:45,0,344
2021-03-21 00:00,0,418
2021-03-21 00:15,0,279
2021-03-21 00:30,0,275
2021-03-21 00:45,0,420
2021-03-21 01:00,0,325
2021-03-21 01:15,0,272
2021-03-21 01:30,0,268
2021-03-21 01:45,0,411
2021-03-21 02:00,0,331
2021-03-21 02:15,0,269
2021-03-21 02:30,0,266
2021-03-21 02:45,0,421
2021-03-21 03:00,0,327
2021-03-21 03:15,0,267
2021-03-21 03:30,0,275
2021-03-21 03:45,0,347
2021-03-21 04:00,0,334
2021-03-21 04:15,0,330
2021-03-21 04:30,0,265
2021-03-21 04:45,0,351
2021-03-21 05:00,0,3374
2021-03-21 05:15,0,3380
2021-03-21 05:30,0,3304
2021-03-21 05:45,0,349
2021-03-21 06:00,0,329
2021-03-21 06:15,0,327
2021-03-21 06:30,3,269
2021-03-21 06:45,5,344
2021-03-21 07:00,20,322
2021-03-21 07:15,45,318
2021-03-21 07:30,87,258
2021-03-21 07:45,249,339
2021-03-21 08:00,425,3119
2021-03-21 08:15,319,310
2021-03-21 08:30,250,249
2021-03-21 08:45,356,350
2021-03-21 09:00,344,266
2021-03-21 09:15,318,313
2021-03-21 09:30,318,309
2021-03-21 09:45,347,332
2021-03-21 10:00,263,251
2021-03-21 10:15,327,315
2021-03-21 10:30,1220,1265
2021-03-21 10:45,1220,1262
2021-03-21 11:00,1171,1167
2021-03-21 11:15,1220,1214
2021-03-21 11:30,1220,1218
2021-03-21 11:45,1220,1229
2021-03-21 12:00,1156,1160
2021-03-21 12:15,1220,1229
2021-03-21 12:30,1212,1197
2021-03-21 12:45,1220,1287
2021-03-21 13:00,1156,1144
2021-03-21 13:15,1148,1156
2021-03-21 13:30,1216,1291
2021-03-21 13:45,1220,1272
2021-03-21 14:00,1164,1156
2021-03-21 14:15,1160,1149
2021-03-21 14:30,1220,1218
2021-03-21 14:45,1220,1292
2021-03-21 15:00,1156,1152
2021-03-21 15:15,1117,1155
2021-03-21 15:30,1048,1209
2021-03-21 15:45,968,1301
2021-03-21 16:00,889,4237
2021-03-21 16:15,800,1209
2021-03-21 16:30,404,395
2021-03-21 16:45,448,447
2021-03-21 17:00,368,364
2021-03-21 17:15,303,304
2021-03-21 17:30,290,377
2021-03-21 17:45,193,361
2021-03-21 18:00,70,355
2021-03-21 18:15,36,393
2021-03-21 18:30,24,255
2021-03-21 18:45,13,257
2021-03-21 19:00,4,313
2021-03-21 19:15,0,408
2021-03-21 19:30,0,301
2021-03-21 19:45,0,279
2021-03-21 20:00,0,417
2021-03-21 20:15,0,2772
2021-03-21 20:30,0,324
2021-03-21 20:45,0,517
2021-03-21 21:00,0,438
2021-03-21 21:15,0,504
2021-03-21 21:30,0,545
2021-03-21 21:45,0,444
2021-03-21 22:00,0,374
2021-03-21 22:15,0,436
2021-03-21 22:30,0,435
2021-03-21 22:45,0,466
2021-03-21 23:00,0,366
2021-03-21 23:15,0,377
2021-03-21 23:30,0,427
2021-03-21 23:45,0,363
2021-03-22 00:00,0,277
2021-03-22 00:15,0,272
2021-03-22 00:30,0,328
2021-03-22 00:45,0,412
2021-03-22 01:00,0,268
2021-03-22 01:15,0,269
2021-03-22 01:30,0,328
2021-03-22 01:45,0,415
2021-03-22 02:00,0,347
2021-03-22 02:15,0,264
2021-03-22 02:30,0,329
2021-03-22 02:45,0,420
2021-03-22 03:00,0,350
2021-03-22 03:15,0,267
2021-03-22 03:30,0,332
2021-03-22 03:45,0,326
2021-03-22 04:00,0,349
2021-03-22 04:15,0,341
2021-03-22 04:30,0,266
2021-03-22 04:45,0,326
2021-03-22 05:00,0,3242
2021-03-22 05:15,0,345
2021-03-22 05:30,0,268
2021-03-22 05:45,0,328
2021-03-22 06:00,0,321
2021-03-22 06:15,0,351
2021-03-22 06:30,1,347
2021-03-22 06:45,4,330
2021-03-22 07:00,17,397
2021-03-22 07:15,40,354
2021-03-22 07:30,77,345
2021-03-22 07:45,241,351
2021-03-22 08:00,331,325
2021-03-22 08:15,254,254
2021-03-22 08:30,336,334
2021-03-22 08:45,395,397
2021-03-22 09:00,311,313
2021-03-22 09:15,250,249
2021-03-22 09:30,476,457
2021-03-22 09:45,371,368
2021-03-22 10:00,513,528
2021-03-22 10:15,513,500
2021-03-22 10:30,1220,1282
2021-03-22 10:45,1220,1250
2021-03-22 11:00,1220,1369
2021-03-22 11:15,1220,1244
2021-03-22 11:30,1225,1326
2021-03-22 11:45,1225,1308
2021-03-22 12:00,1222,1278
2021-03-22 12:15,1222,1270
2021-03-22 12:30,1217,1215
2021-03-22 12:45,1220,1259
2021-03-22 13:00,1220,1522
