 ,Production (W),Consumption (W)
2021-02-06 00:00,0,0
2021-02-06 01:00,0,0
2021-02-06 02:00,0,0
2021-02-06 03:00,0,0
2021-02-06 04:00,0,0
2021-02-06 05:00,0,0
2021-02-06 06:00,0,0
2021-02-06 07:00,0,0
2021-02-06 08:00,0,0
2021-02-06 09:00,0,0
2021-02-06 10:00,0,0
2021-02-06 11:00,0,0
2021-02-06 12:00,0,0
2021-02-06 13:00,0,0
2021-02-06 14:00,0,0
2021-02-06 15:00,0,0
2021-02-06 16:00,0,0
2021-02-06 17:00,0,0
2021-02-06 18:00,0,0
2021-02-06 19:00,0,0
2021-02-06 20:00,0,0
2021-02-06 21:00,0,0
2021-02-06 22:00,0,0
2021-02-06 23:00,0,0
2021-02-07 00:00,0,0
2021-02-07 01:00,0,0
2021-02-07 02:00,0,0
2021-02-07 03:00,0,0
2021-02-07 04:00,0,0
2021-02-07 05:00,0,0
2021-02-07 06:00,0,0
2021-02-07 07:00,0,0
2021-02-07 08:00,0,0
2021-02-07 09:00,0,0
2021-02-07 10:00,0,0
2021-02-07 11:00,0,0
2021-02-07 12:00,0,0
2021-02-07 13:00,0,0
2021-02-07 14:00,0,0
2021-02-07 15:00,0,0
2021-02-07 16:00,0,0
2021-02-07 17:00,0,0
2021-02-07 18:00,0,0
2021-02-07 19:00,0,0
2021-02-07 20:00,0,0
2021-02-07 21:00,0,0
2021-02-07 22:00,0,0
2021-02-07 23:00,0,0
2021-02-08 00:00,0,0
2021-02-08 01:00,0,0
2021-02-08 02:00,0,0
2021-02-08 03:00,0,0
2021-02-08 04:00,0,0
2021-02-08 05:00,0,0
2021-02-08 06:00,0,0
2021-02-08 07:00,0,0
2021-02-08 08:00,0,0
2021-02-08 09:00,0,0
2021-02-08 10:00,0,0
2021-02-08 11:00,0,0
2021-02-08 12:00,0,0
2021-02-08 13:00,0,0
2021-02-08 14:00,0,0
2021-02-08 15:00,0,0
2021-02-08 16:00,0,0
2021-02-08 17:00,0,0
2021-02-08 18:00,0,0
2021-02-08 19:00,0,0
2021-02-08 20:00,0,0
2021-02-08 21:00,0,0
2021-02-08 22:00,0,0
2021-02-08 23:00,0,0
2021-02-09 00:00,0,0
2021-02-09 01:00,0,0
2021-02-09 02:00,0,0
2021-02-09 03:00,0,0
2021-02-09 04:00,0,0
2021-02-09 05:00,0,0
2021-02-09 06:00,0,0
2021-02-09 07:00,0,0
2021-02-09 08:00,0,0
2021-02-09 09:00,0,0
2021-02-09 10:00,0,0
2021-02-09 11:00,0,0
2021-02-09 12:00,0,0
2021-02-09 12:30,74,0
2021-02-09 12:45,15,0
2021-02-09 13:00,8,0
2021-02-09 13:15,10,0
2021-02-09 13:30,15,0
2021-02-09 13:45,7,0
2021-02-09 14:00,16,0
2021-02-09 14:15,6,0
2021-02-09 14:30,3,0
2021-02-09 14:45,6,0
2021-02-09 15:45,0,0
2021-02-09 16:30,6,286
2021-02-09 16:45,668,2573
2021-02-09 17:30,352,3154
2021-02-09 17:45,126,102
2021-02-09 18:00,162,128
2021-02-09 18:15,119,173
2021-02-09 18:30,58,231
2021-02-09 18:45,47,238
2021-02-09 19:00,35,170
2021-02-09 19:15,22,162
2021-02-09 19:30,8,221
2021-02-09 19:45,1,230
2021-02-09 20:00,0,167
2021-02-09 20:15,0,93
2021-02-09 20:30,0,150
2021-02-09 21:30,0,0
2021-02-09 22:30,0,0
2021-02-09 23:30,0,0
2021-02-10 00:00,0,0
2021-02-10 01:00,0,0
2021-02-10 02:00,0,0
2021-02-10 03:00,0,0
2021-02-10 04:00,0,0
2021-02-10 05:00,0,0
2021-02-10 06:00,0,142
2021-02-10 06:15,5,215
2021-02-10 06:30,19,245
2021-02-10 06:45,32,80
2021-02-10 07:00,51,146
2021-02-10 07:15,143,231
2021-02-10 07:30,230,236
2021-02-10 07:45,120,108
2021-02-10 08:00,355,292
2021-02-10 08:15,268,263
2021-02-10 08:30,299,419
2021-02-10 08:45,145,82
2021-02-10 09:00,145,173
