 ,Production (W),Consumption (W)
2022-08-20 00:00,0,1278
2022-08-20 00:15,0,1148
2022-08-20 00:30,0,1208
2022-08-20 00:45,0,1168
2022-08-20 01:00,0,1194
2022-08-20 01:15,0,1326
2022-08-20 01:30,0,1115
2022-08-20 01:45,0,1137
2022-08-20 02:00,0,1148
2022-08-20 02:15,0,1367
2022-08-20 02:30,0,970
2022-08-20 02:45,0,955
2022-08-20 03:00,0,3636
2022-08-20 03:15,0,3197
2022-08-20 03:30,0,3260
2022-08-20 03:45,0,3430
2022-08-20 04:00,0,3580
2022-08-20 04:15,0,3391
2022-08-20 04:30,0,504
2022-08-20 04:45,0,434
2022-08-20 05:00,0,944
2022-08-20 05:15,0,790
2022-08-20 05:30,0,755
2022-08-20 05:45,0,921
2022-08-20 06:00,0,907
2022-08-20 06:15,0,894
2022-08-20 06:30,0,943
2022-08-20 06:45,0,916
2022-08-20 07:00,1,743
2022-08-20 07:15,3,779
2022-08-20 07:30,11,581
2022-08-20 07:45,37,717
2022-08-20 08:00,42,515
2022-08-20 08:15,84,510
2022-08-20 08:30,61,531
2022-08-20 08:45,108,545
2022-08-20 09:00,229,391
2022-08-20 09:15,131,545
2022-08-20 09:30,544,537
2022-08-20 09:45,521,671
2022-08-20 10:00,350,555
2022-08-20 10:15,189,572
2022-08-20 10:30,229,437
2022-08-20 10:45,412,412
2022-08-20 11:00,533,531
2022-08-20 11:15,466,578
2022-08-20 11:30,495,496
2022-08-20 11:45,453,455
2022-08-20 12:00,400,398
2022-08-20 12:15,368,367
2022-08-20 12:30,452,446
2022-08-20 12:45,373,479
2022-08-20 13:00,562,3577
2022-08-20 13:15,414,3597
2022-08-20 13:30,811,3523
2022-08-20 13:45,404,3321
2022-08-20 14:00,460,3458
2022-08-20 14:15,356,3314
2022-08-20 14:30,468,3222
2022-08-20 14:45,416,563
2022-08-20 15:00,406,417
2022-08-20 15:15,416,414
2022-08-20 15:30,276,439
2022-08-20 15:45,193,445
2022-08-20 16:00,183,399
2022-08-20 16:15,319,424
2022-08-20 16:30,594,587
2022-08-20 16:45,167,662
2022-08-20 17:00,143,461
2022-08-20 17:15,297,379
2022-08-20 17:30,85,415
2022-08-20 17:45,47,419
2022-08-20 18:00,22,928
2022-08-20 18:15,11,1103
2022-08-20 18:30,1,1050
2022-08-20 18:45,0,950
2022-08-20 19:00,0,1728
2022-08-20 19:15,0,1590
2022-08-20 19:30,0,1675
2022-08-20 19:45,0,3753
2022-08-20 20:00,0,1939
2022-08-20 20:15,0,1595
2022-08-20 20:30,0,3454
2022-08-20 20:45,0,1558
2022-08-20 21:00,0,1685
2022-08-20 21:15,0,1614
2022-08-20 21:30,0,1640
2022-08-20 21:45,0,1727
2022-08-20 22:00,0,1723
2022-08-20 22:15,0,1307
2022-08-20 22:30,0,1253
2022-08-20 22:45,0,1338
2022-08-20 23:00,0,1352
2022-08-20 23:15,0,1182
2022-08-20 23:30,0,1375
2022-08-20 23:45,0,1214
2022-08-21 00:00,0,1158
2022-08-21 00:15,0,1155
2022-08-21 00:30,0,1216
2022-08-21 00:45,0,1211
2022-08-21 01:00,0,1174
2022-08-21 01:15,0,1185
2022-08-21 01:30,0,1367
2022-08-21 01:45,0,910
2022-08-21 02:00,0,915
2022-08-21 02:15,0,1003
2022-08-21 02:30,0,973
2022-08-21 02:45,0,949
2022-08-21 03:00,0,3649
2022-08-21 03:15,0,3403
2022-08-21 03:30,0,3341
2022-08-21 03:45,0,3396
2022-08-21 04:00,0,3442
2022-08-21 04:15,0,3421
2022-08-21 04:30,0,650
2022-08-21 04:45,0,580
2022-08-21 05:00,0,581
2022-08-21 05:15,0,527
2022-08-21 05:30,0,520
2022-08-21 05:45,0,516
2022-08-21 06:00,0,604
2022-08-21 06:15,0,646
2022-08-21 06:30,0,641
2022-08-21 06:45,0,394
2022-08-21 07:00,1,544
2022-08-21 07:15,5,506
2022-08-21 07:30,27,357
2022-08-21 07:45,38,589
2022-08-21 08:00,127,625
2022-08-21 08:15,292,644
2022-08-21 08:30,517,603
2022-08-21 08:45,549,547
2022-08-21 09:00,614,609
2022-08-21 09:15,471,595
2022-08-21 09:30,529,528
2022-08-21 09:45,581,660
2022-08-21 10:00,505,502
2022-08-21 10:15,501,502
2022-08-21 10:30,518,509
2022-08-21 10:45,465,459
2022-08-21 11:00,695,538
2022-08-21 11:15,683,685
2022-08-21 11:30,1220,2438
2022-08-21 11:45,496,490
2022-08-21 12:00,524,489
2022-08-21 12:15,428,376
2022-08-21 12:30,578,639
2022-08-21 12:45,472,493
2022-08-21 13:00,401,3305
2022-08-21 13:15,1223,3330
2022-08-21 13:30,1223,3401
2022-08-21 13:45,1220,3476
2022-08-21 14:00,1220,3377
2022-08-21 14:15,1220,3502
2022-08-21 14:30,566,560
2022-08-21 14:45,383,374
2022-08-21 15:00,424,416
2022-08-21 15:15,424,416
2022-08-21 15:30,517,447
2022-08-21 15:45,475,470
2022-08-21 16:00,371,373
2022-08-21 16:15,509,514
2022-08-21 16:30,584,471
2022-08-21 16:45,492,2598
2022-08-21 17:00,390,534
2022-08-21 17:15,287,503
2022-08-21 17:30,190,641
2022-08-21 17:45,37,1687
2022-08-21 18:00,24,887
2022-08-21 18:15,12,960
2022-08-21 18:30,4,1024
2022-08-21 18:45,0,871
2022-08-21 19:00,0,942
2022-08-21 19:15,0,1241
2022-08-21 19:30,0,1093
2022-08-21 19:45,0,1156
2022-08-21 20:00,0,776
2022-08-21 20:15,0,1106
2022-08-21 20:30,0,1035
2022-08-21 20:45,0,955
2022-08-21 21:00,0,956
2022-08-21 21:15,0,954
2022-08-21 21:30,0,954
2022-08-21 21:45,0,1006
2022-08-21 22:00,0,907
2022-08-21 22:15,0,836
2022-08-21 22:30,0,834
2022-08-21 22:45,0,766
2022-08-21 23:00,0,362
2022-08-21 23:15,0,454
2022-08-21 23:30,0,442
2022-08-21 23:45,0,424
2022-08-22 00:00,0,417
2022-08-22 00:15,0,566
2022-08-22 00:30,0,361
