 ,Production (W),Consumption (W)
2023-02-21 00:00,0,338
2023-02-21 00:15,0,196
2023-02-21 00:30,0,193
2023-02-21 00:45,0,83
2023-02-21 01:00,0,227
2023-02-21 01:15,0,487
2023-02-21 01:30,0,282
2023-02-21 01:45,0,314
2023-02-21 02:00,0,157
2023-02-21 02:15,0,376
2023-02-21 02:30,0,249
2023-02-21 02:45,0,160
2023-02-21 03:00,0,3073
2023-02-21 03:15,0,3182
2023-02-21 03:30,0,3049
2023-02-21 03:45,0,144
2023-02-21 04:00,0,192
2023-02-21 05:00,0,0
2023-02-21 06:00,0,0
2023-02-21 06:15,3,0
2023-02-21 06:30,4,0
2023-02-21 06:45,4,0
2023-02-21 07:00,4,0
2023-02-21 07:15,4,0
2023-02-21 07:30,5,0
2023-02-21 07:45,5,0
2023-02-21 08:00,254,713
2023-02-21 08:15,525,770
2023-02-21 08:30,335,779
2023-02-21 08:45,442,797
2023-02-21 09:00,588,813
2023-02-21 09:15,552,957
2023-02-21 09:30,702,897
2023-02-21 09:45,759,916
2023-02-21 10:00,719,824
2023-02-21 10:15,703,691
2023-02-21 10:30,762,753
2023-02-21 10:45,660,923
2023-02-21 11:00,618,617
2023-02-21 11:15,678,575
2023-02-21 11:30,658,631
2023-02-21 11:45,851,862
2023-02-21 12:00,865,827
2023-02-21 12:15,818,812
2023-02-21 12:30,669,649
2023-02-21 12:45,724,661
2023-02-21 13:00,658,684
2023-02-21 13:15,1220,2892
2023-02-21 13:30,1220,796
2023-02-21 13:45,1220,3709
2023-02-21 14:00,1221,3639
2023-02-21 14:15,24,0
2023-02-21 14:30,26,0
2023-02-21 14:45,25,0
2023-02-21 15:00,19,0
2023-02-21 15:15,18,0
2023-02-21 15:30,24,0
2023-02-21 15:45,23,0
2023-02-21 16:00,883,1156
2023-02-21 16:15,838,836
2023-02-21 16:30,760,833
2023-02-21 16:45,666,841
2023-02-21 17:00,571,986
2023-02-21 17:15,473,637
2023-02-21 17:30,373,3179
2023-02-21 17:45,275,2809
2023-02-21 18:00,180,437
2023-02-21 18:15,99,597
2023-02-21 18:30,65,322
2023-02-21 18:45,47,332
2023-02-21 19:00,31,289
2023-02-21 19:15,19,519
2023-02-21 19:30,8,264
2023-02-21 19:45,0,134
2023-02-21 20:00,0,221
2023-02-21 21:00,0,0
2023-02-21 22:00,0,0
2023-02-21 23:00,0,0
2023-02-22 00:00,0,580
2023-02-22 00:15,0,450
2023-02-22 00:30,0,440
2023-02-22 00:45,0,434
2023-02-22 01:00,0,320
2023-02-22 01:15,0,575
2023-02-22 01:30,0,548
2023-02-22 01:45,0,343
2023-02-22 02:00,0,350
2023-02-22 02:15,0,158
2023-02-22 02:30,0,307
