 ,Production (W),Consumption (W)
2021-02-20 00:00,0,130
2021-02-20 00:15,0,127
2021-02-20 00:30,0,157
2021-02-20 00:45,0,211
2021-02-20 01:00,0,128
2021-02-20 01:15,0,119
2021-02-20 01:30,0,59
2021-02-20 01:45,0,146
2021-02-20 02:00,0,196
2021-02-20 02:15,0,118
2021-02-20 02:30,0,59
2021-02-20 02:45,0,60
2021-02-20 03:00,0,209
2021-02-20 03:15,0,196
2021-02-20 03:30,0,59
2021-02-20 03:45,0,124
2021-02-20 04:00,0,118
2021-02-20 04:15,0,203
2021-02-20 04:30,0,136
2021-02-20 04:45,0,126
2021-02-20 05:00,0,119
2021-02-20 05:15,0,3055
2021-02-20 05:30,0,3104
2021-02-20 05:45,0,205
2021-02-20 06:00,0,119
2021-02-20 06:15,3,51
2021-02-20 06:30,3,52
2021-02-20 06:45,4,206
2021-02-20 07:00,4,186
2021-02-20 07:15,6,49
2021-02-20 07:30,7,54
2021-02-20 07:45,8,118
2021-02-20 08:00,10,995
2021-02-20 08:15,10,124
2021-02-20 08:30,12,136
2021-02-20 08:45,215,130
2021-02-20 09:00,302,300
2021-02-20 09:15,145,184
2021-02-20 09:30,145,137
2021-02-20 09:45,145,126
2021-02-20 10:00,145,120
2021-02-20 10:15,145,56
2021-02-20 10:30,145,150
2021-02-20 10:45,202,201
2021-02-20 11:00,606,1049
2021-02-20 11:15,982,970
2021-02-20 11:30,970,959
2021-02-20 11:45,1111,1100
2021-02-20 12:00,1095,1090
2021-02-20 12:15,982,973
2021-02-20 12:30,961,960
2021-02-20 12:45,1103,1083
2021-02-20 13:00,1091,1081
2021-02-20 13:15,1220,946
2021-02-20 13:30,958,961
2021-02-20 13:45,1107,1103
2021-02-20 14:00,1095,1084
2021-02-20 14:15,1075,996
2021-02-20 14:30,946,942
2021-02-20 14:45,983,977
2021-02-20 15:00,214,204
2021-02-20 15:15,1117,1108
2021-02-20 15:30,1045,1029
2021-02-20 15:45,893,1012
2021-02-20 16:00,987,1007
2021-02-20 16:15,1020,1009
2021-02-20 16:30,238,233
2021-02-20 16:45,159,166
2021-02-20 17:00,135,232
2021-02-20 17:15,145,286
2021-02-20 17:30,83,255
2021-02-20 17:45,71,163
2021-02-20 18:00,63,2602
2021-02-20 18:15,93,2622
2021-02-20 18:30,59,173
2021-02-20 18:45,36,180
2021-02-20 19:00,27,185
2021-02-20 19:15,17,239
2021-02-20 19:30,6,117
2021-02-20 19:45,0,119
2021-02-20 20:00,0,178
2021-02-20 20:15,0,236
2021-02-20 20:30,0,303
2021-02-20 20:45,0,230
2021-02-20 21:00,0,219
2021-02-20 21:15,0,288
2021-02-20 21:30,0,339
2021-02-20 21:45,0,260
2021-02-20 22:00,0,267
2021-02-20 22:15,0,268
2021-02-20 22:30,0,415
2021-02-20 22:45,0,418
2021-02-20 23:00,0,259
2021-02-20 23:15,0,275
2021-02-20 23:30,0,302
2021-02-20 23:45,0,337
2021-02-21 00:00,0,226
2021-02-21 00:15,0,2179
2021-02-21 00:30,0,134
2021-02-21 00:45,0,130
2021-02-21 01:00,0,162
2021-02-21 01:15,0,155
2021-02-21 01:30,0,210
2021-02-21 01:45,0,128
2021-02-21 02:00,0,67
2021-02-21 02:15,0,67
2021-02-21 02:30,0,216
2021-02-21 02:45,0,206
2021-02-21 03:00,0,68
2021-02-21 03:15,0,66
2021-02-21 03:30,0,131
2021-02-21 03:45,0,219
2021-02-21 04:00,0,148
2021-02-21 04:15,0,143
2021-02-21 04:30,0,132
2021-02-21 04:45,0,127
2021-02-21 05:00,0,66
2021-02-21 05:15,0,3146
2021-02-21 05:30,0,3207
2021-02-21 05:45,0,131
2021-02-21 06:00,0,69
2021-02-21 06:15,2,58
2021-02-21 06:30,5,210
2021-02-21 06:45,25,194
2021-02-21 07:00,36,51
2021-02-21 07:15,63,49
2021-02-21 07:30,112,114
2021-02-21 07:45,210,205
2021-02-21 08:00,110,140
2021-02-21 08:15,108,140
2021-02-21 08:30,198,208
2021-02-21 08:45,135,125
2021-02-21 09:00,113,58
2021-02-21 09:15,89,55
2021-02-21 09:30,220,208
2021-02-21 09:45,211,193
2021-02-21 10:00,145,55
2021-02-21 10:15,146,141
2021-02-21 10:30,242,1062
2021-02-21 10:45,238,240
2021-02-21 11:00,114,159
2021-02-21 11:15,132,135
2021-02-21 11:30,218,207
2021-02-21 11:45,145,160
2021-02-21 12:00,573,1107
2021-02-21 12:15,594,1109
2021-02-21 12:30,962,1169
2021-02-21 12:45,362,1089
2021-02-21 13:00,530,953
2021-02-21 13:15,431,966
2021-02-21 13:30,441,1124
2021-02-21 13:45,532,1107
2021-02-21 14:00,420,960
2021-02-21 14:15,488,960
2021-02-21 14:30,551,1105
2021-02-21 14:45,407,1091
2021-02-21 15:00,1028,958
2021-02-21 15:15,958,955
2021-02-21 15:30,1022,1004
2021-02-21 15:45,955,1002
2021-02-21 16:00,917,1050
2021-02-21 16:15,596,1035
2021-02-21 16:30,115,123
2021-02-21 16:45,136,109
2021-02-21 17:00,139,102
2021-02-21 17:15,137,126
2021-02-21 17:30,190,188
2021-02-21 17:45,126,103
2021-02-21 18:00,136,100
2021-02-21 18:15,112,45
2021-02-21 18:30,63,128
2021-02-21 18:45,46,243
2021-02-21 19:00,30,179
2021-02-21 19:15,18,61
2021-02-21 19:30,7,141
2021-02-21 19:45,0,185
2021-02-21 20:00,0,120
2021-02-21 20:15,0,192
2021-02-21 20:30,0,156
2021-02-21 20:45,0,326
2021-02-21 21:00,0,336
2021-02-21 21:15,0,101
2021-02-21 21:30,0,107
2021-02-21 21:45,0,174
2021-02-21 22:00,0,267
2021-02-21 22:15,0,200
2021-02-21 22:30,0,190
2021-02-21 22:45,0,189
2021-02-21 23:00,0,87
2021-02-21 23:15,0,169
2021-02-21 23:30,0,228
2021-02-21 23:45,0,136
2021-02-22 00:00,0,79
2021-02-22 00:15,0,77
2021-02-22 00:30,0,143
2021-02-22 00:45,0,214
2021-02-22 01:00,0,76
2021-02-22 01:15,0,77
2021-02-22 01:30,0,140
2021-02-22 01:45,0,133
2021-02-22 02:00,0,155
2021-02-22 02:15,0,149
2021-02-22 02:30,0,134
2021-02-22 02:45,0,142
2021-02-22 03:00,0,74
2021-02-22 03:15,0,160
2021-02-22 03:30,0,212
2021-02-22 03:45,0,135
2021-02-22 04:00,0,77
2021-02-22 04:15,0,75
2021-02-22 04:30,0,217
2021-02-22 04:45,0,153
2021-02-22 05:00,0,76
2021-02-22 05:15,0,3115
2021-02-22 05:30,0,3064
2021-02-22 05:45,0,3162
2021-02-22 06:00,0,156
2021-02-22 06:15,1,131
2021-02-22 06:30,9,122
2021-02-22 06:45,25,66
2021-02-22 07:00,40,78
2021-02-22 07:15,90,224
2021-02-22 07:30,213,207
2021-02-22 07:45,119,74
2021-02-22 08:00,110,70
2021-02-22 08:15,108,130
2021-02-22 08:30,234,223
2021-02-22 08:45,94,177
2021-02-22 09:00,145,72
2021-02-22 09:15,159,270
2021-02-22 09:30,145,153
2021-02-22 09:45,201,354
2021-02-22 10:00,185,473
2021-02-22 10:15,145,155
2021-02-22 10:30,1220,2495
2021-02-22 10:45,1220,1278
2021-02-22 11:00,1168,1169
2021-02-22 11:15,1222,1450
2021-02-22 11:30,1061,1021
2021-02-22 11:45,1000,997
2021-02-22 12:00,1222,1241
2021-02-22 12:15,1160,1147
2021-02-22 12:30,1049,1039
2021-02-22 12:45,1073,984
2021-02-22 13:00,1134,1132
