 ,Production (W),Consumption (W)
2021-04-10 00:00,0,290
2021-04-10 00:15,0,365
2021-04-10 00:30,0,349
2021-04-10 00:45,0,336
2021-04-10 01:00,0,361
2021-04-10 01:15,0,351
2021-04-10 01:30,0,272
2021-04-10 01:45,0,333
2021-04-10 02:00,0,330
2021-04-10 02:15,0,359
2021-04-10 02:30,0,276
2021-04-10 02:45,0,280
2021-04-10 03:00,0,333
2021-04-10 03:15,0,416
2021-04-10 03:30,0,269
2021-04-10 03:45,0,269
2021-04-10 04:00,0,267
2021-04-10 04:15,0,411
2021-04-10 04:30,0,329
2021-04-10 04:45,0,270
2021-04-10 05:00,0,3289
2021-04-10 05:15,0,3392
2021-04-10 05:30,0,326
2021-04-10 05:45,0,325
2021-04-10 06:00,0,268
2021-04-10 06:15,0,348
2021-04-10 06:30,0,335
2021-04-10 06:45,2,323
2021-04-10 07:00,5,313
2021-04-10 07:15,31,338
2021-04-10 07:30,57,397
2021-04-10 07:45,94,373
2021-04-10 08:00,160,368
2021-04-10 08:15,141,310
2021-04-10 08:30,396,388
2021-04-10 08:45,302,304
2021-04-10 09:00,390,356
2021-04-10 09:15,391,390
2021-04-10 09:30,505,505
2021-04-10 09:45,258,261
2021-04-10 10:00,270,377
2021-04-10 10:15,452,437
2021-04-10 10:30,1172,1634
2021-04-10 10:45,1220,1312
2021-04-10 11:00,1200,1453
2021-04-10 11:15,1220,1322
2021-04-10 11:30,1220,1231
2021-04-10 11:45,1217,1253
2021-04-10 12:00,1220,1255
2021-04-10 12:15,1120,1175
2021-04-10 12:30,1219,1235
2021-04-10 12:45,1219,1215
2021-04-10 13:00,1220,1302
2021-04-10 13:15,1219,1221
2021-04-10 13:30,1135,1152
2021-04-10 13:45,1213,1231
2021-04-10 14:00,998,1358
2021-04-10 14:15,1010,1390
2021-04-10 14:30,468,544
2021-04-10 14:45,442,454
2021-04-10 15:00,512,710
2021-04-10 15:15,460,450
2021-04-10 15:30,453,444
2021-04-10 15:45,432,424
2021-04-10 16:00,481,442
2021-04-10 16:15,318,456
2021-04-10 16:30,444,482
2021-04-10 16:45,270,411
2021-04-10 17:00,178,422
2021-04-10 17:15,170,370
2021-04-10 17:30,167,363
2021-04-10 17:45,82,485
2021-04-10 18:00,40,422
2021-04-10 18:15,21,346
2021-04-10 18:30,3,440
2021-04-10 18:45,0,509
2021-04-10 19:00,0,457
2021-04-10 19:15,0,371
2021-04-10 19:30,0,373
2021-04-10 19:45,0,366
2021-04-10 20:00,0,455
2021-04-10 20:15,0,491
2021-04-10 20:30,0,396
2021-04-10 20:45,0,382
2021-04-10 21:00,0,469
2021-04-10 21:15,0,434
2021-04-10 21:30,0,376
2021-04-10 21:45,0,372
2021-04-10 22:00,0,389
2021-04-10 22:15,0,403
2021-04-10 22:30,0,405
2021-04-10 22:45,0,383
2021-04-10 23:00,0,371
2021-04-10 23:15,0,412
2021-04-10 23:30,0,393
2021-04-10 23:45,0,309
2021-04-11 00:00,0,369
2021-04-11 00:15,0,459
2021-04-11 00:30,0,382
2021-04-11 00:45,0,290
2021-04-11 01:00,0,348
2021-04-11 01:15,0,351
2021-04-11 01:30,0,379
2021-04-11 01:45,0,370
2021-04-11 02:00,0,356
2021-04-11 02:15,0,353
2021-04-11 02:30,0,279
2021-04-11 02:45,0,366
2021-04-11 03:00,0,428
2021-04-11 03:15,0,341
2021-04-11 03:30,0,277
2021-04-11 03:45,0,372
2021-04-11 04:00,0,358
2021-04-11 04:15,0,336
2021-04-11 04:30,0,326
2021-04-11 04:45,0,267
2021-04-11 05:00,0,358
2021-04-11 05:15,0,3526
2021-04-11 05:30,0,330
2021-04-11 05:45,0,267
2021-04-11 06:00,0,265
2021-04-11 06:15,0,417
2021-04-11 06:30,0,403
2021-04-11 06:45,5,267
2021-04-11 07:00,7,257
2021-04-11 07:15,20,409
2021-04-11 07:30,64,395
2021-04-11 07:45,108,250
2021-04-11 08:00,211,282
2021-04-11 08:15,347,350
2021-04-11 08:30,408,404
2021-04-11 08:45,254,254
2021-04-11 09:00,258,252
2021-04-11 09:15,339,340
2021-04-11 09:30,392,393
2021-04-11 09:45,309,309
2021-04-11 10:00,1141,2367
2021-04-11 10:15,380,371
2021-04-11 10:30,1133,1395
2021-04-11 10:45,1220,1302
2021-04-11 11:00,1216,1223
2021-04-11 11:15,1216,1211
2021-04-11 11:30,1220,3501
2021-04-11 11:45,1164,1317
2021-04-11 12:00,1220,1421
2021-04-11 12:15,1188,1189
2021-04-11 12:30,1219,1327
2021-04-11 12:45,1220,1297
2021-04-11 13:00,1220,1201
2021-04-11 13:15,1147,1156
2021-04-11 13:30,1220,1317
2021-04-11 13:45,1185,1356
2021-04-11 14:00,916,1306
2021-04-11 14:15,1218,1237
2021-04-11 14:30,422,419
2021-04-11 14:45,426,432
2021-04-11 15:00,319,316
2021-04-11 15:15,341,281
2021-04-11 15:30,386,377
2021-04-11 15:45,467,486
2021-04-11 16:00,724,3500
2021-04-11 16:15,363,3570
2021-04-11 16:30,416,397
2021-04-11 16:45,271,366
2021-04-11 17:00,197,361
2021-04-11 17:15,247,359
2021-04-11 17:30,85,264
2021-04-11 17:45,63,308
2021-04-11 18:00,37,305
2021-04-11 18:15,13,438
2021-04-11 18:30,1,410
2021-04-11 18:45,0,281
2021-04-11 19:00,0,312
2021-04-11 19:15,0,462
2021-04-11 19:30,0,476
2021-04-11 19:45,0,378
2021-04-11 20:00,0,231
2021-04-11 20:15,0,535
2021-04-11 20:30,0,442
2021-04-11 20:45,0,435
2021-04-11 21:00,0,389
2021-04-11 21:15,0,458
2021-04-11 21:30,0,479
2021-04-11 21:45,0,502
2021-04-11 22:00,0,520
2021-04-11 22:15,0,506
2021-04-11 22:30,0,513
2021-04-11 22:45,0,356
2021-04-11 23:00,0,389
2021-04-11 23:15,0,304
2021-04-11 23:30,0,369
