 ,Production (W),Consumption (W)
2023-03-21 00:00,0,193
2023-03-21 00:15,0,151
2023-03-21 00:30,0,417
2023-03-21 00:45,0,166
2023-03-21 01:00,0,221
2023-03-21 01:15,0,140
2023-03-21 01:30,0,82
2023-03-21 01:45,0,84
2023-03-21 02:00,0,83
2023-03-21 02:15,0,219
2023-03-21 02:30,0,217
2023-03-21 02:45,0,78
2023-03-21 03:00,0,81
2023-03-21 03:15,0,3130
2023-03-21 03:30,0,3016
2023-03-21 03:45,0,214
2023-03-21 04:00,0,366
2023-03-21 04:15,0,82
2023-03-21 04:30,0,147
2023-03-21 04:45,0,142
2023-03-21 05:00,0,299
2023-03-21 05:15,0,236
2023-03-21 05:30,0,158
2023-03-21 05:45,0,256
2023-03-21 06:00,0,171
2023-03-21 06:15,0,77
2023-03-21 06:30,0,80
2023-03-21 06:45,4,210
2023-03-21 07:00,13,200
2023-03-21 07:15,27,201
2023-03-21 07:30,60,241
2023-03-21 07:45,41,70
2023-03-21 08:00,138,214
2023-03-21 08:15,504,678
2023-03-21 08:30,155,1026
2023-03-21 08:45,562,577
2023-03-21 09:00,666,660
2023-03-21 09:15,637,641
2023-03-21 09:30,597,598
2023-03-21 09:45,736,911
2023-03-21 10:00,618,614
2023-03-21 10:15,760,670
2023-03-21 10:30,605,595
2023-03-21 10:45,766,762
2023-03-21 11:00,618,615
2023-03-21 11:15,598,593
2023-03-21 11:30,856,2729
2023-03-21 11:45,1220,2391
2023-03-21 12:00,736,728
2023-03-21 12:15,1220,2022
2023-03-21 12:30,609,562
2023-03-21 12:45,912,896
2023-03-21 13:00,651,589
2023-03-21 13:15,667,656
2023-03-21 13:30,628,592
2023-03-21 13:45,1226,2093
2023-03-21 14:00,1226,3393
2023-03-21 14:15,1220,3389
2023-03-21 14:30,1220,3272
2023-03-21 14:45,473,468
2023-03-21 15:00,558,553
2023-03-21 15:15,530,653
2023-03-21 15:30,610,604
2023-03-21 15:45,501,469
2023-03-21 16:00,473,466
2023-03-21 16:15,469,468
2023-03-21 16:30,697,771
2023-03-21 16:45,613,615
2023-03-21 17:00,522,546
2023-03-21 17:15,392,386
2023-03-21 17:30,299,303
2023-03-21 17:45,202,216
2023-03-21 18:00,106,2488
2023-03-21 18:15,36,474
2023-03-21 18:30,25,247
2023-03-21 18:45,13,154
2023-03-21 19:00,4,205
2023-03-21 19:15,0,261
2023-03-21 19:30,0,253
2023-03-21 19:45,0,250
2023-03-21 20:00,0,181
2023-03-21 20:15,0,261
2023-03-21 20:30,0,242
2023-03-21 20:45,0,244
2023-03-21 21:00,0,268
2023-03-21 21:15,0,466
2023-03-21 21:30,0,253
2023-03-21 21:45,0,251
2023-03-21 22:00,0,371
2023-03-21 22:15,0,198
2023-03-21 22:30,0,185
2023-03-21 22:45,0,255
2023-03-21 23:00,0,305
2023-03-21 23:15,0,112
2023-03-21 23:30,0,185
2023-03-21 23:45,0,268
2023-03-22 00:00,0,217
2023-03-22 00:15,0,143
2023-03-22 00:30,0,143
2023-03-22 00:45,0,78
2023-03-22 01:00,0,255
2023-03-22 01:15,0,214
2023-03-22 01:30,0,206
2023-03-22 01:45,0,299
2023-03-22 02:00,0,80
2023-03-22 02:15,0,149
2023-03-22 02:30,0,291
2023-03-22 02:45,0,213
2023-03-22 03:00,0,152
2023-03-22 03:15,0,3100
2023-03-22 03:30,0,2841
2023-03-22 03:45,0,230
2023-03-22 04:00,0,220
2023-03-22 04:15,0,158
2023-03-22 04:30,0,157
2023-03-22 04:45,0,145
2023-03-22 05:00,0,143
2023-03-22 05:15,0,145
2023-03-22 05:30,0,165
2023-03-22 05:45,0,158
2023-03-22 06:00,0,283
2023-03-22 06:15,0,133
2023-03-22 06:30,6,78
2023-03-22 06:45,10,214
2023-03-22 07:00,13,182
2023-03-22 07:15,47,202
2023-03-22 07:30,103,182
2023-03-22 07:45,154,205
2023-03-22 08:00,184,136
2023-03-22 08:15,413,1103
2023-03-22 08:30,281,595
2023-03-22 08:45,406,725
2023-03-22 09:00,339,536
2023-03-22 09:15,432,550
2023-03-22 09:30,404,551
2023-03-22 09:45,322,495
2023-03-22 10:00,519,710
2023-03-22 10:15,409,540
2023-03-22 10:30,364,462
2023-03-22 10:45,505,497
2023-03-22 11:00,489,491
2023-03-22 11:15,484,433
2023-03-22 11:30,711,702
2023-03-22 11:45,635,568
2023-03-22 12:00,634,626
2023-03-22 12:15,610,634
2023-03-22 12:30,506,477
2023-03-22 12:45,485,484
2023-03-22 13:00,622,613
2023-03-22 13:15,618,612
2023-03-22 13:30,652,635
2023-03-22 13:45,578,608
2023-03-22 14:00,1220,3350
2023-03-22 14:15,16,0
2023-03-22 14:30,20,0
2023-03-22 14:45,17,0
2023-03-22 15:00,18,0
2023-03-22 15:15,16,0
2023-03-22 15:30,14,0
2023-03-22 15:45,12,0
2023-03-22 16:00,841,893
2023-03-22 16:15,626,639
2023-03-22 16:30,674,2736
2023-03-22 16:45,581,685
2023-03-22 17:00,471,700
