 ,Production (W),Consumption (W)
2021-09-25 00:00,0,458
2021-09-25 00:15,0,540
2021-09-25 00:30,0,471
2021-09-25 00:45,0,391
2021-09-25 01:00,0,390
2021-09-25 01:15,0,453
2021-09-25 01:30,0,447
2021-09-25 01:45,0,389
2021-09-25 02:00,0,472
2021-09-25 02:15,0,464
2021-09-25 02:30,0,456
2021-09-25 02:45,0,447
2021-09-25 03:00,0,390
2021-09-25 03:15,0,391
2021-09-25 03:30,0,388
2021-09-25 03:45,0,533
2021-09-25 04:00,0,526
2021-09-25 04:15,0,389
2021-09-25 04:30,0,391
2021-09-25 04:45,0,391
2021-09-25 05:00,0,454
2021-09-25 05:15,0,387
2021-09-25 05:30,0,469
2021-09-25 05:45,0,466
2021-09-25 06:00,0,449
2021-09-25 06:15,0,446
2021-09-25 06:30,6,376
2021-09-25 06:45,18,377
2021-09-25 07:00,37,377
2021-09-25 07:15,89,437
2021-09-25 07:30,319,515
2021-09-25 07:45,451,450
2021-09-25 08:00,375,373
2021-09-25 08:15,375,375
2021-09-25 08:30,440,431
2021-09-25 08:45,440,434
2021-09-25 09:00,376,373
2021-09-25 09:15,376,373
2021-09-25 09:30,456,453
2021-09-25 09:45,517,508
2021-09-25 10:00,436,432
2021-09-25 10:15,376,375
2021-09-25 10:30,376,375
2021-09-25 10:45,445,444
2021-09-25 11:00,432,435
2021-09-25 11:15,470,461
2021-09-25 11:30,453,452
2021-09-25 11:45,380,378
2021-09-25 12:00,452,438
2021-09-25 12:15,444,432
2021-09-25 12:30,384,379
2021-09-25 12:45,384,374
2021-09-25 13:00,469,458
2021-09-25 13:15,525,518
2021-09-25 13:30,440,434
2021-09-25 13:45,379,374
2021-09-25 14:00,379,376
2021-09-25 14:15,379,381
2021-09-25 14:30,529,526
2021-09-25 14:45,521,518
2021-09-25 15:00,384,380
2021-09-25 15:15,383,373
2021-09-25 15:30,383,376
2021-09-25 15:45,440,434
2021-09-25 16:00,525,515
2021-09-25 16:15,461,452
2021-09-25 16:30,380,376
2021-09-25 16:45,439,439
2021-09-25 17:00,414,435
2021-09-25 17:15,277,430
2021-09-25 17:30,99,461
2021-09-25 17:45,94,457
2021-09-25 18:00,51,445
2021-09-25 18:15,29,438
2021-09-25 18:30,15,377
2021-09-25 18:45,4,378
2021-09-25 19:00,0,471
2021-09-25 19:15,0,455
2021-09-25 19:30,0,449
2021-09-25 19:45,0,392
2021-09-25 20:00,0,392
2021-09-25 20:15,0,389
2021-09-25 20:30,0,540
2021-09-25 20:45,0,454
2021-09-25 21:00,0,393
2021-09-25 21:15,0,393
2021-09-25 21:30,0,390
2021-09-25 21:45,0,454
2021-09-25 22:00,0,530
2021-09-25 22:15,0,470
2021-09-25 22:30,0,391
2021-09-25 22:45,0,391
2021-09-25 23:00,0,450
2021-09-25 23:15,0,445
2021-09-25 23:30,0,468
2021-09-25 23:45,0,467
2021-09-26 00:00,0,387
2021-09-26 00:15,0,446
2021-09-26 00:30,0,446
2021-09-26 00:45,0,391
2021-09-26 01:00,0,474
2021-09-26 01:15,0,533
2021-09-26 01:30,0,448
2021-09-26 01:45,0,392
2021-09-26 02:00,0,391
2021-09-26 02:15,0,388
2021-09-26 02:30,0,453
2021-09-26 02:45,0,532
2021-09-26 03:00,0,466
2021-09-26 03:15,0,391
2021-09-26 03:30,0,390
2021-09-26 03:45,0,448
2021-09-26 04:00,0,455
2021-09-26 04:15,0,391
2021-09-26 04:30,0,471
2021-09-26 04:45,0,467
2021-09-26 05:00,0,452
2021-09-26 05:15,0,449
2021-09-26 05:30,0,359
2021-09-26 05:45,0,265
2021-09-26 06:00,0,356
2021-09-26 06:15,1,401
2021-09-26 06:30,6,310
2021-09-26 06:45,26,257
2021-09-26 07:00,43,379
2021-09-26 07:15,61,449
2021-09-26 07:30,63,442
2021-09-26 07:45,77,468
2021-09-26 08:00,128,458
2021-09-26 08:15,227,375
2021-09-26 08:30,188,439
2021-09-26 08:45,372,432
2021-09-26 09:00,308,377
2021-09-26 09:15,330,380
2021-09-26 09:30,324,462
2021-09-26 09:45,357,512
2021-09-26 10:00,378,433
2021-09-26 10:15,380,377
2021-09-26 10:30,380,376
2021-09-26 10:45,381,379
2021-09-26 11:00,527,530
2021-09-26 11:15,518,522
2021-09-26 11:30,376,375
2021-09-26 11:45,376,381
2021-09-26 12:00,376,380
2021-09-26 12:15,450,442
2021-09-26 12:30,436,433
2021-09-26 12:45,461,461
2021-09-26 13:00,384,379
2021-09-26 13:15,449,446
2021-09-26 13:30,436,439
2021-09-26 13:45,436,435
2021-09-26 14:00,473,465
2021-09-26 14:15,460,456
2021-09-26 14:30,452,447
2021-09-26 14:45,449,441
2021-09-26 15:00,448,442
2021-09-26 15:15,387,472
2021-09-26 15:30,469,455
2021-09-26 15:45,444,440
2021-09-26 16:00,444,439
2021-09-26 16:15,444,434
2021-09-26 16:30,380,380
2021-09-26 16:45,447,457
2021-09-26 17:00,349,440
2021-09-26 17:15,260,439
2021-09-26 17:30,75,443
2021-09-26 17:45,72,382
2021-09-26 18:00,69,467
2021-09-26 18:15,32,451
2021-09-26 18:30,11,440
2021-09-26 18:45,4,443
2021-09-26 19:00,0,391
2021-09-26 19:15,0,472
2021-09-26 19:30,0,459
2021-09-26 19:45,0,461
2021-09-26 20:00,0,453
2021-09-26 20:15,0,394
2021-09-26 20:30,0,466
2021-09-26 20:45,0,460
2021-09-26 21:00,0,457
2021-09-26 21:15,0,451
2021-09-26 21:30,0,393
2021-09-26 21:45,0,473
2021-09-26 22:00,0,456
2021-09-26 22:15,0,453
2021-09-26 22:30,0,450
2021-09-26 22:45,0,393
2021-09-26 23:00,0,476
2021-09-26 23:15,0,534
2021-09-26 23:30,0,456
2021-09-26 23:45,0,450
2021-09-27 00:00,0,393
2021-09-27 00:15,0,480
2021-09-27 00:30,0,530
2021-09-27 00:45,0,449
2021-09-27 01:00,0,397
2021-09-27 01:15,0,389
2021-09-27 01:30,0,394
2021-09-27 01:45,0,533
2021-09-27 02:00,0,448
2021-09-27 02:15,0,391
2021-09-27 02:30,0,394
2021-09-27 02:45,0,391
2021-09-27 03:00,0,539
2021-09-27 03:15,0,525
2021-09-27 03:30,0,392
2021-09-27 03:45,0,393
2021-09-27 04:00,0,391
2021-09-27 04:15,0,455
2021-09-27 04:30,0,533
2021-09-27 04:45,0,466
2021-09-27 05:00,0,392
2021-09-27 05:15,0,391
2021-09-27 05:30,0,457
2021-09-27 05:45,0,446
2021-09-27 06:00,0,468
2021-09-27 06:15,4,380
2021-09-27 06:30,6,381
2021-09-27 06:45,20,441
2021-09-27 07:00,58,441
2021-09-27 07:15,69,475
2021-09-27 07:30,93,456
2021-09-27 07:45,129,440
2021-09-27 08:00,175,436
2021-09-27 08:15,203,438
2021-09-27 08:30,216,377
2021-09-27 08:45,290,462
2021-09-27 09:00,504,508
2021-09-27 09:15,395,429
2021-09-27 09:30,379,378
2021-09-27 09:45,380,373
2021-09-27 10:00,380,378
2021-09-27 10:15,546,534
2021-09-27 10:30,525,518
2021-09-27 10:45,384,377
2021-09-27 11:00,379,375
2021-09-27 11:15,379,377
2021-09-27 11:30,444,437
2021-09-27 11:45,263,518
2021-09-27 12:00,355,458
2021-09-27 12:15,356,376
2021-09-27 12:30,334,379
2021-09-27 12:45,396,434
2021-09-27 13:00,271,436
2021-09-27 13:15,231,454
2021-09-27 13:30,297,378
2021-09-27 13:45,376,376
2021-09-27 14:00,260,445
2021-09-27 14:15,436,431
2021-09-27 14:30,468,457
2021-09-27 14:45,448,450
2021-09-27 15:00,375,375
2021-09-27 15:15,432,433
2021-09-27 15:30,361,436
2021-09-27 15:45,332,467
2021-09-27 16:00,151,454
2021-09-27 16:15,251,446
2021-09-27 16:30,172,430
2021-09-27 16:45,115,439
2021-09-27 17:00,174,376
2021-09-27 17:15,390,458
2021-09-27 17:30,175,520
2021-09-27 17:45,62,443
2021-09-27 18:00,48,440
2021-09-27 18:15,25,384
2021-09-27 18:30,18,471
2021-09-27 18:45,7,522
2021-09-27 19:00,0,451
2021-09-27 19:15,0,393
2021-09-27 19:30,0,397
2021-09-27 19:45,0,394
2021-09-27 20:00,0,535
2021-09-27 20:15,0,522
2021-09-27 20:30,0,393
2021-09-27 20:45,0,390
2021-09-27 21:00,0,394
2021-09-27 21:15,0,541
2021-09-27 21:30,0,532
2021-09-27 21:45,0,396
2021-09-27 22:00,0,393
2021-09-27 22:15,0,391
2021-09-27 22:30,0,453
2021-09-27 22:45,0,542
2021-09-27 23:00,0,472
2021-09-27 23:15,0,392
2021-09-27 23:30,0,392
2021-09-27 23:45,0,453
2021-09-28 00:00,0,447
2021-09-28 00:15,0,488
2021-09-28 00:30,0,471
2021-09-28 00:45,0,529
2021-09-28 01:00,0,452
2021-09-28 01:15,0,391
2021-09-28 01:30,0,392
2021-09-28 01:45,0,390
2021-09-28 02:00,0,537
2021-09-28 02:15,0,521
2021-09-28 02:30,0,392
2021-09-28 02:45,0,389
2021-09-28 03:00,0,393
2021-09-28 03:15,0,445
2021-09-28 03:30,0,443
2021-09-28 03:45,0,474
2021-09-28 04:00,0,468
2021-09-28 04:15,0,389
2021-09-28 04:30,0,448
2021-09-28 04:45,0,448
2021-09-28 05:00,0,392
2021-09-28 05:15,0,390
2021-09-28 05:30,0,545
2021-09-28 05:45,0,528
2021-09-28 06:00,0,443
2021-09-28 06:15,0,380
2021-09-28 06:30,11,381
2021-09-28 06:45,34,382
2021-09-28 07:00,104,434
2021-09-28 07:15,178,376
2021-09-28 07:30,340,451
2021-09-28 07:45,451,449
2021-09-28 08:00,448,446
2021-09-28 08:15,436,432
2021-09-28 08:30,380,378
2021-09-28 08:45,380,375
2021-09-28 09:00,380,376
2021-09-28 09:15,449,524
2021-09-28 09:30,513,505
2021-09-28 09:45,453,448
2021-09-28 10:00,380,376
2021-09-28 10:15,380,374
2021-09-28 10:30,440,434
2021-09-28 10:45,441,430
2021-09-28 11:00,376,464
2021-09-28 11:15,456,455
2021-09-28 11:30,523,521
2021-09-28 11:45,434,431
2021-09-28 12:00,434,377
2021-09-28 12:15,382,377
2021-09-28 12:30,381,379
2021-09-28 12:45,531,522
2021-09-28 13:00,513,513
2021-09-28 13:15,380,377
2021-09-28 13:30,380,376
2021-09-28 13:45,381,373
2021-09-28 14:00,440,436
2021-09-28 14:15,529,513
2021-09-28 14:30,457,452
2021-09-28 14:45,380,375
2021-09-28 15:00,380,378
