 ,Production (W),Consumption (W)
2023-01-10 00:00,0,216
2023-01-10 00:15,0,226
2023-01-10 00:30,0,217
2023-01-10 00:45,0,213
2023-01-10 01:00,0,211
2023-01-10 01:15,0,139
2023-01-10 01:30,0,136
2023-01-10 01:45,0,246
2023-01-10 02:00,0,229
2023-01-10 02:15,0,219
2023-01-10 02:30,0,210
2023-01-10 02:45,0,152
2023-01-10 03:00,0,148
2023-01-10 03:15,0,3011
2023-01-10 03:30,0,2964
2023-01-10 03:45,0,138
2023-01-10 04:00,0,227
2023-01-10 04:15,0,225
2023-01-10 05:00,0,426
2023-01-10 05:15,0,311
2023-01-10 05:30,2,228
2023-01-10 05:45,3,366
2023-01-10 06:00,6,224
2023-01-10 06:15,16,296
2023-01-10 06:30,56,128
2023-01-10 06:45,43,65
2023-01-10 07:00,94,322
2023-01-10 07:15,230,265
2023-01-10 07:30,262,195
2023-01-10 07:45,222,123
2023-01-10 08:00,269,477
2023-01-10 08:15,603,619
2023-01-10 08:30,289,605
2023-01-10 08:45,345,635
2023-01-10 09:00,426,605
2023-01-10 09:15,594,590
2023-01-10 09:30,683,680
2023-01-10 09:45,610,580
2023-01-10 10:00,577,578
2023-01-10 10:15,659,658
2023-01-10 10:30,687,678
2023-01-10 10:45,597,485
2023-01-10 11:00,626,617
2023-01-10 11:15,549,520
2023-01-10 11:30,576,574
2023-01-10 11:45,669,659
2023-01-10 12:00,656,642
2023-01-10 12:15,22,0
2023-01-10 12:30,27,0
2023-01-10 12:45,22,0
2023-01-10 13:00,25,0
2023-01-10 13:15,27,0
2023-01-10 13:30,27,0
2023-01-10 13:45,21,0
2023-01-10 14:00,1220,3517
2023-01-10 14:15,1220,3492
2023-01-10 14:30,760,777
2023-01-10 14:45,735,737
2023-01-10 15:00,723,721
2023-01-10 15:15,1065,1555
2023-01-10 15:30,1007,1513
2023-01-10 15:45,945,1184
2023-01-10 16:00,873,1180
2023-01-10 16:15,793,1081
2023-01-10 16:30,708,1140
2023-01-10 16:45,624,1113
2023-01-10 17:00,532,1209
2023-01-10 17:15,436,1153
2023-01-10 17:30,338,1186
2023-01-10 17:45,78,1151
2023-01-10 18:00,70,1168
2023-01-10 18:15,65,290
2023-01-10 18:30,58,173
2023-01-10 18:45,51,199
2023-01-10 19:00,45,195
2023-01-10 19:15,37,212
2023-01-10 19:30,28,152
2023-01-10 19:45,14,219
2023-01-10 20:00,4,259
2023-01-10 21:00,0,0
2023-01-10 22:00,0,423
2023-01-10 22:15,0,357
2023-01-10 22:30,0,393
2023-01-10 22:45,0,451
2023-01-10 23:00,0,375
2023-01-10 23:15,0,372
2023-01-10 23:30,0,354
2023-01-10 23:45,0,298
2023-01-11 00:00,0,175
2023-01-11 00:15,0,2307
2023-01-11 00:30,0,256
2023-01-11 00:45,0,249
2023-01-11 01:00,0,242
2023-01-11 01:15,0,240
2023-01-11 01:30,0,166
2023-01-11 01:45,0,168
2023-01-11 02:00,0,260
2023-01-11 03:00,0,0
2023-01-11 04:00,0,0
2023-01-11 05:00,0,0
2023-01-11 05:30,2,0
2023-01-11 05:45,4,0
2023-01-11 06:00,23,2531
2023-01-11 06:15,32,2366
2023-01-11 06:30,45,503
2023-01-11 06:45,85,464
2023-01-11 07:00,143,391
2023-01-11 07:15,218,355
2023-01-11 07:30,242,241
2023-01-11 07:45,258,257
2023-01-11 08:00,391,481
2023-01-11 08:15,591,751
2023-01-11 08:30,682,797
2023-01-11 08:45,694,697
2023-01-11 09:00,748,681
2023-01-11 09:15,439,633
2023-01-11 09:30,384,765
2023-01-11 09:45,709,720
2023-01-11 10:00,709,703
2023-01-11 10:15,325,714
2023-01-11 10:30,384,655
2023-01-11 10:45,608,608
2023-01-11 11:00,622,1545
2023-01-11 11:15,1100,1610
2023-01-11 11:30,1144,1627
2023-01-11 11:45,722,1603
2023-01-11 12:00,1148,1508
2023-01-11 12:15,759,1427
2023-01-11 12:30,967,1401
2023-01-11 12:45,661,1650
2023-01-11 13:00,618,1637
2023-01-11 13:15,680,1625
2023-01-11 13:30,752,1615
2023-01-11 13:45,434,1567
2023-01-11 14:00,915,4464
2023-01-11 14:15,790,4369
2023-01-11 14:30,811,4542
2023-01-11 14:45,691,1570
2023-01-11 15:00,801,1573
2023-01-11 15:15,603,1584
2023-01-11 15:30,552,1595
2023-01-11 15:45,836,1546
2023-01-11 16:00,372,657
2023-01-11 16:15,212,754
2023-01-11 16:30,313,757
2023-01-11 16:45,286,739
2023-01-11 17:00,363,740
2023-01-11 17:15,335,2754
2023-01-11 17:30,411,2622
2023-01-11 17:45,293,263
2023-01-11 18:00,215,254
2023-01-11 18:15,6,0
2023-01-11 18:30,6,0
2023-01-11 18:45,6,0
2023-01-11 19:00,5,0
2023-01-11 19:15,4,0
2023-01-11 19:30,4,0
2023-01-11 19:45,3,0
2023-01-11 20:00,3,0
2023-01-11 21:00,0,0
2023-01-11 22:00,0,415
2023-01-11 22:15,0,281
2023-01-11 22:30,0,257
2023-01-11 22:45,0,254
2023-01-11 23:00,0,243
2023-01-11 23:15,0,241
2023-01-11 23:30,0,265
2023-01-11 23:45,0,273
2023-01-12 00:00,0,238
2023-01-12 00:15,0,343
2023-01-12 00:30,0,239
2023-01-12 00:45,0,236
2023-01-12 01:00,0,234
2023-01-12 01:15,0,265
2023-01-12 01:30,0,225
2023-01-12 01:45,0,331
2023-01-12 02:00,0,222
2023-01-12 02:15,0,220
2023-01-12 02:30,0,217
2023-01-12 02:45,0,213
2023-01-12 03:00,0,246
2023-01-12 03:15,0,3042
2023-01-12 03:30,0,3176
2023-01-12 03:45,0,139
2023-01-12 04:00,0,226
2023-01-12 05:00,0,0
2023-01-12 05:30,3,0
2023-01-12 05:45,3,0
2023-01-12 06:00,4,580
2023-01-12 06:15,36,306
2023-01-12 06:30,74,445
2023-01-12 06:45,126,319
2023-01-12 07:00,134,326
2023-01-12 07:15,94,212
2023-01-12 07:30,201,231
2023-01-12 07:45,109,288
2023-01-12 08:00,123,746
2023-01-12 08:15,284,714
2023-01-12 08:30,419,753
2023-01-12 08:45,331,622
2023-01-12 09:00,289,625
2023-01-12 09:15,820,814
2023-01-12 09:30,378,634
2023-01-12 09:45,679,662
2023-01-12 10:00,589,640
2023-01-12 10:15,458,724
2023-01-12 10:30,791,864
2023-01-12 10:45,523,885
2023-01-12 11:00,466,737
2023-01-12 11:15,614,613
2023-01-12 11:30,539,586
2023-01-12 11:45,1213,2263
2023-01-12 12:00,10,0
2023-01-12 12:15,13,0
2023-01-12 12:30,28,0
2023-01-12 12:45,27,0
2023-01-12 13:00,26,0
2023-01-12 13:15,25,0
2023-01-12 13:30,20,0
2023-01-12 13:45,18,0
2023-01-12 14:00,24,3478
2023-01-12 14:15,630,4212
2023-01-12 14:30,639,692
2023-01-12 14:45,826,819
2023-01-12 15:00,738,736
2023-01-12 15:15,713,706
2023-01-12 15:30,711,712
2023-01-12 15:45,668,601
2023-01-12 16:00,707,709
2023-01-12 16:15,691,687
2023-01-12 16:30,594,585
2023-01-12 16:45,549,559
2023-01-12 17:00,614,641
2023-01-12 17:15,306,377
2023-01-12 17:30,297,301
2023-01-12 17:45,122,143
2023-01-12 18:00,190,357
2023-01-12 18:15,162,241
2023-01-12 18:30,134,173
2023-01-12 18:45,101,203
2023-01-12 19:00,53,190
2023-01-12 19:15,30,324
2023-01-12 19:30,15,185
2023-01-12 19:45,7,149
2023-01-12 20:00,2,229
2023-01-12 21:00,0,0
2023-01-12 22:00,0,598
2023-01-12 22:15,0,336
2023-01-12 22:30,0,242
2023-01-12 22:45,0,353
2023-01-12 23:00,0,239
2023-01-12 23:15,0,234
2023-01-12 23:30,0,232
2023-01-12 23:45,0,335
2023-01-13 00:00,0,153
2023-01-13 00:15,0,152
2023-01-13 00:30,0,290
2023-01-13 00:45,0,262
2023-01-13 01:00,0,218
2023-01-13 01:15,0,214
2023-01-13 01:30,0,216
2023-01-13 01:45,0,227
2023-01-13 02:00,0,84
2023-01-13 03:00,0,0
2023-01-13 04:00,0,3179
2023-01-13 04:15,0,2999
2023-01-13 04:30,0,3375
2023-01-13 04:45,0,236
2023-01-13 05:00,0,270
2023-01-13 05:15,0,341
2023-01-13 05:30,4,154
2023-01-13 05:45,5,288
2023-01-13 06:00,18,214
2023-01-13 06:15,32,276
2023-01-13 06:30,45,252
2023-01-13 06:45,74,306
2023-01-13 07:00,128,300
2023-01-13 07:15,203,288
2023-01-13 07:30,128,114
2023-01-13 07:45,210,208
2023-01-13 08:00,400,382
