 ,Production (W),Consumption (W)
2021-11-06 00:00,0,0
2021-11-06 00:15,0,501
2021-11-06 00:30,0,498
2021-11-06 00:45,0,547
2021-11-06 01:00,0,540
2021-11-06 01:15,0,473
2021-11-06 01:30,0,393
2021-11-06 01:45,0,456
2021-11-06 02:00,0,442
2021-11-06 02:15,0,522
2021-11-06 02:30,0,457
2021-11-06 02:45,0,378
2021-11-06 03:00,0,445
2021-11-06 03:15,0,439
2021-11-06 03:30,0,510
2021-11-06 03:45,0,447
2021-11-06 04:00,0,369
2021-11-06 04:15,0,429
2021-11-06 04:30,0,426
2021-11-06 04:45,0,460
2021-11-06 05:00,0,3517
2021-11-06 05:15,0,3408
2021-11-06 05:30,3,3351
2021-11-06 05:45,13,3342
2021-11-06 06:00,35,355
2021-11-06 06:15,45,448
2021-11-06 06:30,98,433
2021-11-06 06:45,173,411
2021-11-06 07:00,274,1389
2021-11-06 07:15,421,1285
2021-11-06 07:30,473,1281
2021-11-06 07:45,569,1389
2021-11-06 08:00,677,1439
2021-11-06 08:15,819,1326
2021-11-06 08:30,871,1340
2021-11-06 08:45,429,1302
2021-11-06 09:00,1220,1437
2021-11-06 09:15,559,1445
2021-11-06 09:30,492,1311
2021-11-06 09:45,269,1330
2021-11-06 10:00,276,1346
2021-11-06 10:15,523,1426
2021-11-06 10:30,779,1420
2021-11-06 10:45,1019,1268
2021-11-06 11:00,1219,1273
2021-11-06 11:15,1220,1416
2021-11-06 11:30,1112,1388
2021-11-06 11:45,432,1337
2021-11-06 12:00,547,1275
2021-11-06 12:15,589,1276
2021-11-06 12:30,709,1332
2021-11-06 12:45,1220,1426
2021-11-06 13:00,1219,1419
2021-11-06 13:15,691,1276
2021-11-06 13:30,658,1265
2021-11-06 13:45,343,1433
2021-11-06 14:00,517,510
2021-11-06 15:00,0,0
2021-11-06 16:00,390,3230
2021-11-06 16:15,337,3161
2021-11-06 16:30,465,3386
2021-11-06 16:45,438,556
2021-11-06 17:00,331,545
2021-11-06 17:15,355,471
2021-11-06 17:30,300,413
2021-11-06 17:45,174,560
2021-11-06 18:00,61,578
2021-11-06 18:15,51,564
2021-11-06 18:30,60,395
2021-11-06 18:45,53,429
2021-11-06 19:00,26,593
2021-11-06 19:15,9,618
2021-11-06 19:30,0,475
2021-11-06 19:45,0,502
2021-11-06 20:00,0,479
2021-11-06 20:15,0,634
2021-11-06 20:30,0,2517
2021-11-06 20:45,0,452
2021-11-06 21:00,0,453
2021-11-06 21:15,0,503
2021-11-06 21:30,0,600
2021-11-06 21:45,0,448
2021-11-06 22:00,0,397
2021-11-06 22:15,0,395
2021-11-06 22:30,0,541
2021-11-06 22:45,0,520
2021-11-06 23:00,0,384
2021-11-06 23:15,0,376
2021-11-06 23:30,0,380
2021-11-06 23:45,0,526
2021-11-07 00:00,0,510
2021-11-07 00:15,0,377
2021-11-07 00:30,0,377
2021-11-07 00:45,0,376
2021-11-07 01:00,0,522
2021-11-07 01:15,0,515
2021-11-07 01:30,0,451
2021-11-07 01:45,0,376
2021-11-07 02:00,0,377
2021-11-07 02:15,0,437
2021-11-07 02:30,0,517
2021-11-07 02:45,0,451
2021-11-07 03:00,0,375
2021-11-07 03:15,0,441
2021-11-07 03:30,0,434
2021-11-07 03:45,0,375
2021-11-07 04:00,0,460
2021-11-07 04:15,0,452
2021-11-07 04:30,0,444
2021-11-07 04:45,0,436
2021-11-07 05:00,0,3401
2021-11-07 05:15,0,3504
2021-11-07 05:30,4,3351
2021-11-07 05:45,7,3340
2021-11-07 06:00,21,419
2021-11-07 06:15,46,362
2021-11-07 06:30,82,375
2021-11-07 06:45,98,458
2021-11-07 07:00,106,1465
2021-11-07 07:15,139,1330
2021-11-07 07:30,216,1302
2021-11-07 07:45,251,1315
2021-11-07 08:00,325,1362
2021-11-07 08:15,340,1473
2021-11-07 08:30,356,1420
2021-11-07 08:45,554,1257
2021-11-07 09:00,444,1252
2021-11-07 09:15,367,1332
2021-11-07 09:30,495,1398
2021-11-07 09:45,759,1334
2021-11-07 10:00,700,1276
2021-11-07 10:15,696,1263
2021-11-07 10:30,668,1310
2021-11-07 10:45,792,1410
2021-11-07 11:00,985,1344
2021-11-07 11:15,1029,1266
2021-11-07 11:30,991,1335
2021-11-07 11:45,890,1321
2021-11-07 12:00,746,1362
2021-11-07 12:15,1061,1343
2021-11-07 12:30,930,1261
2021-11-07 12:45,886,1334
2021-11-07 13:00,801,1333
2021-11-07 13:15,1090,1355
2021-11-07 13:30,971,1337
2021-11-07 13:45,1220,1276
2021-11-07 14:00,556,444
2021-11-07 14:15,1211,3645
2021-11-07 14:30,602,664
2021-11-07 14:45,613,457
2021-11-07 15:00,714,3288
2021-11-07 15:15,688,4311
2021-11-07 15:30,730,4153
2021-11-07 15:45,612,1376
2021-11-07 16:00,835,1288
2021-11-07 16:15,736,1481
2021-11-07 16:30,732,3362
2021-11-07 16:45,331,3387
2021-11-07 17:00,503,1494
2021-11-07 17:15,210,1324
2021-11-07 17:30,163,523
2021-11-07 17:45,117,583
2021-11-07 18:00,103,564
2021-11-07 18:15,78,421
2021-11-07 18:30,61,512
2021-11-07 18:45,38,513
2021-11-07 19:00,18,573
2021-11-07 19:15,9,485
2021-11-07 19:30,0,506
2021-11-07 19:45,0,460
2021-11-07 20:00,0,508
2021-11-07 20:15,0,567
2021-11-07 20:30,0,577
2021-11-07 20:45,0,503
2021-11-07 21:00,0,455
2021-11-07 21:15,0,537
2021-11-07 21:30,0,528
2021-11-07 21:45,0,582
2021-11-07 22:45,0,0
2021-11-07 23:45,0,0
2021-11-08 00:00,0,0
2021-11-08 00:15,0,571
2021-11-08 00:30,0,551
2021-11-08 00:45,0,542
2021-11-08 01:00,0,528
2021-11-08 01:15,0,455
2021-11-08 01:30,0,375
2021-11-08 01:45,0,435
2021-11-08 02:00,0,431
2021-11-08 02:15,0,514
2021-11-08 02:30,0,447
2021-11-08 02:45,0,368
2021-11-08 03:00,0,437
2021-11-08 03:15,0,425
2021-11-08 03:30,0,426
2021-11-08 03:45,0,451
2021-11-08 04:00,0,447
2021-11-08 04:15,0,366
2021-11-08 04:30,0,3393
2021-11-08 04:45,0,3436
2021-11-08 05:00,0,3382
2021-11-08 05:15,0,3429
2021-11-08 05:30,2,502
2021-11-08 05:45,7,493
2021-11-08 06:00,26,410
2021-11-08 06:15,75,350
2021-11-08 06:30,144,353
2021-11-08 06:45,179,348
2021-11-08 07:00,260,1454
2021-11-08 07:15,355,1412
2021-11-08 07:30,463,1352
2021-11-08 07:45,592,1321
2021-11-08 08:00,689,1408
2021-11-08 08:15,783,1403
2021-11-08 08:30,931,1501
2021-11-08 08:45,988,1356
2021-11-08 09:00,970,1351
2021-11-08 09:15,351,1268
2021-11-08 09:30,441,1342
2021-11-08 09:45,1031,1349
2021-11-08 10:00,1218,3326
2021-11-08 10:15,964,1574
2021-11-08 10:30,665,1427
2021-11-08 10:45,690,1551
2021-11-08 11:00,599,1388
2021-11-08 11:15,961,1313
2021-11-08 11:30,1220,1549
2021-11-08 11:45,1220,1396
2021-11-08 12:00,1220,3465
2021-11-08 12:15,1220,1336
2021-11-08 12:30,1217,1330
2021-11-08 12:45,1220,1264
2021-11-08 13:00,1220,1269
2021-11-08 13:15,1220,1440
2021-11-08 13:30,1220,1436
2021-11-08 13:45,1220,1428
2021-11-08 14:00,1226,3227
2021-11-08 15:00,0,0
2021-11-08 16:00,0,0
2021-11-08 16:15,134,3027
2021-11-08 16:30,153,3112
2021-11-08 16:45,202,3383
2021-11-08 17:00,395,3414
2021-11-08 17:15,372,3411
2021-11-08 17:30,275,525
2021-11-08 17:45,77,420
2021-11-08 18:00,67,412
2021-11-08 18:15,52,392
2021-11-08 18:30,41,530
2021-11-08 18:45,30,515
2021-11-08 19:00,18,504
2021-11-08 19:15,8,409
2021-11-08 19:30,0,443
2021-11-08 19:45,0,582
2021-11-08 20:00,0,572
2021-11-08 20:15,0,570
2021-11-08 20:30,0,437
2021-11-08 20:45,0,437
2021-11-08 21:00,0,437
2021-11-08 21:15,0,589
2021-11-08 21:30,0,577
2021-11-08 21:45,0,950
2021-11-08 22:45,0,0
2021-11-08 23:45,0,0
2021-11-09 00:00,0,575
2021-11-09 00:15,0,574
2021-11-09 00:30,0,550
2021-11-09 00:45,0,543
2021-11-09 01:00,0,520
2021-11-09 01:15,0,379
2021-11-09 01:30,0,376
2021-11-09 01:45,0,437
2021-11-09 02:00,0,432
2021-11-09 02:15,0,508
2021-11-09 02:30,0,445
2021-11-09 02:45,0,368
2021-11-09 03:00,0,368
2021-11-09 03:15,0,428
2021-11-09 03:30,0,425
2021-11-09 03:45,0,448
2021-11-09 04:00,0,454
2021-11-09 05:00,0,3493
2021-11-09 05:15,0,3499
2021-11-09 05:30,2,3411
2021-11-09 05:45,7,3340
2021-11-09 06:00,25,356
2021-11-09 06:15,50,359
2021-11-09 06:30,88,412
2021-11-09 06:45,122,495
2021-11-09 07:00,193,1448
2021-11-09 07:15,320,1312
2021-11-09 07:30,248,3168
2021-11-09 07:45,300,1345
2021-11-09 08:00,351,1447
2021-11-09 08:15,570,1448
2021-11-09 08:30,757,1482
2021-11-09 08:45,1116,1307
2021-11-09 09:00,686,1382
2021-11-09 09:15,321,1328
2021-11-09 09:30,338,1423
2021-11-09 09:45,406,1353
2021-11-09 10:00,568,1359
2021-11-09 10:15,656,1330
2021-11-09 10:30,684,1326
2021-11-09 10:45,1219,1343
2021-11-09 11:00,1220,1378
2021-11-09 11:15,1220,1353
2021-11-09 11:30,1220,1370
2021-11-09 11:45,1220,1345
2021-11-09 12:00,1219,1341
2021-11-09 13:00,0,0
2021-11-09 14:00,0,0
2021-11-09 14:15,1215,3375
2021-11-09 14:30,1194,3319
2021-11-09 14:45,583,534
2021-11-09 15:00,531,530
2021-11-09 15:15,525,519
2021-11-09 15:30,446,442
2021-11-09 15:45,513,444
2021-11-09 16:00,544,539
2021-11-09 16:15,528,519
2021-11-09 16:30,577,571
2021-11-09 16:45,488,1488
2021-11-09 17:00,385,1378
2021-11-09 17:15,288,2175
2021-11-09 17:30,139,1413
2021-11-09 17:45,86,1413
2021-11-09 18:00,56,1448
2021-11-09 18:15,48,1365
2021-11-09 18:30,40,1373
2021-11-09 18:45,26,371
2021-11-09 19:00,18,448
2021-11-09 19:15,8,439
2021-11-09 19:30,2,421
2021-11-09 19:45,0,427
2021-11-09 20:00,0,428
2021-11-09 21:00,0,0
2021-11-09 22:00,0,0
2021-11-09 22:15,0,521
2021-11-09 22:30,0,547
